,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,2656,33,186,222,207,201,233,165,149,119,110,1031,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2, ,ALL OTHERS (328),328,4,29,30,30,34,23,15,21,5,11,126,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
3,15.876,ACTA NEUROPATHOL,146,2,8,14,13,6,11,21,6,7,3,55,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
4,8.055,NEUROLOGY,109,0,2,7,7,9,5,6,4,6,4,59,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
5,10.250,ANN NEUROL,79,1,1,2,2,9,4,2,3,1,2,52,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
6,6.059,NEUROPATH APPL NEURO,75,6,12,8,3,7,4,4,5,6,1,19,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
7,2.487,NEUROMUSCULAR DISORD,73,0,4,4,9,7,11,6,6,1,2,23,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
8,10.848,BRAIN,71,1,6,9,4,8,5,3,3,2,4,26,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
9,3.490,J NEUROPATH EXP NEUR,57,0,5,3,4,0,7,2,1,3,1,31,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
10,5.971,J NEUROSCI,52,1,1,3,1,0,6,4,4,4,2,26,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
11,4.454,NEUROBIOL AGING,50,0,1,1,4,4,7,5,2,4,2,20,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
12,6.187,BRAIN PATHOL,40,2,8,3,1,3,6,0,2,4,6,5,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
13,41.577,NATURE,40,0,2,3,1,5,6,4,0,0,1,18,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
14,9.504,P NATL ACAD SCI USA,37,0,0,3,1,1,0,0,4,5,3,20,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
15,2.766,PLOS ONE,37,1,2,6,3,7,10,5,2,0,1,0,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
16,4.069,AM J PATHOL,31,0,2,0,0,0,1,3,0,3,1,21,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
17,27.125,NAT GENET,31,0,1,1,0,2,3,4,0,2,4,14,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
