Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"3,655",6.059,5.862,5.084,2.886,35,7.7,7.5,0.006,1.689,71.43,0.74200,90.61500,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2016,"3,413",5.347,5.217,4.845,1.692,39,8.0,7.1,0.00638,1.562,69.23,0.73305,89.42400,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2015,"3,133",4.483,4.325,4.401,1.508,63,7.8,6.9,0.00607,1.493,80.95,0.69209,84.52500,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2014,"2,792",3.927,3.845,4.183,1.393,61,7.8,8.2,0.00522,1.308,85.25,0.58410,80.51800,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2013,"2,747",4.970,4.762,4.106,1.271,59,7.7,7.5,0.00549,1.344,79.66,0.60483,87.60800,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2012,"2,730",4.837,4.724,4.283,1.020,51,7.6,7.8,0.00579,1.359,76.47,Not Available,87.67200,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2011,"2,613",3.802,3.703,3.728,1.820,50,8.0,8.3,0.00548,1.195,76.00,Not Available,79.41500,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2010,"2,379",3.625,3.562,3.388,0.917,48,7.7,6.9,0.00539,1.069,81.25,Not Available,75.97300,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2009,"2,422",3.495,3.359,3.230,1.093,43,7.8,7.5,0.00609,1.053,90.70,Not Available,74.27200,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2008,"2,294",3.660,3.566,3.451,0.943,53,7.2,7.6,0.00725,1.198,96.23,Not Available,78.72100,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2007,"2,018",2.860,2.719,3.034,0.600,50,7.4,6.4,0.00608,0.980,90.00,Not Available,69.86500,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2006,"1,952",2.681,2.563,Not Available,0.625,56,7.5,7.0,Not Available,Not Available,100.00,Not Available,66.91200,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2005,"2,048",3.266,3.110,Not Available,0.552,58,7.1,7.2,Not Available,Not Available,93.10,Not Available,79.44300,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2004,"1,939",3.402,3.152,Not Available,0.410,61,7.0,6.4,Not Available,Not Available,91.80,Not Available,82.80400,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2003,"1,824",3.022,2.921,Not Available,0.744,39,6.9,6.2,Not Available,Not Available,74.36,Not Available,80.37300,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2002,"1,831",2.950,2.880,Not Available,0.341,44,7.0,6.5,Not Available,Not Available,88.64,Not Available,79.90900,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2001,"1,691",2.963,2.869,Not Available,0.200,45,6.5,5.2,Not Available,Not Available,93.33,Not Available,81.90600,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
2000,"1,731",2.523,2.405,Not Available,0.309,55,6.3,5.9,Not Available,Not Available,90.91,Not Available,76.50400,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
1999,"1,658",2.575,2.336,Not Available,0.231,52,6.1,5.4,Not Available,Not Available,90.38,Not Available,77.71900,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
1998,"1,576",1.591,1.512,Not Available,0.186,59,5.8,5.0,Not Available,Not Available,98.31,Not Available,63.05200,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
1997,"1,565",2.121,1.988,Not Available,0.296,54,5.6,5.6,Not Available,Not Available,98.15,Not Available,73.50100,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY
