,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,24537,515,1768,1995,1965,1814,1749,1728,2364,1281,1652,7706,NEUROPSYCHOPHARMACOLOGY
2,,ALL OTHERS (933),933,22,43,52,74,73,39,55,99,57,65,354,NEUROPSYCHOPHARMACOLOGY
3,4.249,NEUROPHARMACOLOGY,699,18,58,67,52,47,54,45,58,47,60,193,NEUROPSYCHOPHARMACOLOGY
4,3.222,PSYCHOPHARMACOLOGY,662,5,50,45,36,50,48,33,55,42,50,248,NEUROPSYCHOPHARMACOLOGY
5,6.544,NEUROPSYCHOPHARMACOL,654,24,68,85,58,44,58,27,56,23,29,182,NEUROPSYCHOPHARMACOLOGY
6,4.122,SCI REP-UK,544,9,48,42,55,42,39,49,65,37,35,123,NEUROPSYCHOPHARMACOLOGY
7,8.037,NEUROSCI BIOBEHAV R,534,8,38,41,41,39,31,53,44,29,34,176,NEUROPSYCHOPHARMACOLOGY
8,3.173,BEHAV BRAIN RES,506,9,24,37,28,36,34,39,45,30,37,187,NEUROPSYCHOPHARMACOLOGY
9,4.691,TRANSL PSYCHIAT,351,9,28,42,31,41,23,24,31,19,24,79,NEUROPSYCHOPHARMACOLOGY
10,11.984,BIOL PSYCHIAT,346,10,33,36,32,23,32,32,40,22,22,64,NEUROPSYCHOPHARMACOLOGY
11,5.971,J NEUROSCI,309,11,31,40,39,24,11,38,40,10,18,47,NEUROPSYCHOPHARMACOLOGY
12,5.578,ADDICT BIOL,303,0,3,22,50,24,27,17,45,24,14,77,NEUROPSYCHOPHARMACOLOGY
13,3.382,NEUROSCIENCE,302,1,12,27,18,20,26,21,30,19,30,98,NEUROPSYCHOPHARMACOLOGY
14,4.738,J PSYCHOPHARMACOL,293,7,15,10,19,11,26,20,24,12,21,128,NEUROPSYCHOPHARMACOLOGY
15,2.766,PLOS ONE,278,4,16,26,23,21,14,13,24,11,22,104,NEUROPSYCHOPHARMACOLOGY
16,4.129,EUR NEUROPSYCHOPHARM,229,7,19,19,29,16,22,16,17,10,11,63,NEUROPSYCHOPHARMACOLOGY
