,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,16586,138,1076,1434,1372,1313,1201,1021,945,952,854,6280,NEUROPSYCHOPHARMACOLOGY
2, ,ALL OTHERS (1001),1001,10,57,88,98,64,64,59,46,46,42,427,NEUROPSYCHOPHARMACOLOGY
3,5.971,J NEUROSCI,837,2,29,54,59,76,59,70,40,41,59,348,NEUROPSYCHOPHARMACOLOGY
4,11.984,BIOL PSYCHIAT,660,9,50,53,50,54,47,39,73,57,33,195,NEUROPSYCHOPHARMACOLOGY
5,6.544,NEUROPSYCHOPHARMACOL,654,24,68,85,58,44,58,27,56,23,29,182,NEUROPSYCHOPHARMACOLOGY
6,3.222,PSYCHOPHARMACOLOGY,434,2,30,32,24,37,25,20,12,22,16,214,NEUROPSYCHOPHARMACOLOGY
7,9.504,P NATL ACAD SCI USA,366,1,18,22,21,26,30,33,31,20,23,141,NEUROPSYCHOPHARMACOLOGY
8,6.306,BRAIN BEHAV IMMUN,339,0,38,44,34,49,21,33,26,19,19,56,NEUROPSYCHOPHARMACOLOGY
9,14.319,NEURON,319,1,13,26,28,26,30,29,21,23,17,105,NEUROPSYCHOPHARMACOLOGY
10,13.396,AM J PSYCHIAT,302,2,25,21,13,15,13,19,8,9,11,166,NEUROPSYCHOPHARMACOLOGY
11,41.577,NATURE,296,2,18,21,25,25,16,23,15,17,12,122,NEUROPSYCHOPHARMACOLOGY
12,41.058,SCIENCE,284,2,18,8,10,9,9,12,20,14,15,167,NEUROPSYCHOPHARMACOLOGY
13,19.912,NAT NEUROSCI,278,0,21,31,21,33,17,11,13,12,11,108,NEUROPSYCHOPHARMACOLOGY
14,11.640,MOL PSYCHIATR,274,9,46,24,32,28,20,21,25,19,13,37,NEUROPSYCHOPHARMACOLOGY
15,5.426,NEUROIMAGE,231,1,12,15,23,10,39,14,21,20,10,66,NEUROPSYCHOPHARMACOLOGY
16,2.766,PLOS ONE,229,0,7,26,42,41,38,24,19,20,9,3,NEUROPSYCHOPHARMACOLOGY
17, ,ARCH GEN PSYCHIAT,201,0,0,0,0,0,15,16,13,14,12,131,NEUROPSYCHOPHARMACOLOGY
18,3.382,NEUROSCIENCE,185,2,9,9,11,8,10,8,14,16,8,90,NEUROPSYCHOPHARMACOLOGY
19,32.635,NAT REV NEUROSCI,181,1,12,10,7,14,16,11,11,24,22,53,NEUROPSYCHOPHARMACOLOGY
20,4.249,NEUROPHARMACOLOGY,163,1,10,17,27,10,27,8,7,16,5,35,NEUROPSYCHOPHARMACOLOGY
21,3.706,J PHARMACOL EXP THER,156,0,9,1,2,5,9,5,7,6,8,104,NEUROPSYCHOPHARMACOLOGY
22,8.037,NEUROSCI BIOBEHAV R,152,1,13,17,14,14,15,12,11,7,5,43,NEUROPSYCHOPHARMACOLOGY
23,3.125,BRAIN RES,150,0,5,4,7,1,2,7,5,0,2,117,NEUROPSYCHOPHARMACOLOGY
24,4.731,PSYCHONEUROENDOCRINO,142,0,4,23,15,17,17,7,9,10,7,33,NEUROPSYCHOPHARMACOLOGY
25,3.173,BEHAV BRAIN RES,128,0,5,18,8,10,7,9,5,16,9,41,NEUROPSYCHOPHARMACOLOGY
26,3.958,SCHIZOPHR RES,125,1,13,13,12,15,10,8,7,5,7,34,NEUROPSYCHOPHARMACOLOGY
27,2.832,EUR J NEUROSCI,119,1,1,5,8,8,8,4,6,7,8,63,NEUROPSYCHOPHARMACOLOGY
28,6.944,SCHIZOPHRENIA BULL,107,1,8,24,12,13,10,4,8,9,3,15,NEUROPSYCHOPHARMACOLOGY
29,3.786,J AFFECT DISORDERS,106,1,10,14,11,13,12,10,3,5,5,22,NEUROPSYCHOPHARMACOLOGY
30,2.538,PHARMACOL BIOCHEM BE,106,0,1,3,8,3,6,4,4,5,4,68,NEUROPSYCHOPHARMACOLOGY
