Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"24,537",6.544,6.278,6.782,2.191,235,7.3,7.8,0.043,2.270,88.51,5.00400,93.55500,NEUROPSYCHOPHARMACOLOGY
2016,"23,920",6.403,6.073,6.991,1.965,284,6.9,7.6,0.04668,2.462,89.44,5.34799,92.78200,NEUROPSYCHOPHARMACOLOGY
2015,"22,869",6.399,6.082,7.825,1.794,291,6.7,7.8,0.04998,2.648,94.16,5.69717,93.25900,NEUROPSYCHOPHARMACOLOGY
2014,"22,005",7.048,6.709,8.168,1.582,292,6.4,7.3,0.05006,2.643,94.86,5.60720,93.68000,NEUROPSYCHOPHARMACOLOGY
2013,"21,567",7.833,7.483,8.518,1.765,255,6.0,7.2,0.05741,2.820,92.55,6.32806,95.00300,NEUROPSYCHOPHARMACOLOGY
2012,"19,882",8.678,8.236,7.796,1.802,248,6.0,7.3,0.05716,2.674,93.95,Not Available,95.63400,NEUROPSYCHOPHARMACOLOGY
2011,"18,318",7.991,7.617,7.223,1.543,232,5.8,7.3,0.05345,2.309,91.81,Not Available,95.25000,NEUROPSYCHOPHARMACOLOGY
2010,"16,460",6.685,6.366,6.460,1.950,221,5.7,7.2,0.05276,2.136,88.69,Not Available,94.18700,NEUROPSYCHOPHARMACOLOGY
2009,"15,516",6.993,6.646,6.813,1.650,237,5.2,7.0,0.05908,2.232,87.76,Not Available,94.57200,NEUROPSYCHOPHARMACOLOGY
2008,"14,491",6.835,6.444,6.716,2.106,284,4.8,7.2,0.0597,2.164,92.61,Not Available,94.58000,NEUROPSYCHOPHARMACOLOGY
2007,"12,404",6.157,5.830,6.347,1.536,250,4.7,7.4,0.05543,2.026,94.80,Not Available,93.61200,NEUROPSYCHOPHARMACOLOGY
2006,"10,037",5.889,5.508,Not Available,1.130,270,4.4,7.5,Not Available,Not Available,94.44,Not Available,93.39500,NEUROPSYCHOPHARMACOLOGY
2005,"8,971",5.369,5.034,Not Available,1.181,232,4.3,7.1,Not Available,Not Available,93.53,Not Available,92.98900,NEUROPSYCHOPHARMACOLOGY
2004,"7,448",4.941,4.603,Not Available,0.839,236,4.5,6.9,Not Available,Not Available,95.34,Not Available,91.77300,NEUROPSYCHOPHARMACOLOGY
2003,"6,405",5.201,4.849,Not Available,0.763,257,4.2,7.2,Not Available,Not Available,96.11,Not Available,92.05600,NEUROPSYCHOPHARMACOLOGY
2002,"4,857",4.497,4.209,Not Available,0.824,182,4.1,6.9,Not Available,Not Available,97.80,Not Available,90.56400,NEUROPSYCHOPHARMACOLOGY
2001,"4,240",4.715,4.375,Not Available,0.544,171,4.2,6.9,Not Available,Not Available,96.49,Not Available,91.22500,NEUROPSYCHOPHARMACOLOGY
2000,"3,685",4.579,4.206,Not Available,0.655,139,4.3,6.5,Not Available,Not Available,95.68,Not Available,91.42100,NEUROPSYCHOPHARMACOLOGY
1999,"3,239",4.858,4.352,Not Available,0.616,159,3.9,7.0,Not Available,Not Available,93.71,Not Available,91.67000,NEUROPSYCHOPHARMACOLOGY
1998,"2,588",4.318,4.318,Not Available,0.817,93,Not Available,7.3,Not Available,Not Available,91.40,Not Available,91.07000,NEUROPSYCHOPHARMACOLOGY
1997,"2,325",4.105,3.831,Not Available,0.482,83,4.1,7.1,Not Available,Not Available,92.77,Not Available,90.60500,NEUROPSYCHOPHARMACOLOGY
