,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,24279,608,1989,2190,2420,2153,1985,1756,1593,1079,1071,7435,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2,,ALL OTHERS (1372),1372,34,100,95,149,96,132,109,111,54,48,444,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
3,4.122,SCI REP-UK,746,23,65,71,93,86,66,44,49,36,33,180,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
4,8.037,NEUROSCI BIOBEHAV R,718,53,78,73,72,79,51,57,26,32,25,172,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
5,2.766,PLOS ONE,551,12,34,46,54,30,39,28,37,26,32,213,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
6,3.173,BEHAV BRAIN RES,443,2,31,22,37,33,19,32,22,14,26,205,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
7,,FRONT PSYCHOL,410,19,54,37,52,29,40,25,36,16,24,78,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
8,5.426,NEUROIMAGE,315,5,20,40,56,44,31,18,12,15,14,60,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
9,3.382,NEUROSCIENCE,291,3,18,34,27,20,12,16,16,11,13,121,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
10,2.871,FRONT HUM NEUROSCI,281,17,22,38,43,28,28,13,24,13,6,49,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
11,2.517,PHYSIOL BEHAV,264,3,23,12,13,10,14,23,12,14,8,132,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
12,4.927,HUM BRAIN MAPP,210,3,21,19,23,34,30,13,17,10,9,31,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
13,3.222,PSYCHOPHARMACOLOGY,208,3,13,16,16,31,16,12,14,6,5,76,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
14,3.138,FRONT BEHAV NEUROSCI,201,3,21,10,14,13,21,6,20,12,11,70,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
15,3.244,NEUROBIOL LEARN MEM,190,1,29,28,2,18,21,4,5,5,9,68,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
16,5.971,J NEUROSCI,186,7,17,16,11,16,21,6,15,5,9,63,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
17,4.418,HORM BEHAV,179,0,6,7,8,8,4,23,5,7,5,106,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
18,4.731,PSYCHONEUROENDOCRINO,168,7,15,18,23,9,13,19,25,7,6,26,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
19,3.877,FRONT NEUROSCI-SWITZ,163,5,17,11,22,23,16,11,5,8,7,38,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
20,4.249,NEUROPHARMACOLOGY,161,1,12,12,16,11,10,9,19,2,3,66,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
21,3.582,FRONT AGING NEUROSCI,156,9,6,9,27,26,7,6,17,4,3,42,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
22,6.544,NEUROPSYCHOPHARMACOL,152,1,13,17,14,14,15,12,11,7,5,43,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
23,3.786,J AFFECT DISORDERS,149,3,12,29,18,20,11,19,6,6,10,15,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
24,6.308,CEREB CORTEX,145,1,3,10,19,16,18,17,3,11,10,37,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
25,2.857,FRONT PSYCHIATRY,140,6,18,17,10,14,12,12,8,6,8,29,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
26,2.159,NEUROSCI LETT,135,2,12,16,11,10,6,7,6,6,5,54,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
27,2.889,NEUROPSYCHOLOGIA,133,4,8,11,19,18,18,9,9,8,12,17,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
28,4.185,PROG NEURO-PSYCHOPH,133,3,12,18,16,9,9,9,8,5,4,40,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
29,4.691,TRANSL PSYCHIAT,131,2,23,16,10,7,8,11,7,7,7,33,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
30,3.869,NEUROIMAGE-CLIN,130,1,11,7,16,18,28,3,6,8,7,25,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
31,3.500,SOC COGN AFFECT NEUR,127,1,17,11,25,20,6,15,6,6,7,13,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
32,4.231,BRAIN STRUCT FUNCT,118,2,5,13,10,11,8,3,7,4,7,48,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
33,2.891,BIOL PSYCHOL,116,2,8,5,7,5,20,6,18,8,3,34,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
34,4.907,CORTEX,104,4,15,11,13,15,11,5,9,5,6,10,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
35,2.662,J NEUROSCI RES,104,1,9,11,18,1,7,10,4,6,2,35,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
36,2.538,PHARMACOL BIOCHEM BE,104,1,2,6,8,8,4,6,5,1,7,56,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
37,2.223,PSYCHIAT RES,104,3,12,11,9,12,6,13,7,7,10,14,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
38,4.738,J PSYCHOPHARMACOL,103,5,5,14,7,10,4,3,5,3,5,42,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
39,6.306,BRAIN BEHAV IMMUN,102,1,13,9,8,6,6,2,10,14,4,29,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
40,3.125,BRAIN RES,102,0,8,7,8,12,7,8,3,4,2,43,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
41,2.455,PSYCHIAT RES-NEUROIM,96,0,11,5,10,10,18,12,6,3,6,15,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
