,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,51000,494,2831,3823,3853,3925,3362,3127,2925,2724,2418,21518,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2, ,ALL OTHERS (3276),3276,50,211,219,219,210,193,150,161,109,112,1642,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
3,5.971,J NEUROSCI,1385,4,38,71,90,96,63,115,104,102,88,614,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
4,9.504,P NATL ACAD SCI USA,995,4,45,53,41,67,76,70,76,60,52,451,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
5,5.426,NEUROIMAGE,938,10,66,48,71,65,94,87,108,43,64,282,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
6,11.984,BIOL PSYCHIAT,905,1,67,41,45,51,37,73,61,54,59,416,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
7,2.766,PLOS ONE,834,5,40,90,142,168,158,98,49,37,33,14,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
8,8.037,NEUROSCI BIOBEHAV R,718,53,78,73,72,79,51,57,26,32,25,172,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
9,41.058,SCIENCE,701,4,22,17,23,19,23,18,29,37,32,477,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
10,41.577,NATURE,562,1,21,28,28,18,27,39,25,26,20,329,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
11,14.319,NEURON,540,3,24,41,54,54,48,37,29,25,25,200,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
12,6.544,NEUROPSYCHOPHARMACOL,534,8,38,41,41,39,31,53,44,29,34,176,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
13,3.125,BRAIN RES,518,0,17,26,12,16,18,20,24,25,23,337,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
14,19.912,NAT NEUROSCI,495,2,22,36,39,31,25,28,26,39,21,226,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
15,3.382,NEUROSCIENCE,475,6,15,34,39,30,25,20,24,31,20,231,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
