Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"24,279",8.037,7.746,10.016,1.888,322,6.4,8.4,0.048,3.280,18.01,5.65800,94.38800,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2016,"20,452",8.299,8.009,10.156,1.195,287,6.3,7.7,0.04714,3.536,9.41,5.41174,94.36400,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2015,"18,522",8.580,8.298,10.504,1.498,233,6.2,8.3,0.04521,3.615,2.15,5.15276,94.52200,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2014,"16,868",8.802,8.522,10.528,1.657,198,6.4,8.0,0.04123,3.596,2.53,4.61774,94.67200,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2013,"15,111",10.284,9.878,11.075,1.401,207,6.7,7.4,0.03829,3.731,2.42,4.22021,95.36600,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2012,"12,968",9.440,9.200,9.924,2.129,147,6.8,8.1,0.03349,3.487,0.68,Not Available,95.16700,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2011,"11,422",8.650,8.327,9.673,2.408,142,6.6,8.3,0.02965,3.369,0.00,Not Available,94.42500,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2010,"10,008",9.015,8.819,10.240,1.752,133,6.4,7.4,0.03053,3.593,0.00,Not Available,94.78100,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2009,"9,045",7.791,7.615,10.141,1.774,93,6.4,7.8,0.0297,3.472,23.66,Not Available,94.52700,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2008,"7,960",7.804,7.640,9.563,1.426,101,6.7,7.6,0.02488,3.128,15.84,Not Available,94.06000,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2007,"6,703",8.147,7.901,8.899,0.975,81,6.7,8.1,0.02494,3.193,28.40,Not Available,94.02300,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2006,"6,056",8.293,8.140,Not Available,1.222,72,6.3,8.3,Not Available,Not Available,12.50,Not Available,94.14900,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2005,"5,381",7.443,7.165,Not Available,1.055,91,6.4,7.9,Not Available,Not Available,48.35,Not Available,94.81100,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2004,"4,707",6.346,6.233,Not Available,0.788,66,6.4,7.8,Not Available,Not Available,22.73,Not Available,94.69300,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2003,"4,056",5.482,5.385,Not Available,0.367,49,6.1,7.6,Not Available,Not Available,61.22,Not Available,93.60100,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2002,"3,596",5.504,5.336,Not Available,0.491,53,6.0,8.5,Not Available,Not Available,28.30,Not Available,93.54900,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2001,"3,258",5.212,5.070,Not Available,0.579,38,5.9,6.8,Not Available,Not Available,13.16,Not Available,92.22200,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
2000,"3,048",3.382,3.263,Not Available,1.063,63,6.4,9.1,Not Available,Not Available,34.92,Not Available,86.86400,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1999,"2,942",3.595,3.446,Not Available,0.280,50,7.0,8.2,Not Available,Not Available,28.00,Not Available,90.05900,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1998,"2,607",3.316,3.210,Not Available,0.441,102,6.8,8.5,Not Available,Not Available,25.49,Not Available,89.36200,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
1997,"2,309",2.786,2.724,Not Available,0.303,66,7.0,7.6,Not Available,Not Available,19.70,Not Available,84.27800,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
