,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4738,86,339,325,420,356,363,386,213,193,234,1823,NEUROSCIENTIST
2,,ALL OTHERS (697),697,14,48,39,47,30,41,63,35,30,30,320,NEUROSCIENTIST
3,4.122,SCI REP-UK,182,4,14,13,21,19,18,21,7,3,10,52,NEUROSCIENTIST
4,5.426,NEUROIMAGE,117,0,8,8,10,19,16,15,2,3,5,31,NEUROSCIENTIST
5,2.766,PLOS ONE,96,0,7,7,7,10,4,6,6,4,5,40,NEUROSCIENTIST
6,5.971,J NEUROSCI,93,3,5,4,5,12,6,3,5,5,7,38,NEUROSCIENTIST
7,6.308,CEREB CORTEX,77,1,1,3,10,11,4,4,3,4,2,34,NEUROSCIENTIST
8,8.037,NEUROSCI BIOBEHAV R,71,1,3,4,6,4,9,10,1,0,4,29,NEUROSCIENTIST
9,4.927,HUM BRAIN MAPP,62,0,2,7,2,11,8,7,0,0,1,24,NEUROSCIENTIST
10,2.871,FRONT HUM NEUROSCI,60,0,3,3,11,3,7,9,4,1,4,15,NEUROSCIENTIST
11,3.382,NEUROSCIENCE,59,1,7,5,2,2,6,4,4,1,3,24,NEUROSCIENTIST
12,3.877,FRONT NEUROSCI-SWITZ,56,6,3,6,4,3,3,8,4,3,2,14,NEUROSCIENTIST
13,2.502,J NEUROPHYSIOL,53,0,2,3,2,3,5,2,1,2,6,27,NEUROSCIENTIST
14,4.300,FRONT CELL NEUROSCI,49,1,4,5,2,3,7,1,4,4,2,16,NEUROSCIENTIST
15,4.907,CORTEX,44,1,4,0,7,8,2,5,1,1,2,13,NEUROSCIENTIST
16,,FRONT PSYCHOL,42,1,1,1,2,3,2,4,1,0,3,24,NEUROSCIENTIST
17,3.173,BEHAV BRAIN RES,41,0,2,2,1,3,4,4,0,0,2,23,NEUROSCIENTIST
18,5.076,MOL NEUROBIOL,39,0,2,1,4,1,2,5,2,2,3,17,NEUROSCIENTIST
19,4.231,BRAIN STRUCT FUNCT,36,0,3,2,2,8,2,0,0,0,1,18,NEUROSCIENTIST
20,7.616,ELIFE,36,1,3,3,4,4,3,2,1,2,2,11,NEUROSCIENTIST
21,3.508,FRONT NEUROL,34,2,5,2,5,2,3,3,0,1,0,11,NEUROSCIENTIST
22,2.889,NEUROPSYCHOLOGIA,34,1,1,0,4,6,3,3,1,0,1,14,NEUROSCIENTIST
23,3.125,BRAIN RES,29,0,2,1,4,4,3,4,0,2,1,8,NEUROSCIENTIST
24,5.002,J NEUROTRAUM,29,0,1,5,3,2,6,1,0,1,1,9,NEUROSCIENTIST
25,12.353,NAT COMMUN,29,0,2,2,3,4,5,2,0,1,1,9,NEUROSCIENTIST
26,4.249,NEUROPHARMACOLOGY,29,0,4,0,1,5,2,1,1,0,2,13,NEUROSCIENTIST
27,3.614,CLIN NEUROPHYSIOL,28,2,2,6,3,1,2,4,1,0,1,6,NEUROSCIENTIST
28,3.582,FRONT AGING NEUROSCI,27,3,2,7,2,3,2,1,1,1,1,4,NEUROSCIENTIST
29,3.902,FRONT MOL NEUROSCI,27,1,5,5,3,1,2,0,2,3,0,5,NEUROSCIENTIST
30,3.687,INT J MOL SCI,27,0,3,4,1,1,2,1,1,3,4,7,NEUROSCIENTIST
31,2.662,J NEUROSCI RES,26,0,2,4,0,1,2,3,1,3,1,9,NEUROSCIENTIST
32,3.476,J ALZHEIMERS DIS,25,0,1,0,3,7,2,1,1,1,0,9,NEUROSCIENTIST
33,4.540,J PHYSIOL-LONDON,25,0,1,3,3,0,2,1,4,0,2,9,NEUROSCIENTIST
34,3.138,FRONT BEHAV NEUROSCI,24,1,4,1,2,3,1,3,0,0,1,8,NEUROSCIENTIST
35,3.869,NEUROIMAGE-CLIN,24,0,0,1,5,4,2,0,0,1,1,10,NEUROSCIENTIST
36,4.609,J NEUROCHEM,22,0,2,2,0,3,4,0,0,1,0,10,NEUROSCIENTIST
37,2.159,NEUROSCI LETT,22,0,1,1,0,3,0,2,4,1,0,10,NEUROSCIENTIST
38,7.461,NEUROSCIENTIST,22,0,0,2,4,0,3,4,2,1,1,5,NEUROSCIENTIST
39,5.559,PAIN,22,1,6,0,4,0,2,2,2,0,0,5,NEUROSCIENTIST
40,3.244,NEUROBIOL LEARN MEM,20,0,3,4,0,1,1,0,1,1,1,8,NEUROSCIENTIST
41,2.772,NEUROCHEM RES,20,1,0,1,2,0,2,1,3,0,1,9,NEUROSCIENTIST
42,,ONCOTARGET,20,0,3,0,2,1,1,1,2,3,0,7,NEUROSCIENTIST
43,9.504,P NATL ACAD SCI USA,20,1,1,1,1,0,2,0,0,3,0,11,NEUROSCIENTIST
44,11.984,BIOL PSYCHIAT,19,0,3,2,1,2,1,2,0,1,0,7,NEUROSCIENTIST
45,5.846,GLIA,19,1,3,4,3,3,0,0,1,0,0,4,NEUROSCIENTIST
46,3.500,SOC COGN AFFECT NEUR,19,0,0,0,5,3,1,4,0,0,0,6,NEUROSCIENTIST
47,15.557,TRENDS COGN SCI,19,1,3,1,2,3,1,0,1,1,2,4,NEUROSCIENTIST
48,3.161,NEURAL PLAST,18,1,2,1,4,0,2,0,0,2,2,4,NEUROSCIENTIST
49,4.454,NEUROBIOL AGING,18,0,2,3,5,0,2,1,0,1,0,4,NEUROSCIENTIST
50,14.319,NEURON,18,0,2,2,3,0,1,0,0,0,1,9,NEUROSCIENTIST
51,2.455,PSYCHIAT RES-NEUROIM,18,0,2,0,5,1,5,2,0,0,0,3,NEUROSCIENTIST
52,3.719,BRAIN IMAGING BEHAV,17,0,2,1,5,0,1,4,0,0,0,4,NEUROSCIENTIST
53,,BRAIN SCI,17,1,3,3,1,0,0,2,1,1,2,3,NEUROSCIENTIST
54,6.120,BRAIN STIMUL,17,0,3,4,1,1,1,5,0,0,1,1,NEUROSCIENTIST
55,,ENEURO,17,0,2,0,1,1,2,1,2,2,1,5,NEUROSCIENTIST
56,1.806,EXP BRAIN RES,17,1,1,2,0,0,1,1,2,1,2,6,NEUROSCIENTIST
57,2.832,EUR J NEUROSCI,16,2,0,1,0,0,1,3,0,1,2,6,NEUROSCIENTIST
58,6.544,NEUROPSYCHOPHARMACOL,16,0,2,2,2,0,1,1,1,2,0,5,NEUROSCIENTIST
59,2.219,BRAIN BEHAV,15,0,1,0,3,2,1,2,0,0,2,4,NEUROSCIENTIST
60,3.440,BRAIN RES BULL,15,0,2,0,2,0,3,0,1,0,2,5,NEUROSCIENTIST
61,11.640,MOL PSYCHIATR,15,0,0,4,1,1,1,1,1,1,0,5,NEUROSCIENTIST
62,19.912,NAT NEUROSCI,15,0,3,2,5,0,2,0,0,0,0,3,NEUROSCIENTIST
63,3.955,PLOS COMPUT BIOL,15,0,0,2,2,1,0,2,0,0,0,8,NEUROSCIENTIST
64,14.163,PROG NEUROBIOL,15,0,0,2,2,1,1,1,1,3,1,3,NEUROSCIENTIST
65,4.211,ACS CHEM NEUROSCI,14,1,3,1,1,3,0,0,2,0,0,3,NEUROSCIENTIST
66,3.199,CEREBELLUM,14,0,3,0,0,1,0,0,0,0,1,9,NEUROSCIENTIST
67,,CONSCIOUS COGN,14,0,0,0,1,1,3,0,0,1,0,8,NEUROSCIENTIST
68,4.483,EXP NEUROL,14,0,1,1,1,1,0,0,0,2,2,6,NEUROSCIENTIST
69,5.193,J NEUROINFLAMM,14,0,0,3,3,1,1,0,2,0,0,4,NEUROSCIENTIST
70,4.711,NEUROREHAB NEURAL RE,14,1,0,1,3,0,1,1,0,1,0,6,NEUROSCIENTIST
71,6.187,BRAIN PATHOL,13,0,0,5,3,0,0,0,1,0,1,3,NEUROSCIENTIST
72,2.565,COGN AFFECT BEHAV NE,13,0,0,0,2,1,2,2,0,0,1,5,NEUROSCIENTIST
73,6.541,CURR OPIN NEUROBIOL,13,0,1,1,2,1,0,3,1,0,1,3,NEUROSCIENTIST
74,2.073,FRONT COMPUT NEUROSC,13,2,0,0,1,0,1,0,0,0,1,8,NEUROSCIENTIST
75,3.400,J COMP NEUROL,13,0,1,0,0,0,1,1,2,1,0,7,NEUROSCIENTIST
76,2.234,NEURAL REGEN RES,13,0,2,0,2,3,2,1,0,0,0,3,NEUROSCIENTIST
77,10.848,BRAIN,12,0,0,0,2,1,2,0,0,1,1,5,NEUROSCIENTIST
78,6.306,BRAIN BEHAV IMMUN,12,0,1,2,1,1,1,1,0,0,0,5,NEUROSCIENTIST
79,2.559,BIOCHEM BIOPH RES CO,11,0,0,2,0,2,0,0,1,1,0,5,NEUROSCIENTIST
80,4.068,CURR NEUROPHARMACOL,11,0,1,0,1,1,2,1,0,1,0,4,NEUROSCIENTIST
81,2.757,CURR PHARM DESIGN,11,0,0,1,0,1,1,2,0,0,1,5,NEUROSCIENTIST
82,2.600,EPILEPSY BEHAV,11,0,0,1,0,1,2,0,1,0,1,5,NEUROSCIENTIST
83,3.152,FRONT NEUROANAT,11,2,0,2,0,0,0,1,0,0,2,4,NEUROSCIENTIST
84,2.857,FRONT PSYCHIATRY,11,0,0,1,1,0,1,1,2,1,0,4,NEUROSCIENTIST
