,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,4384,34,264,415,383,364,279,284,262,232,198,1669,NEUROSCIENTIST
2, ,ALL OTHERS (495),495,5,36,38,36,42,32,32,33,15,20,206,NEUROSCIENTIST
3,5.971,J NEUROSCI,343,0,10,33,27,25,26,32,23,28,24,115,NEUROSCIENTIST
4,9.504,P NATL ACAD SCI USA,183,1,6,12,7,12,7,6,15,17,8,92,NEUROSCIENTIST
5,14.319,NEURON,182,3,8,18,17,21,14,12,8,10,4,67,NEUROSCIENTIST
6,19.912,NAT NEUROSCI,120,1,9,12,13,11,5,5,7,13,6,38,NEUROSCIENTIST
7,41.577,NATURE,114,2,3,5,11,2,5,4,14,3,2,63,NEUROSCIENTIST
8,41.058,SCIENCE,104,1,7,3,8,10,5,3,4,5,2,56,NEUROSCIENTIST
9,5.426,NEUROIMAGE,75,0,2,14,10,8,5,9,11,6,1,9,NEUROSCIENTIST
10,10.848,BRAIN,66,0,2,5,6,2,1,2,4,4,3,37,NEUROSCIENTIST
11,2.502,J NEUROPHYSIOL,66,0,0,8,3,2,2,3,3,4,5,36,NEUROSCIENTIST
12,2.766,PLOS ONE,62,0,2,6,11,14,7,15,3,1,2,1,NEUROSCIENTIST
13,32.635,NAT REV NEUROSCI,58,0,2,2,2,7,6,4,8,7,3,17,NEUROSCIENTIST
14,31.398,CELL,57,0,4,5,9,4,4,3,6,4,2,16,NEUROSCIENTIST
15,6.308,CEREB CORTEX,54,1,1,11,5,6,6,4,5,1,3,11,NEUROSCIENTIST
16,3.125,BRAIN RES,51,0,2,2,1,0,0,2,0,0,3,41,NEUROSCIENTIST
17,2.832,EUR J NEUROSCI,46,0,1,0,6,3,4,2,5,3,1,21,NEUROSCIENTIST
18,4.540,J PHYSIOL-LONDON,44,0,0,2,1,3,2,4,1,1,3,27,NEUROSCIENTIST
19,3.382,NEUROSCIENCE,44,0,3,1,5,1,2,1,2,2,2,25,NEUROSCIENTIST
