Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"4,738",7.461,7.438,7.873,1.870,46,7.4,7.6,0.009,2.768,32.61,1.02000,93.22100,NEUROSCIENTIST
2016,"4,325",7.391,7.347,7.899,1.844,45,7.3,8.0,0.00986,3.007,24.44,1.13290,93.91500,NEUROSCIENTIST
2015,"4,096",7.295,7.231,7.609,1.977,44,6.9,7.4,0.01008,2.899,22.73,1.14927,93.66700,NEUROSCIENTIST
2014,"3,821",6.837,6.771,6.675,1.708,48,7.1,7.1,0.00882,2.404,37.50,0.98766,93.19800,NEUROSCIENTIST
2013,"3,594",7.618,7.573,6.491,1.702,47,6.6,7.4,0.00915,2.367,61.70,1.00848,94.13900,NEUROSCIENTIST
2012,"3,259",5.633,5.600,6.417,1.356,45,6.1,6.9,0.0099,2.363,44.44,Not Available,89.79500,NEUROSCIENTIST
2011,"2,935",4.568,4.515,6.234,1.341,44,5.7,7.1,0.01051,2.397,38.64,Not Available,83.58700,NEUROSCIENTIST
2010,"2,641",4.577,4.525,6.362,0.522,46,5.3,7.1,0.01231,2.611,43.48,Not Available,82.60400,NEUROSCIENTIST
2009,"2,497",6.079,6.000,6.803,0.571,49,4.7,6.0,0.01351,2.660,40.82,Not Available,92.80100,NEUROSCIENTIST
2008,"2,200",5.896,5.833,6.455,0.667,48,4.3,6.7,0.01391,2.594,45.83,Not Available,92.18500,NEUROSCIENTIST
2007,"1,782",5.796,5.698,5.711,0.660,53,3.8,6.7,0.01317,2.303,35.85,Not Available,92.91600,NEUROSCIENTIST
2006,"1,429",5.710,5.650,Not Available,0.465,43,3.6,6.5,Not Available,Not Available,20.93,Not Available,93.59400,NEUROSCIENTIST
2005,"1,028",4.458,4.333,Not Available,0.500,50,3.3,5.5,Not Available,Not Available,28.00,Not Available,88.15200,NEUROSCIENTIST
2004,834,3.175,3.116,Not Available,0.440,50,3.3,5.5,Not Available,Not Available,26.00,Not Available,78.51600,NEUROSCIENTIST
2003,615,2.822,2.813,Not Available,0.370,46,2.9,5.6,Not Available,Not Available,34.78,Not Available,74.50300,NEUROSCIENTIST
2002,465,1.594,1.572,Not Available,0.246,57,4.1,5.7,Not Available,Not Available,33.33,Not Available,48.83700,NEUROSCIENTIST
2001,486,1.420,1.409,Not Available,0.220,50,4.1,4.9,Not Available,Not Available,38.00,Not Available,49.16600,NEUROSCIENTIST
2000,441,1.918,1.847,Not Available,0.217,46,3.5,5.3,Not Available,Not Available,56.52,Not Available,61.33200,NEUROSCIENTIST
1999,408,2.233,2.197,Not Available,0.476,42,2.9,5.1,Not Available,Not Available,73.81,Not Available,68.89700,NEUROSCIENTIST
1998,327,2.174,2.081,Not Available,0.419,43,2.5,5.2,Not Available,Not Available,41.86,Not Available,72.59700,NEUROSCIENTIST
