,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,952,129,163,298,360,2,0,0,0,0,0,0,National Science Review
2,,ALL OTHERS (313),313,22,57,75,158,1,0,0,0,0,0,0,National Science Review
3,3.813,PHYS REV B,30,2,7,8,13,0,0,0,0,0,0,0,National Science Review
4,8.097,ACS APPL MATER INTER,20,11,4,3,2,0,0,0,0,0,0,0,National Science Review
5,9.408,NATL SCI REV,20,10,2,2,6,0,0,0,0,0,0,0,National Science Review
6,4.122,SCI REP-UK,20,0,2,10,8,0,0,0,0,0,0,0,National Science Review
7,3.906,PHYS CHEM CHEM PHYS,16,2,2,10,2,0,0,0,0,0,0,0,National Science Review
8,14.357,J AM CHEM SOC,15,5,2,4,4,0,0,0,0,0,0,0,National Science Review
9,12.102,ANGEW CHEM INT EDIT,14,4,2,6,2,0,0,0,0,0,0,0,National Science Review
10,2.866,J ASIAN EARTH SCI,13,0,13,0,0,0,0,0,0,0,0,0,National Science Review
11,9.931,J MATER CHEM A,13,7,1,3,2,0,0,0,0,0,0,0,National Science Review
12,2.909,PHYS REV A,12,0,7,3,2,0,0,0,0,0,0,0,National Science Review
13,12.353,NAT COMMUN,11,0,4,5,2,0,0,0,0,0,0,0,National Science Review
14,6.290,CHEM COMMUN,10,5,1,3,1,0,0,0,0,0,0,0,National Science Review
15,21.950,ADV MATER,9,1,0,3,5,0,0,0,0,0,0,0,National Science Review
16,13.709,ACS NANO,8,0,0,4,4,0,0,0,0,0,0,0,National Science Review
17,5.116,ELECTROCHIM ACTA,8,4,1,2,1,0,0,0,0,0,0,0,National Science Review
18,4.484,J PHYS CHEM C,8,0,0,8,0,0,0,0,0,0,0,0,National Science Review
19,8.709,J PHYS CHEM LETT,8,2,1,4,1,0,0,0,0,0,0,0,National Science Review
20,13.120,NANO ENERGY,8,3,0,1,4,0,0,0,0,0,0,0,National Science Review
21,7.233,NANOSCALE,8,1,1,5,1,0,0,0,0,0,0,0,National Science Review
22,8.839,PHYS REV LETT,8,1,2,1,4,0,0,0,0,0,0,0,National Science Review
23,2.936,RSC ADV,8,1,1,5,1,0,0,0,0,0,0,0,National Science Review
24,2.617,J PHYS-CONDENS MAT,7,1,0,2,4,0,0,0,0,0,0,0,National Science Review
25,9.504,P NATL ACAD SCI USA,7,0,0,3,4,0,0,0,0,0,0,0,National Science Review
