,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6201,167,797,821,714,594,469,408,296,260,219,1456,National Science Review
2, ,ALL OTHERS (783),783,31,86,69,67,60,36,37,45,26,28,298,National Science Review
3,14.357,J AM CHEM SOC,300,5,32,44,25,34,33,23,26,11,6,61,National Science Review
4,12.102,ANGEW CHEM INT EDIT,295,9,43,51,39,50,30,19,5,10,7,32,National Science Review
5,41.577,NATURE,196,9,31,21,25,9,9,8,5,7,13,59,National Science Review
6,41.058,SCIENCE,163,1,14,17,8,14,5,9,5,9,13,68,National Science Review
7,6.492,ORG LETT,149,1,28,23,25,13,14,17,7,2,6,13,National Science Review
8,3.708,ATMOS ENVIRON,129,6,13,16,8,16,7,10,7,10,7,29,National Science Review
9,5.509,ATMOS CHEM PHYS,115,19,17,15,13,12,10,9,3,5,3,9,National Science Review
10,4.394,PHYS REV D,106,5,12,9,5,5,7,5,4,8,9,37,National Science Review
11,8.839,PHYS REV LETT,97,0,11,6,5,4,4,7,1,3,8,48,National Science Review
12,6.653,ENVIRON SCI TECHNOL,91,3,11,11,9,7,8,4,4,13,3,18,National Science Review
13,12.080,NANO LETT,91,0,14,13,8,17,12,9,4,0,3,11,National Science Review
14,21.950,ADV MATER,87,0,15,13,18,13,4,8,3,4,0,9,National Science Review
15,6.290,CHEM COMMUN,83,0,15,12,10,7,9,8,1,4,0,17,National Science Review
16,52.613,CHEM REV,83,0,8,24,11,0,3,5,0,1,1,30,National Science Review
17,9.504,P NATL ACAD SCI USA,78,1,6,11,9,3,6,8,6,5,4,19,National Science Review
18,12.353,NAT COMMUN,76,2,12,20,18,16,4,2,2,0,0,0,National Science Review
19,4.805,J ORG CHEM,67,0,8,7,5,10,5,13,1,3,0,15,National Science Review
20,6.945,J POWER SOURCES,63,0,6,5,6,8,4,5,3,3,4,19,National Science Review
21,3.813,PHYS REV B,59,2,7,5,1,1,4,4,7,2,4,22,National Science Review
22,3.380,J GEOPHYS RES-ATMOS,58,0,2,3,5,4,3,2,3,6,2,28,National Science Review
23,3.495,APPL PHYS LETT,54,0,0,3,4,6,4,3,4,5,7,18,National Science Review
24,30.067,ENERG ENVIRON SCI,54,0,5,5,18,8,6,6,3,3,0,0,National Science Review
25,5.160,CHEM-EUR J,53,3,4,12,8,12,8,2,2,1,1,0,National Science Review
26,21.875,ADV ENERGY MATER,48,0,15,14,6,2,8,3,0,0,0,0,National Science Review
27,40.182,CHEM SOC REV,48,1,3,8,6,6,10,4,1,5,3,1,National Science Review
28,13.709,ACS NANO,46,0,4,7,9,7,5,3,7,4,0,0,National Science Review
29,20.955,ACCOUNTS CHEM RES,44,0,1,2,8,11,2,8,1,2,3,6,National Science Review
30,3.662,J ELECTROCHEM SOC,44,0,3,8,2,4,5,1,2,2,0,17,National Science Review
31,39.235,NAT MATER,43,0,2,3,2,8,5,3,3,3,6,8,National Science Review
32,4.122,SCI REP-UK,43,2,16,15,8,1,1,0,0,0,0,0,National Science Review
33,9.890,CHEM MATER,39,0,4,6,7,2,5,5,3,0,2,5,National Science Review
34,4.581,EARTH PLANET SC LETT,38,0,0,0,1,5,6,3,1,2,1,19,National Science Review
35,4.484,J PHYS CHEM C,38,0,6,4,5,6,5,4,3,1,0,4,National Science Review
36,23.290,CELL STEM CELL,36,2,8,10,9,1,2,1,1,1,1,0,National Science Review
37,13.325,ADV FUNCT MATER,35,0,6,3,10,6,3,1,2,1,0,3,National Science Review
38,9.931,J MATER CHEM A,35,0,6,11,11,7,0,0,0,0,0,0,National Science Review
39,31.398,CELL,34,2,5,6,6,3,4,3,0,0,1,4,National Science Review
40,8.097,ACS APPL MATER INTER,31,0,6,14,5,5,1,0,0,0,0,0,National Science Review
41,5.551,ASTROPHYS J,31,1,3,1,2,1,2,3,2,0,1,15,National Science Review
42,4.610,SCI TOTAL ENVIRON,31,6,5,4,4,4,3,0,1,1,2,1,National Science Review
43, ,ADV NEURAL INFORM PR,30,0,2,1,2,8,1,2,4,3,2,5,National Science Review
44,26.919,NAT METHODS,30,0,0,2,6,5,5,2,0,2,5,3,National Science Review
45,5.194,MON NOT R ASTRON SOC,29,0,13,4,5,2,1,1,0,1,0,2,National Science Review
46,9.063,CHEM SCI,26,1,5,4,6,1,4,5,0,0,0,0,National Science Review
47,5.116,ELECTROCHIM ACTA,26,0,3,0,2,4,8,1,5,0,0,3,National Science Review
48,4.339,GEOPHYS RES LETT,26,1,2,3,0,0,1,1,1,0,0,17,National Science Review
49, ,J MATER CHEM,26,0,0,0,0,0,7,9,3,3,1,3,National Science Review
50,2.125,TETRAHEDRON LETT,26,1,1,3,3,2,1,0,1,1,0,13,National Science Review
51,5.123,ADV SYNTH CATAL,25,2,1,3,4,5,3,0,5,1,0,1,National Science Review
52,5.126,J COSMOL ASTROPART P,25,1,7,2,0,0,2,3,2,3,3,2,National Science Review
53,3.423,ORG BIOMOL CHEM,25,0,5,2,5,0,3,5,0,1,0,4,National Science Review
54,2.377,TETRAHEDRON,25,0,2,5,5,0,5,0,1,1,0,6,National Science Review
55,2.843,J CHEM PHYS,24,0,1,2,5,0,0,1,4,0,1,10,National Science Review
56,11.406,NAT PROD REP,22,0,6,3,2,2,1,1,3,2,0,2,National Science Review
57,5.455,ORG CHEM FRONT,22,0,6,9,7,0,0,0,0,0,0,0,National Science Review
58,32.521,NAT PHOTONICS,20,0,3,2,2,3,1,5,1,1,1,1,National Science Review
59,9.408,NATL SCI REV,20,10,2,2,6,0,0,0,0,0,0,0,National Science Review
60, ,INT C MACH LEARN,19,0,0,0,11,2,2,2,1,1,0,0,National Science Review
61,26.360,J CLIN ONCOL,19,0,0,6,5,4,1,2,0,1,0,0,National Science Review
62,26.201,NAT CHEM,19,4,0,1,1,4,3,3,3,0,0,0,National Science Review
63,2.766,PLOS ONE,19,0,2,2,2,4,3,2,1,1,2,0,National Science Review
64,37.490,NAT NANOTECHNOL,17,0,0,2,5,4,1,2,1,2,0,0,National Science Review
65,3.906,PHYS CHEM CHEM PHYS,17,0,1,6,2,2,2,3,0,0,1,0,National Science Review
66,3.692,CHEM-ASIAN J,16,0,0,5,3,5,2,0,0,1,0,0,National Science Review
67,2.058,SCI CHINA EARTH SCI,16,0,12,0,3,0,1,0,0,0,0,0,National Science Review
68,15.393,CELL RES,15,0,7,6,0,1,0,0,1,0,0,0,National Science Review
69,5.976,J MATER CHEM C,15,0,5,3,2,5,0,0,0,0,0,0,National Science Review
70,4.254,PHYS LETT B,15,2,1,0,0,0,0,0,0,0,0,12,National Science Review
71,2.936,RSC ADV,15,0,3,5,3,1,0,3,0,0,0,0,National Science Review
72,9.598,SMALL,15,0,4,5,1,1,2,1,0,1,0,0,National Science Review
73,2.369,SYNLETT,15,1,1,0,1,2,1,2,2,0,0,5,National Science Review
