,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,178348,7895,36160,47014,42542,25042,11167,6130,2145,9,1,243,Nature Communications
2,,ALL OTHERS (1701),1701,51,310,402,412,263,123,80,50,0,0,10,Nature Communications
3,4.122,SCI REP-UK,7109,243,1361,1825,1697,1023,529,278,139,1,0,13,Nature Communications
4,12.353,NAT COMMUN,4787,359,1077,1313,1032,563,271,121,40,0,0,11,Nature Communications
5,3.813,PHYS REV B,4735,319,1065,1102,1039,555,465,138,49,0,1,2,Nature Communications
6,8.097,ACS APPL MATER INTER,3310,122,514,876,902,558,219,93,23,0,0,3,Nature Communications
7,9.931,J MATER CHEM A,2681,107,483,808,616,474,112,69,12,0,0,0,Nature Communications
8,21.950,ADV MATER,2590,47,448,796,667,387,161,73,10,0,0,1,Nature Communications
9,12.080,NANO LETT,1762,100,355,513,384,221,125,50,14,0,0,0,Nature Communications
10,13.709,ACS NANO,1712,84,294,465,431,249,116,63,7,0,0,3,Nature Communications
11,7.233,NANOSCALE,1636,68,295,424,413,231,126,57,19,0,0,3,Nature Communications
12,8.839,PHYS REV LETT,1631,99,383,384,342,231,119,55,17,0,0,1,Nature Communications
13,14.357,J AM CHEM SOC,1560,109,372,444,362,158,64,45,5,0,0,1,Nature Communications
14,2.909,PHYS REV A,1552,89,295,352,369,221,134,68,24,0,0,0,Nature Communications
15,9.504,P NATL ACAD SCI USA,1538,105,403,388,330,168,83,47,14,0,0,0,Nature Communications
16,2.766,PLOS ONE,1496,56,302,394,351,207,108,52,22,0,0,4,Nature Communications
17,3.495,APPL PHYS LETT,1451,70,242,343,346,205,164,56,23,0,0,2,Nature Communications
18,12.102,ANGEW CHEM INT EDIT,1419,96,356,409,305,152,56,42,3,0,0,0,Nature Communications
19,4.484,J PHYS CHEM C,1417,73,264,397,357,204,74,38,10,0,0,0,Nature Communications
20,2.936,RSC ADV,1277,25,188,295,349,248,107,49,16,0,0,0,Nature Communications
21,,ONCOTARGET,1244,68,306,368,254,156,54,27,9,0,0,2,Nature Communications
22,13.325,ADV FUNCT MATER,1214,24,187,368,334,186,66,35,13,0,0,1,Nature Communications
23,21.875,ADV ENERGY MATER,1101,10,203,371,279,193,26,15,3,0,0,1,Nature Communications
24,3.906,PHYS CHEM CHEM PHYS,1066,38,193,329,279,131,55,30,11,0,0,0,Nature Communications
25,3.356,OPT EXPRESS,1054,57,152,228,227,157,138,76,18,1,0,0,Nature Communications
26,9.598,SMALL,1035,23,167,321,253,162,72,31,5,0,0,1,Nature Communications
27,13.120,NANO ENERGY,1023,27,195,323,252,178,20,22,6,0,0,0,Nature Communications
28,6.290,CHEM COMMUN,998,55,203,279,223,157,46,30,5,0,0,0,Nature Communications
29,5.976,J MATER CHEM C,968,21,164,266,293,132,60,23,8,1,0,0,Nature Communications
30,9.890,CHEM MATER,950,47,183,279,234,129,50,24,3,0,0,1,Nature Communications
31,7.616,ELIFE,785,58,199,197,176,85,36,27,7,0,0,0,Nature Communications
32,11.511,SCI ADV,747,43,161,200,166,97,56,22,2,0,0,0,Nature Communications
33,,PROC SPIE,746,23,116,176,152,120,82,48,23,0,0,6,Nature Communications
34,5.160,CHEM-EUR J,714,35,155,177,172,91,43,27,14,0,0,0,Nature Communications
35,5.116,ELECTROCHIM ACTA,713,16,92,187,170,191,26,27,2,0,0,2,Nature Communications
36,8.709,J PHYS CHEM LETT,652,51,144,193,167,66,20,10,1,0,0,0,Nature Communications
37,2.617,J PHYS-CONDENS MAT,632,24,127,136,155,87,72,19,12,0,0,0,Nature Communications
38,11.561,NUCLEIC ACIDS RES,629,15,162,158,153,82,35,18,6,0,0,0,Nature Communications
