,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,230263,4406,18033,22933,20855,19165,17260,14560,13251,11435,9862,78503,Nature Communications
2, ,ALL OTHERS (7580),7580,190,526,483,469,495,421,373,291,293,249,3790,Nature Communications
3,41.577,NATURE,10889,136,724,955,761,825,886,702,651,562,471,4216,Nature Communications
4,41.058,SCIENCE,8535,89,620,716,651,677,583,504,422,495,439,3339,Nature Communications
5,9.504,P NATL ACAD SCI USA,7560,88,399,570,614,654,615,495,476,426,346,2877,Nature Communications
6,8.839,PHYS REV LETT,5463,64,335,421,410,371,416,341,321,266,241,2277,Nature Communications
7,12.353,NAT COMMUN,4787,359,1077,1313,1032,563,271,121,40,0,0,11,Nature Communications
8,31.398,CELL,4311,46,261,394,355,411,318,285,206,270,214,1551,Nature Communications
9,3.813,PHYS REV B,4151,77,353,333,298,311,275,263,203,173,155,1710,Nature Communications
10,14.357,J AM CHEM SOC,3622,62,303,408,356,319,339,234,210,213,178,1000,Nature Communications
11,4.011,J BIOL CHEM,3502,19,82,142,168,168,199,209,191,155,165,2004,Nature Communications
12,2.766,PLOS ONE,2304,20,100,268,353,471,399,269,183,114,80,47,Nature Communications
13,11.561,NUCLEIC ACIDS RES,2283,66,239,276,281,211,188,124,120,94,57,627,Nature Communications
14,12.102,ANGEW CHEM INT EDIT,2139,59,276,332,256,215,176,140,98,95,77,415,Nature Communications
15,5.971,J NEUROSCI,1919,13,64,140,127,156,138,173,131,120,98,759,Nature Communications
16,12.080,NANO LETT,1776,38,231,321,271,213,166,135,139,69,56,137,Nature Communications
17,39.235,NAT MATER,1680,54,175,226,182,165,159,131,124,105,73,286,Nature Communications
18,27.125,NAT GENET,1591,37,120,187,147,172,142,98,81,64,87,456,Nature Communications
19,14.319,NEURON,1569,18,103,167,145,138,113,129,84,79,71,522,Nature Communications
20,5.481,BIOINFORMATICS,1519,5,63,129,160,119,140,129,222,257,34,261,Nature Communications
21,26.919,NAT METHODS,1445,37,109,157,167,190,291,93,93,81,95,132,Nature Communications
22,14.248,MOL CELL,1412,20,97,135,140,130,83,95,146,71,75,420,Nature Communications
23,8.784,J CELL BIOL,1389,7,42,82,72,96,66,64,107,45,75,733,Nature Communications
24,4.122,SCI REP-UK,1380,72,460,435,192,153,57,11,0,0,0,0,Nature Communications
25,3.495,APPL PHYS LETT,1276,8,88,103,145,100,108,78,71,59,64,452,Nature Communications
26,21.950,ADV MATER,1225,41,196,192,152,120,111,90,71,63,29,160,Nature Communications
27,37.490,NAT NANOTECHNOL,1218,29,134,216,195,171,136,86,98,59,50,44,Nature Communications
28,10.557,EMBO J,1180,9,43,36,38,54,75,80,67,73,40,665,Nature Communications
29,4.539,J IMMUNOL,1167,4,39,78,71,88,84,97,69,68,65,504,Nature Communications
30,9.462,GENE DEV,1105,4,37,67,77,55,74,79,58,39,68,547,Nature Communications
31,19.912,NAT NEUROSCI,1091,15,88,104,123,117,70,75,90,68,43,298,Nature Communications
32,22.727,NAT PHYS,1090,67,126,165,138,79,97,112,79,77,67,83,Nature Communications
33,15.132,BLOOD,1079,7,46,65,75,89,106,108,89,81,58,355,Nature Communications
34,13.709,ACS NANO,1070,34,163,192,212,154,129,92,56,24,13,1,Nature Communications
35,19.064,NAT CELL BIOL,1051,21,50,106,75,105,67,90,90,66,72,309,Nature Communications
36,35.724,NAT BIOTECHNOL,1038,19,89,131,131,153,77,71,77,24,77,189,Nature Communications
37,9.130,CANCER RES,1023,9,56,57,62,60,73,52,65,68,67,454,Nature Communications
38,3.099,ACTA CRYSTALLOGR D,1007,3,9,29,10,54,53,112,380,17,16,324,Nature Communications
39,13.251,J CLIN INVEST,959,9,56,96,83,80,93,76,51,39,48,328,Nature Communications
40,9.251,CURR BIOL,958,11,64,79,74,58,77,67,58,63,43,364,Nature Communications
41,32.621,NAT MED,944,17,86,115,76,104,70,80,39,53,43,261,Nature Communications
42,5.413,DEVELOPMENT,932,5,34,57,73,60,54,69,50,45,41,444,Nature Communications
43,19.734,IMMUNITY,913,7,68,72,94,106,69,63,53,73,49,259,Nature Communications
44,3.813,MOL CELL BIOL,885,5,12,32,27,29,33,37,38,38,47,587,Nature Communications
45,2.843,J CHEM PHYS,879,5,24,38,43,33,31,26,18,23,35,603,Nature Communications
46,32.521,NAT PHOTONICS,858,16,117,105,142,108,111,55,84,50,38,32,Nature Communications
47,52.613,CHEM REV,850,14,71,103,96,61,60,47,49,28,45,276,Nature Communications
48,2.909,PHYS REV A,839,24,79,78,66,57,44,41,41,32,31,346,Nature Communications
49,10.790,J EXP MED,825,11,34,32,53,47,50,47,55,38,38,420,Nature Communications
50,21.809,NAT IMMUNOL,823,13,74,85,61,84,70,67,60,56,69,184,Nature Communications
51,35.612,NAT REV MOL CELL BIO,792,9,36,47,96,70,72,41,63,88,59,211,Nature Communications
52,4.894,J MOL BIOL,778,6,36,20,16,24,28,39,40,39,32,498,Nature Communications
53,13.333,NAT STRUCT MOL BIOL,748,18,52,56,58,90,64,56,66,49,38,201,Nature Communications
54,5.540,PLOS GENET,744,10,58,94,97,111,94,64,58,66,39,53,Nature Communications
55,4.368,J VIROL,731,13,27,74,46,68,46,46,38,30,26,317,Nature Communications
56,4.339,GEOPHYS RES LETT,722,7,71,81,64,46,52,45,36,35,26,259,Nature Communications
57,79.260,NEW ENGL J MED,713,8,58,102,73,51,61,35,37,64,33,191,Nature Communications
58,12.423,NAT PROTOC,712,12,20,48,61,86,85,41,44,109,51,155,Nature Communications
59,10.101,GENOME RES,709,18,31,51,86,54,110,34,88,47,35,155,Nature Communications
60,8.032,CELL REP,706,42,147,182,158,119,58,0,0,0,0,0,Nature Communications
61,9.616,DEV CELL,693,5,44,85,60,53,42,59,49,63,32,201,Nature Communications
62,13.214,GENOME BIOL,691,5,53,77,121,75,32,39,76,60,58,95,Nature Communications
63,4.581,EARTH PLANET SC LETT,677,18,46,70,48,36,49,43,54,33,32,248,Nature Communications
64,4.401,J CELL SCI,640,8,30,38,60,48,58,41,43,41,23,250,Nature Communications
65,40.182,CHEM SOC REV,627,9,58,106,103,73,67,65,23,62,22,39,Nature Communications
66,2.997,BIOCHEMISTRY-US,621,5,15,22,31,23,30,31,31,33,24,376,Nature Communications
67,22.844,CANCER CELL,621,1,43,67,88,70,73,52,51,30,20,126,Nature Communications
68,3.495,BIOPHYS J,620,9,26,39,49,35,22,40,33,36,45,286,Nature Communications
69,7.616,ELIFE,618,43,148,200,142,69,15,0,0,0,0,1,Nature Communications
70,6.854,ONCOGENE,613,11,26,57,45,43,33,31,56,22,41,248,Nature Communications
71,6.290,CHEM COMMUN,605,12,71,110,78,68,41,41,25,24,13,122,Nature Communications
72,3.356,OPT EXPRESS,591,9,37,67,60,77,60,65,53,33,41,89,Nature Communications
73,3.512,MOL BIOL CELL,573,3,23,23,31,31,42,28,25,41,46,280,Nature Communications
74,26.201,NAT CHEM,573,34,73,75,68,89,53,77,63,41,0,0,Nature Communications
75,36.367,REV MOD PHYS,569,6,14,34,28,33,28,58,73,49,13,233,Nature Communications
76,2.284,PHYS REV E,564,6,48,56,45,34,27,35,34,30,27,222,Nature Communications
77,4.484,J PHYS CHEM C,556,7,63,98,74,82,44,49,35,36,37,31,Nature Communications
78,42.784,NAT REV CANCER,555,5,29,46,36,47,66,49,39,49,36,153,Nature Communications
79,2.176,J APPL PHYS,519,2,23,21,30,34,22,20,24,18,30,295,Nature Communications
80,3.219,J BACTERIOL,506,3,7,14,22,23,16,17,10,16,30,348,Nature Communications
81,41.982,NAT REV IMMUNOL,488,4,18,53,42,55,46,32,39,47,26,126,Nature Communications
82,41.465,NAT REV GENET,486,0,36,47,64,48,58,38,28,23,26,118,Nature Communications
83,9.163,PLOS BIOL,472,7,30,42,37,25,25,44,49,42,32,139,Nature Communications
84,9.890,CHEM MATER,459,12,53,87,64,34,28,27,26,11,14,103,Nature Communications
85,6.158,PLOS PATHOG,457,9,56,62,60,65,47,42,38,45,14,19,Nature Communications
86,23.290,CELL STEM CELL,436,4,49,42,60,48,56,49,48,32,33,15,Nature Communications
