,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,8097,239,896,1185,1379,1334,785,866,1017,389,0,7,Nature Reviews Neurology
2,,ALL OTHERS (894),894,25,100,109,126,133,89,132,116,64,0,0,Nature Reviews Neurology
3,4.122,SCI REP-UK,214,9,29,26,31,38,20,22,30,9,0,0,Nature Reviews Neurology
4,3.476,J ALZHEIMERS DIS,142,3,10,24,15,36,12,5,34,3,0,0,Nature Reviews Neurology
5,2.766,PLOS ONE,137,2,11,19,23,23,20,16,16,7,0,0,Nature Reviews Neurology
6,3.508,FRONT NEUROL,113,4,13,12,27,28,6,8,7,8,0,0,Nature Reviews Neurology
7,8.055,NEUROLOGY,89,1,16,11,15,19,5,9,9,4,0,0,Nature Reviews Neurology
8,,ONCOTARGET,76,2,10,17,5,13,8,6,9,6,0,0,Nature Reviews Neurology
9,19.819,NAT REV NEUROL,65,8,12,12,7,9,6,6,2,1,0,2,Nature Reviews Neurology
10,3.582,FRONT AGING NEUROSCI,62,5,4,18,7,3,6,5,14,0,0,0,Nature Reviews Neurology
11,4.454,NEUROBIOL AGING,62,0,5,7,5,20,4,5,14,2,0,0,Nature Reviews Neurology
12,5.280,MULT SCLER J,57,1,4,18,8,4,10,5,3,4,0,0,Nature Reviews Neurology
13,3.687,INT J MOL SCI,56,4,8,8,8,9,6,4,5,4,0,0,Nature Reviews Neurology
14,10.848,BRAIN,53,0,5,7,10,15,4,5,6,1,0,0,Nature Reviews Neurology
15,5.076,MOL NEUROBIOL,53,0,0,10,10,12,10,5,2,4,0,0,Nature Reviews Neurology
16,3.877,FRONT NEUROSCI-SWITZ,52,4,4,6,13,7,5,5,8,0,0,0,Nature Reviews Neurology
17,14.163,PROG NEUROBIOL,51,1,4,10,5,10,4,8,9,0,0,0,Nature Reviews Neurology
18,5.193,J NEUROINFLAMM,50,2,4,14,12,3,7,2,6,0,0,0,Nature Reviews Neurology
19,9.504,P NATL ACAD SCI USA,50,0,6,7,3,13,13,2,5,1,0,0,Nature Reviews Neurology
20,5.511,FRONT IMMUNOL,49,4,7,10,6,3,10,3,4,2,0,0,Nature Reviews Neurology
21,2.448,J NEUROL SCI,49,3,7,9,10,6,4,5,4,1,0,0,Nature Reviews Neurology
22,3.902,FRONT MOL NEUROSCI,45,2,7,8,8,7,2,7,3,1,0,0,Nature Reviews Neurology
23,3.783,J NEUROL,45,0,4,14,8,9,4,2,2,2,0,0,Nature Reviews Neurology
24,5.002,J NEUROTRAUM,44,2,1,3,5,30,0,0,3,0,0,0,Nature Reviews Neurology
25,5.971,J NEUROSCI,43,0,6,4,12,11,4,4,2,0,0,0,Nature Reviews Neurology
26,7.144,J NEUROL NEUROSUR PS,41,4,2,3,7,11,3,4,5,2,0,0,Nature Reviews Neurology
27,11.460,JAMA NEUROL,41,1,6,6,10,6,1,1,8,2,0,0,Nature Reviews Neurology
28,6.306,BRAIN BEHAV IMMUN,40,1,1,12,12,4,3,3,4,0,0,0,Nature Reviews Neurology
29,6.045,J CEREBR BLOOD F MET,40,0,3,13,6,5,8,0,3,2,0,0,Nature Reviews Neurology
30,3.869,NEUROIMAGE-CLIN,40,0,5,3,8,6,1,4,13,0,0,0,Nature Reviews Neurology
31,15.876,ACTA NEUROPATHOL,38,0,10,3,4,6,8,2,5,0,0,0,Nature Reviews Neurology
32,2.371,INT REV NEUROBIOL,38,11,5,5,2,4,7,1,0,3,0,0,Nature Reviews Neurology
33,8.324,MOVEMENT DISORD,38,3,4,16,4,3,2,1,3,2,0,0,Nature Reviews Neurology
34,4.300,FRONT CELL NEUROSCI,37,0,6,9,6,3,5,2,3,3,0,0,Nature Reviews Neurology
35,2.559,BIOCHEM BIOPH RES CO,35,2,1,5,10,7,2,2,5,1,0,0,Nature Reviews Neurology
36,3.696,EXPERT REV NEUROTHER,35,2,5,6,10,5,1,4,1,0,0,1,Nature Reviews Neurology
37,5.426,NEUROIMAGE,35,0,1,6,10,5,1,1,10,1,0,0,Nature Reviews Neurology
38,10.250,ANN NEUROL,33,1,4,5,7,3,4,2,6,1,0,0,Nature Reviews Neurology
39,2.757,CURR PHARM DESIGN,32,1,5,6,4,3,3,5,1,4,0,0,Nature Reviews Neurology
40,2.600,EPILEPSY BEHAV,32,0,11,0,4,1,2,10,1,3,0,0,Nature Reviews Neurology
41,27.144,LANCET NEUROL,32,5,4,1,5,7,6,2,2,0,0,0,Nature Reviews Neurology
42,3.382,NEUROSCIENCE,32,1,6,4,6,2,1,6,4,2,0,0,Nature Reviews Neurology
43,2.839,SEIZURE-EUR J EPILEP,32,0,8,2,5,0,1,8,1,7,0,0,Nature Reviews Neurology
44,6.426,MOL NEURODEGENER,31,0,2,8,4,7,0,5,5,0,0,0,Nature Reviews Neurology
45,5.015,ALZHEIMERS RES THER,30,1,3,4,2,9,0,0,10,1,0,0,Nature Reviews Neurology
46,5.067,EPILEPSIA,30,0,3,3,3,0,3,11,1,6,0,0,Nature Reviews Neurology
47,2.159,NEUROSCI LETT,30,0,2,2,6,5,2,6,5,2,0,0,Nature Reviews Neurology
48,1.924,WORLD NEUROSURG,30,0,3,3,7,8,2,2,3,2,0,0,Nature Reviews Neurology
49,8.037,NEUROSCI BIOBEHAV R,29,0,4,4,8,6,1,3,1,2,0,0,Nature Reviews Neurology
50,6.239,STROKE,29,0,6,9,5,4,1,1,3,0,0,0,Nature Reviews Neurology
51,4.010,CURR OPIN NEUROL,28,0,6,4,7,6,1,0,3,1,0,0,Nature Reviews Neurology
52,4.927,HUM BRAIN MAPP,28,0,1,1,10,2,3,2,6,3,0,0,Nature Reviews Neurology
53,2.655,J NEUROIMMUNOL,28,1,2,6,6,0,7,0,6,0,0,0,Nature Reviews Neurology
54,2.285,NEUROL SCI,28,0,7,7,3,0,6,1,2,2,0,0,Nature Reviews Neurology
55,4.483,EXP NEUROL,27,0,7,1,4,8,3,3,1,0,0,0,Nature Reviews Neurology
56,3.199,MULT SCLER RELAT DIS,27,3,0,3,6,6,4,0,5,0,0,0,Nature Reviews Neurology
57,3.603,NEUROCHEM INT,27,0,3,4,2,5,7,1,3,2,0,0,Nature Reviews Neurology
58,3.126,ACTA NEUROL SCAND,26,2,2,5,5,5,3,2,1,1,0,0,Nature Reviews Neurology
59,2.061,BRAIN INJURY,26,1,2,4,5,13,0,1,0,0,0,0,Nature Reviews Neurology
60,4.621,EUR J NEUROL,26,1,6,2,4,6,2,2,1,2,0,0,Nature Reviews Neurology
61,5.227,NEUROBIOL DIS,26,0,2,2,5,6,3,4,2,2,0,0,Nature Reviews Neurology
62,2.170,BMC NEUROL,25,2,2,2,4,1,6,3,4,1,0,0,Nature Reviews Neurology
63,2.871,FRONT HUM NEUROSCI,25,0,2,1,4,2,1,10,5,0,0,0,Nature Reviews Neurology
64,12.353,NAT COMMUN,25,0,2,7,4,4,3,3,2,0,0,0,Nature Reviews Neurology
65,5.719,NEUROTHERAPEUTICS,25,1,3,3,1,6,5,3,2,1,0,0,Nature Reviews Neurology
66,12.764,ALZHEIMERS DEMENT,24,0,6,3,2,3,1,5,4,0,0,0,Nature Reviews Neurology
67,3.125,BRAIN RES,24,2,1,2,3,4,2,2,4,4,0,0,Nature Reviews Neurology
68,,BRAIN SCI,24,0,1,3,6,5,2,3,2,2,0,0,Nature Reviews Neurology
69,,HAND CLINIC,24,0,1,1,12,7,0,1,1,1,0,0,Nature Reviews Neurology
70,2.772,NEUROCHEM RES,24,0,6,3,5,1,1,7,1,0,0,0,Nature Reviews Neurology
71,4.249,NEUROPHARMACOLOGY,24,0,1,4,3,3,2,6,3,2,0,0,Nature Reviews Neurology
72,3.289,CURR ALZHEIMER RES,23,0,0,0,5,4,4,3,5,2,0,0,Nature Reviews Neurology
73,5.846,GLIA,23,0,2,6,1,4,3,1,5,1,0,0,Nature Reviews Neurology
74,4.902,HUM MOL GENET,22,1,1,6,1,6,2,4,1,0,0,0,Nature Reviews Neurology
75,3.403,J HEADACHE PAIN,22,0,9,2,5,0,1,1,2,2,0,0,Nature Reviews Neurology
76,1.762,REV NEUROL-FRANCE,22,0,4,1,3,7,1,4,0,2,0,0,Nature Reviews Neurology
77,4.649,ANN CLIN TRANSL NEUR,21,0,3,4,5,6,0,1,2,0,0,0,Nature Reviews Neurology
78,2.413,BMJ OPEN,21,1,3,0,1,6,1,4,1,4,0,0,Nature Reviews Neurology
79,3.478,CURR NEUROL NEUROSCI,21,2,3,2,3,2,2,3,3,1,0,0,Nature Reviews Neurology
80,2.662,J NEUROSCI RES,21,0,1,3,4,2,4,1,4,2,0,0,Nature Reviews Neurology
81,2.583,BIOMED RES INT,20,1,2,5,3,2,1,4,2,0,0,0,Nature Reviews Neurology
82,4.206,CNS DRUGS,20,2,1,5,3,4,2,2,0,1,0,0,Nature Reviews Neurology
83,0.833,INT J CLIN EXP MED,20,0,0,2,4,2,6,2,2,2,0,0,Nature Reviews Neurology
84,4.609,J NEUROCHEM,20,0,3,4,4,5,2,0,2,0,0,0,Nature Reviews Neurology
85,4.721,PARKINSONISM RELAT D,20,3,1,1,0,3,7,2,2,1,0,0,Nature Reviews Neurology
86,,NEUROL-NEUROIMMUNOL,19,1,4,2,0,4,2,1,3,2,0,0,Nature Reviews Neurology
87,14.319,NEURON,19,1,3,4,1,3,0,1,5,1,0,0,Nature Reviews Neurology
88,0.601,REV NEUROLOGIA,19,0,2,5,3,2,2,3,0,2,0,0,Nature Reviews Neurology
89,5.414,ACTA NEUROPATHOL COM,18,0,3,1,3,1,2,2,6,0,0,0,Nature Reviews Neurology
90,3.653,AM J NEURORADIOL,18,1,0,8,1,1,2,2,2,1,0,0,Nature Reviews Neurology
91,2.491,EPILEPSY RES,18,1,1,0,3,2,1,7,0,3,0,0,Nature Reviews Neurology
92,2.779,J NEURAL TRANSM,18,0,2,6,0,3,3,1,3,0,0,0,Nature Reviews Neurology
93,1.275,NEUROIMAG CLIN N AM,18,0,2,6,4,1,0,0,2,3,0,0,Nature Reviews Neurology
94,2.982,AMYOTROPH LAT SCL FR,17,0,0,1,4,7,0,5,0,0,0,0,Nature Reviews Neurology
95,3.173,BEHAV BRAIN RES,17,0,3,2,3,4,1,1,3,0,0,0,Nature Reviews Neurology
96,3.172,J PARKINSON DIS,17,0,0,4,2,4,2,1,3,1,0,0,Nature Reviews Neurology
97,53.254,LANCET,17,1,2,4,4,3,1,1,0,1,0,0,Nature Reviews Neurology
98,2.028,MEDICINE,17,1,3,0,4,1,0,6,1,1,0,0,Nature Reviews Neurology
99,2.195,NEUROPSYCH DIS TREAT,17,0,2,0,1,3,4,2,4,1,0,0,Nature Reviews Neurology
100,5.108,BBA-MOL BASIS DIS,16,0,2,3,2,3,2,2,0,2,0,0,Nature Reviews Neurology
