,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,7868,265,927,945,779,654,558,507,431,369,299,2134,Nature Reviews Neurology
2, ,ALL OTHERS (666),666,16,93,96,69,59,38,30,18,28,30,189,Nature Reviews Neurology
3,8.055,NEUROLOGY,389,12,49,42,31,17,28,28,22,18,8,134,Nature Reviews Neurology
4,10.848,BRAIN,239,10,17,18,19,17,20,15,8,16,12,87,Nature Reviews Neurology
5,10.250,ANN NEUROL,176,3,22,13,13,7,6,14,8,7,6,77,Nature Reviews Neurology
6,8.324,MOVEMENT DISORD,166,1,18,16,13,8,13,14,14,9,15,45,Nature Reviews Neurology
7,6.239,STROKE,163,6,19,19,17,9,10,10,8,9,8,48,Nature Reviews Neurology
8,7.144,J NEUROL NEUROSUR PS,146,2,12,13,14,13,8,12,4,5,10,53,Nature Reviews Neurology
9,27.144,LANCET NEUROL,146,9,13,19,22,16,9,7,13,13,8,17,Nature Reviews Neurology
10,79.260,NEW ENGL J MED,133,2,27,15,10,9,11,5,8,3,6,37,Nature Reviews Neurology
11,2.766,PLOS ONE,127,1,10,16,27,25,14,17,5,5,3,4,Nature Reviews Neurology
12,5.280,MULT SCLER J,117,5,20,10,17,12,7,9,5,5,6,21,Nature Reviews Neurology
13,41.577,NATURE,103,3,13,16,7,8,6,14,8,4,1,23,Nature Reviews Neurology
14,9.504,P NATL ACAD SCI USA,96,3,5,8,8,9,8,3,7,10,1,34,Nature Reviews Neurology
15,5.971,J NEUROSCI,95,0,5,11,9,7,7,12,10,5,3,26,Nature Reviews Neurology
16,3.783,J NEUROL,94,3,11,12,6,6,7,4,9,8,4,24,Nature Reviews Neurology
17,41.058,SCIENCE,90,2,11,5,8,5,4,4,2,6,5,38,Nature Reviews Neurology
18,53.254,LANCET,80,7,15,4,6,3,6,3,0,2,0,34,Nature Reviews Neurology
19,3.886,CEPHALALGIA,78,7,6,4,2,7,6,5,6,6,2,27,Nature Reviews Neurology
20, ,ARCH NEUROL-CHICAGO,74,0,0,0,0,0,6,3,7,5,3,50,Nature Reviews Neurology
21,2.496,MUSCLE NERVE,73,4,8,9,6,2,3,0,5,5,4,27,Nature Reviews Neurology
22,5.559,PAIN,70,5,4,6,6,9,4,5,2,2,3,24,Nature Reviews Neurology
23,2.448,J NEUROL SCI,65,1,6,2,7,2,3,4,8,6,1,25,Nature Reviews Neurology
24,19.819,NAT REV NEUROL,65,8,12,12,7,9,6,6,2,1,0,2,Nature Reviews Neurology
25,4.721,PARKINSONISM RELAT D,65,1,12,8,8,10,5,3,5,6,1,6,Nature Reviews Neurology
26,15.876,ACTA NEUROPATHOL,62,5,6,5,4,2,3,6,7,4,1,19,Nature Reviews Neurology
27,11.460,JAMA NEUROL,61,11,13,9,15,11,0,0,0,0,0,2,Nature Reviews Neurology
28,4.621,EUR J NEUROL,57,5,4,11,3,1,7,4,9,3,1,9,Nature Reviews Neurology
29,27.125,NAT GENET,57,0,7,5,0,7,5,9,2,3,1,18,Nature Reviews Neurology
30,6.045,J CEREBR BLOOD F MET,56,2,7,5,7,5,2,3,3,2,5,15,Nature Reviews Neurology
31,31.398,CELL,52,1,3,6,8,12,3,3,3,2,0,11,Nature Reviews Neurology
32,19.912,NAT NEUROSCI,50,2,5,9,7,8,4,4,2,2,2,5,Nature Reviews Neurology
33,14.319,NEURON,48,0,6,4,8,4,2,9,2,3,2,8,Nature Reviews Neurology
34,4.902,HUM MOL GENET,44,0,5,1,8,1,5,6,3,1,2,12,Nature Reviews Neurology
35,9.384,NEURO-ONCOLOGY,44,2,9,9,10,4,3,3,1,0,1,2,Nature Reviews Neurology
36,12.764,ALZHEIMERS DEMENT,42,3,14,9,0,5,1,6,0,2,1,1,Nature Reviews Neurology
37,4.454,NEUROBIOL AGING,42,2,2,6,7,4,6,0,0,0,0,15,Nature Reviews Neurology
38,2.655,J NEUROIMMUNOL,40,1,4,4,3,5,4,1,3,1,1,13,Nature Reviews Neurology
39,9.117,CLIN INFECT DIS,39,2,1,4,4,2,2,2,5,4,2,11,Nature Reviews Neurology
40,3.653,AM J NEURORADIOL,38,0,2,2,3,4,3,4,0,2,3,15,Nature Reviews Neurology
41,3.125,BRAIN RES,38,0,7,1,3,2,1,6,3,4,1,10,Nature Reviews Neurology
42,7.439,J NUCL MED,38,3,3,4,4,2,3,2,1,2,2,12,Nature Reviews Neurology
43,32.635,NAT REV NEUROSCI,37,1,2,2,1,7,4,3,3,2,3,9,Nature Reviews Neurology
44,2.550,J PERIPHER NERV SYST,36,0,1,4,3,3,1,3,11,2,0,8,Nature Reviews Neurology
45,5.002,J NEUROTRAUM,35,0,3,1,4,3,4,1,3,2,1,13,Nature Reviews Neurology
46,32.621,NAT MED,34,1,4,5,2,1,2,2,2,2,4,9,Nature Reviews Neurology
47,5.227,NEUROBIOL DIS,34,1,2,6,4,5,3,4,1,1,2,5,Nature Reviews Neurology
48,5.426,NEUROIMAGE,34,4,2,0,1,4,5,4,1,0,6,7,Nature Reviews Neurology
49,3.476,J ALZHEIMERS DIS,32,5,6,10,3,1,4,2,0,0,1,0,Nature Reviews Neurology
50,26.360,J CLIN ONCOL,32,1,7,3,2,1,1,2,2,2,1,10,Nature Reviews Neurology
51,47.661,JAMA-J AM MED ASSOC,32,0,6,7,2,0,2,1,3,0,1,10,Nature Reviews Neurology
52,3.126,ACTA NEUROL SCAND,31,1,4,5,0,0,4,2,1,0,2,12,Nature Reviews Neurology
53,7.273,DIABETES,30,1,1,1,3,2,0,1,1,2,1,17,Nature Reviews Neurology
54,7.008,MOL THER,30,0,4,2,3,4,4,2,3,2,1,5,Nature Reviews Neurology
55,6.754,COCHRANE DB SYST REV,29,1,1,8,4,4,3,1,3,0,0,4,Nature Reviews Neurology
56,4.010,CURR OPIN NEUROL,29,1,5,8,3,3,3,0,1,2,2,1,Nature Reviews Neurology
57,4.483,EXP NEUROL,29,1,5,6,1,6,1,0,1,1,4,3,Nature Reviews Neurology
58,5.193,J NEUROINFLAMM,29,0,5,3,4,1,5,8,1,1,0,1,Nature Reviews Neurology
59,10.199,CLIN CANCER RES,28,0,6,3,5,3,2,1,3,1,0,4,Nature Reviews Neurology
60,3.614,CLIN NEUROPHYSIOL,28,0,3,3,3,2,1,1,1,1,4,9,Nature Reviews Neurology
61,2.159,NEUROSCI LETT,28,0,3,3,1,2,3,1,1,0,1,13,Nature Reviews Neurology
62,7.704,EUR J NUCL MED MOL I,27,0,5,3,4,1,3,0,1,1,1,8,Nature Reviews Neurology
63,4.319,J NEUROSURG,27,0,1,2,1,1,1,0,3,0,2,16,Nature Reviews Neurology
64,23.290,CELL STEM CELL,26,0,5,1,2,3,5,2,4,0,2,2,Nature Reviews Neurology
65,3.490,J NEUROPATH EXP NEUR,25,0,2,2,2,0,1,3,3,2,0,10,Nature Reviews Neurology
66,12.353,NAT COMMUN,25,2,8,10,2,2,1,0,0,0,0,0,Nature Reviews Neurology
67,5.067,EPILEPSIA,24,4,2,4,2,1,2,0,2,2,0,5,Nature Reviews Neurology
68,3.091,HEADACHE,24,1,1,1,1,3,2,2,1,2,2,8,Nature Reviews Neurology
69,4.011,J BIOL CHEM,24,0,1,2,1,1,1,2,2,2,0,12,Nature Reviews Neurology
70,13.251,J CLIN INVEST,24,1,1,5,1,2,5,0,1,1,0,7,Nature Reviews Neurology
71,11.640,MOL PSYCHIATR,24,2,3,12,2,2,2,0,0,0,0,1,Nature Reviews Neurology
72,4.711,NEUROREHAB NEURAL RE,24,0,5,7,3,0,4,1,0,1,2,1,Nature Reviews Neurology
73,15.132,BLOOD,23,0,1,0,1,1,1,2,1,2,1,13,Nature Reviews Neurology
74,16.710,SCI TRANSL MED,23,1,0,2,2,4,7,3,2,1,0,1,Nature Reviews Neurology
75,23.562,BMJ-BRIT MED J,22,1,3,0,1,0,1,1,3,0,1,11,Nature Reviews Neurology
76,35.724,NAT BIOTECHNOL,22,0,1,4,3,2,1,2,2,3,0,4,Nature Reviews Neurology
77,5.846,GLIA,21,0,2,2,3,3,2,1,2,2,2,2,Nature Reviews Neurology
78,3.859,INT J STROKE,21,2,6,3,3,4,1,1,0,1,0,0,Nature Reviews Neurology
79,3.060,J NEURO-ONCOL,21,0,1,6,4,2,1,2,1,2,0,2,Nature Reviews Neurology
80,2.170,BMC NEUROL,19,0,2,5,5,2,0,1,0,0,1,3,Nature Reviews Neurology
81,1.562,EUR NEUROL,19,0,0,1,2,1,3,3,0,1,1,7,Nature Reviews Neurology
82,11.561,NUCLEIC ACIDS RES,19,0,4,1,2,1,2,2,1,0,0,6,Nature Reviews Neurology
83,4.649,ANN CLIN TRANSL NEUR,18,1,8,7,2,0,0,0,0,0,0,0,Nature Reviews Neurology
84,3.077,ARCH PHYS MED REHAB,18,1,1,2,0,1,1,0,1,2,2,7,Nature Reviews Neurology
85,5.554,INT J RADIAT ONCOL,18,0,4,0,0,1,1,2,0,1,2,7,Nature Reviews Neurology
86,4.539,J IMMUNOL,18,0,1,1,2,1,1,0,1,3,0,8,Nature Reviews Neurology
87,5.186,J INFECT DIS,18,3,1,2,0,3,1,0,1,0,0,7,Nature Reviews Neurology
88,4.609,J NEUROCHEM,18,0,6,1,0,0,0,2,0,2,1,6,Nature Reviews Neurology
89,14.163,PROG NEUROBIOL,18,2,1,1,3,1,0,3,1,1,0,5,Nature Reviews Neurology
90,6.306,BRAIN BEHAV IMMUN,17,2,3,5,1,3,1,0,0,0,0,2,Nature Reviews Neurology
91,13.397,DIABETES CARE,17,1,1,2,0,4,0,1,1,1,1,5,Nature Reviews Neurology
92,4.069,AM J PATHOL,16,0,3,1,1,0,1,1,1,2,0,6,Nature Reviews Neurology
93,1.665,J CHILD NEUROL,16,0,1,1,0,0,0,3,1,0,0,10,Nature Reviews Neurology
94,4.497,BONE MARROW TRANSPL,15,0,1,2,0,0,2,1,3,1,0,5,Nature Reviews Neurology
95,3.636,EUR J HUM GENET,15,0,1,3,1,3,2,2,1,0,0,2,Nature Reviews Neurology
96,2.285,NEUROL SCI,15,1,1,1,3,0,1,1,2,1,1,3,Nature Reviews Neurology
97, ,NEUROL-NEUROIMMUNOL,15,1,4,9,0,0,0,0,0,0,0,1,Nature Reviews Neurology
98,11.439,TRENDS NEUROSCI,15,0,4,2,0,1,0,1,0,1,0,6,Nature Reviews Neurology
99,11.984,BIOL PSYCHIAT,14,1,1,0,3,0,1,0,2,2,0,4,Nature Reviews Neurology
100,9.130,CANCER RES,14,0,0,0,1,0,0,1,0,0,0,12,Nature Reviews Neurology
