,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,3973,118,353,482,491,324,447,257,566,252,261,422,Neurotherapeutics
2,,ALL OTHERS (702),702,21,56,74,65,58,127,43,81,52,45,80,Neurotherapeutics
3,4.122,SCI REP-UK,91,2,9,10,16,10,5,9,9,4,3,14,Neurotherapeutics
4,2.766,PLOS ONE,67,1,6,8,7,7,10,5,8,2,5,8,Neurotherapeutics
5,5.719,NEUROTHERAPEUTICS,61,21,17,5,6,1,3,1,0,2,3,2,Neurotherapeutics
6,2.757,CURR PHARM DESIGN,41,0,4,4,6,2,2,2,13,0,0,8,Neurotherapeutics
7,5.076,MOL NEUROBIOL,41,0,1,5,4,2,3,3,17,3,3,0,Neurotherapeutics
8,14.163,PROG NEUROBIOL,36,0,2,5,1,6,5,1,7,4,4,1,Neurotherapeutics
9,,ONCOTARGET,35,2,3,5,1,5,2,1,8,7,0,1,Neurotherapeutics
10,5.002,J NEUROTRAUM,33,0,3,1,2,1,1,5,15,1,1,3,Neurotherapeutics
11,5.067,EPILEPSIA,32,0,4,4,11,0,2,3,0,4,0,4,Neurotherapeutics
12,3.508,FRONT NEUROL,31,0,2,3,4,0,1,4,11,1,2,3,Neurotherapeutics
13,3.687,INT J MOL SCI,31,2,3,10,3,3,0,1,6,1,0,2,Neurotherapeutics
14,2.600,EPILEPSY BEHAV,30,0,1,10,12,0,2,1,0,2,0,2,Neurotherapeutics
15,2.772,NEUROCHEM RES,27,0,3,1,5,2,1,4,3,2,0,6,Neurotherapeutics
16,6.306,BRAIN BEHAV IMMUN,26,0,2,7,3,0,1,1,10,2,0,0,Neurotherapeutics
17,3.877,FRONT NEUROSCI-SWITZ,26,1,3,4,4,0,1,2,2,0,5,4,Neurotherapeutics
18,3.902,FRONT MOL NEUROSCI,25,3,1,10,2,1,1,1,3,0,3,0,Neurotherapeutics
19,2.234,NEURAL REGEN RES,25,2,2,3,1,2,1,7,6,0,0,1,Neurotherapeutics
20,3.696,EXPERT REV NEUROTHER,24,1,3,4,4,0,3,2,2,0,4,1,Neurotherapeutics
21,3.582,FRONT AGING NEUROSCI,24,1,2,5,5,1,3,1,4,1,1,0,Neurotherapeutics
22,5.193,J NEUROINFLAMM,24,0,0,4,4,2,0,1,13,0,0,0,Neurotherapeutics
23,5.971,J NEUROSCI,24,2,1,4,2,2,3,4,5,0,0,1,Neurotherapeutics
24,4.249,NEUROPHARMACOLOGY,24,0,3,6,3,2,2,0,0,6,1,1,Neurotherapeutics
25,4.483,EXP NEUROL,22,1,2,4,3,0,3,4,4,0,0,1,Neurotherapeutics
26,3.869,NEUROIMAGE-CLIN,21,1,0,1,1,0,3,0,0,2,0,13,Neurotherapeutics
27,3.173,BEHAV BRAIN RES,19,0,0,5,1,2,3,1,1,2,1,3,Neurotherapeutics
28,3.457,BIOMED PHARMACOTHER,19,0,0,2,1,4,2,2,3,2,1,2,Neurotherapeutics
29,2.084,CNS NEUROL DISORD-DR,19,1,5,4,4,0,0,0,0,1,2,2,Neurotherapeutics
