,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8976,266,869,756,777,671,603,500,428,447,400,3259,Neurotherapeutics
2, ,ALL OTHERS (910),910,31,98,71,76,57,58,39,30,47,31,372,Neurotherapeutics
3,8.055,NEUROLOGY,313,6,25,22,20,15,17,16,21,18,10,143,Neurotherapeutics
4,5.971,J NEUROSCI,187,1,7,11,7,11,13,16,13,15,14,79,Neurotherapeutics
5,5.280,MULT SCLER J,185,17,34,15,19,15,14,11,7,8,12,33,Neurotherapeutics
6,41.577,NATURE,172,0,9,10,20,16,26,18,6,4,11,52,Neurotherapeutics
7,10.250,ANN NEUROL,171,0,13,10,11,11,8,15,13,8,8,74,Neurotherapeutics
8,9.504,P NATL ACAD SCI USA,158,2,6,3,7,6,11,9,10,13,3,88,Neurotherapeutics
9,10.848,BRAIN,154,2,7,8,9,7,5,12,10,5,9,80,Neurotherapeutics
10,79.260,NEW ENGL J MED,141,10,6,14,15,5,9,5,8,5,4,60,Neurotherapeutics
11,2.766,PLOS ONE,136,1,15,22,26,19,19,17,10,3,4,0,Neurotherapeutics
12,14.319,NEURON,132,6,14,9,17,7,10,16,3,7,8,35,Neurotherapeutics
13,41.058,SCIENCE,123,0,8,5,16,7,5,4,4,4,10,60,Neurotherapeutics
14,7.144,J NEUROL NEUROSUR PS,98,1,13,11,7,8,7,3,6,2,2,38,Neurotherapeutics
15,26.360,J CLIN ONCOL,96,0,7,11,3,15,2,6,8,9,4,31,Neurotherapeutics
16,11.984,BIOL PSYCHIAT,92,4,7,3,3,4,4,3,7,5,6,46,Neurotherapeutics
17,2.496,MUSCLE NERVE,92,0,7,7,4,3,5,1,4,4,4,53,Neurotherapeutics
18,9.384,NEURO-ONCOLOGY,88,1,16,14,9,7,4,7,8,6,5,11,Neurotherapeutics
19,19.912,NAT NEUROSCI,86,0,6,7,6,7,10,3,8,2,7,30,Neurotherapeutics
20,27.144,LANCET NEUROL,81,1,9,4,15,9,5,7,9,9,3,10,Neurotherapeutics
21,5.426,NEUROIMAGE,77,0,5,3,4,2,8,7,3,7,3,35,Neurotherapeutics
22,53.254,LANCET,68,1,14,0,2,7,5,6,2,2,4,25,Neurotherapeutics
23,2.448,J NEUROL SCI,66,1,6,3,3,3,3,3,2,7,6,29,Neurotherapeutics
24, ,ARCH NEUROL-CHICAGO,65,0,0,0,0,0,7,7,2,12,5,32,Neurotherapeutics
25,3.614,CLIN NEUROPHYSIOL,65,0,7,4,3,4,4,4,4,0,4,31,Neurotherapeutics
26,11.640,MOL PSYCHIATR,64,4,16,9,4,5,6,3,4,2,3,8,Neurotherapeutics
