,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,66411,1280,3822,4183,3987,4087,3071,2732,3723,2222,4746,32558,ONCOGENE
2,,ALL OTHERS (835),835,6,40,29,28,44,23,21,43,21,70,510,ONCOGENE
3,,ONCOTARGET,6092,185,411,481,436,359,338,311,374,219,400,2578,ONCOGENE
4,4.122,SCI REP-UK,2466,34,135,165,155,145,127,99,134,90,192,1190,ONCOGENE
5,2.766,PLOS ONE,1439,15,78,71,64,77,51,72,95,57,89,770,ONCOGENE
6,6.854,ONCOGENE,1398,39,123,143,131,121,90,67,90,51,73,470,ONCOGENE
7,3.687,INT J MOL SCI,1067,46,57,63,66,78,56,44,50,36,62,509,ONCOGENE
8,1.664,ONCOL LETT,1028,6,38,60,62,67,63,35,63,37,69,528,ONCOGENE
9,2.976,ONCOL REP,685,12,36,45,57,43,51,39,36,20,46,300,ONCOGENE
10,6.491,CANCER LETT,662,15,65,50,63,65,33,31,37,24,38,241,ONCOGENE
11,12.353,NAT COMMUN,613,11,26,57,45,43,33,31,56,22,41,248,ONCOGENE
12,9.130,CANCER RES,587,18,49,73,43,51,26,28,44,21,35,199,ONCOGENE
13,5.638,CELL DEATH DIS,570,16,36,39,37,48,32,28,36,12,42,244,ONCOGENE
14,1.922,MOL MED REP,535,1,21,33,19,27,33,24,31,16,47,283,ONCOGENE
15,4.011,J BIOL CHEM,531,7,27,34,30,32,24,20,38,22,34,263,ONCOGENE
16,,TUMOR BIOL,529,9,39,32,39,45,35,27,30,13,48,212,ONCOGENE
17,2.559,BIOCHEM BIOPH RES CO,509,19,42,36,29,42,17,25,35,14,32,218,ONCOGENE
18,3.457,BIOMED PHARMACOTHER,464,11,38,26,27,22,26,22,27,12,33,220,ONCOGENE
19,3.333,INT J ONCOL,438,8,28,39,29,25,18,23,26,12,28,202,ONCOGENE
20,10.199,CLIN CANCER RES,433,8,27,36,30,32,16,18,34,19,34,179,ONCOGENE
21,5.326,CANCERS,396,17,30,27,27,22,16,25,30,11,29,162,ONCOGENE
