,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,34004,154,1549,3028,3190,3105,2895,2602,2254,2078,1834,11315,ONCOGENE
2, ,ALL OTHERS (841),841,6,53,105,97,72,66,61,50,32,48,251,ONCOGENE
3,9.130,CANCER RES,1733,0,54,84,111,135,91,131,139,130,118,740,ONCOGENE
4,6.854,ONCOGENE,1398,39,123,143,131,121,90,67,90,51,73,470,ONCOGENE
5,41.577,NATURE,1387,4,30,113,114,98,156,116,83,77,58,538,ONCOGENE
6,4.011,J BIOL CHEM,1257,1,16,50,65,74,81,68,70,60,48,724,ONCOGENE
7,9.504,P NATL ACAD SCI USA,1185,2,24,37,62,79,84,74,88,73,68,594,ONCOGENE
8,31.398,CELL,1177,1,22,79,55,66,108,122,47,107,62,508,ONCOGENE
9,22.844,CANCER CELL,746,3,28,55,91,73,89,76,79,48,49,155,ONCOGENE
10,2.766,PLOS ONE,695,0,11,55,108,174,126,87,60,34,26,14,ONCOGENE
11,42.784,NAT REV CANCER,620,2,18,35,41,61,39,44,35,89,39,217,ONCOGENE
12,41.058,SCIENCE,593,0,20,29,27,52,21,36,22,37,32,317,ONCOGENE
13,10.199,CLIN CANCER RES,568,0,32,49,59,55,41,39,39,39,45,170,ONCOGENE
14,3.813,MOL CELL BIOL,532,0,5,9,8,16,17,27,17,30,41,362,ONCOGENE
15,9.462,GENE DEV,529,3,14,16,29,35,37,34,41,28,27,265,ONCOGENE
16,15.132,BLOOD,505,0,15,33,38,30,44,46,30,38,34,197,ONCOGENE
17,14.248,MOL CELL,501,0,23,31,46,50,38,50,46,22,26,169,ONCOGENE
18, ,ONCOTARGET,436,8,113,198,82,20,7,5,3,0,0,0,ONCOGENE
19,19.064,NAT CELL BIOL,433,3,7,34,42,22,25,38,31,32,41,158,ONCOGENE
20,27.125,NAT GENET,396,1,10,32,35,52,38,20,11,24,15,158,ONCOGENE
21,13.251,J CLIN INVEST,355,0,9,23,35,46,37,40,22,21,18,104,ONCOGENE
22,10.557,EMBO J,343,1,2,14,9,16,26,28,18,11,7,211,ONCOGENE
23,32.621,NAT MED,297,0,14,25,13,36,31,28,19,26,14,91,ONCOGENE
24,8.784,J CELL BIOL,288,1,8,10,10,18,13,14,23,17,26,148,ONCOGENE
25,79.260,NEW ENGL J MED,287,0,9,19,22,27,27,24,19,17,21,102,ONCOGENE
26,11.561,NUCLEIC ACIDS RES,283,3,20,30,28,23,26,17,11,22,13,90,ONCOGENE
27,7.360,INT J CANCER,281,0,10,25,15,21,26,19,16,23,16,110,ONCOGENE
28,12.353,NAT COMMUN,268,5,39,94,76,39,10,3,1,0,0,1,ONCOGENE
29,35.612,NAT REV MOL CELL BIO,241,0,3,14,29,16,22,17,22,23,23,72,ONCOGENE
30,3.304,CELL CYCLE,223,0,8,18,14,16,25,31,22,32,12,45,ONCOGENE
31,26.360,J CLIN ONCOL,219,0,7,17,15,16,16,21,17,24,19,67,ONCOGENE
32,4.401,J CELL SCI,217,0,5,6,18,11,29,16,22,14,9,87,ONCOGENE
33,4.069,AM J PATHOL,189,0,4,3,4,14,15,15,22,13,9,90,ONCOGENE
34,8.032,CELL REP,182,0,45,46,44,41,6,0,0,0,0,0,ONCOGENE
35,24.373,CANCER DISCOV,181,0,12,29,40,30,49,21,0,0,0,0,ONCOGENE
36,5.922,BRIT J CANCER,179,1,3,13,17,13,12,9,16,8,14,73,ONCOGENE
37,8.000,CELL DEATH DIFFER,175,3,20,15,18,22,20,16,8,10,14,29,ONCOGENE
38,4.539,J IMMUNOL,173,0,4,7,13,14,9,7,13,15,18,73,ONCOGENE
39,2.559,BIOCHEM BIOPH RES CO,162,1,6,8,12,13,7,8,14,8,11,74,ONCOGENE
40,5.072,CARCINOGENESIS,155,0,2,8,21,18,13,9,17,12,8,47,ONCOGENE
41,5.365,MOL CANCER THER,152,1,8,18,20,10,13,14,9,16,12,31,ONCOGENE
42,6.491,CANCER LETT,150,1,10,30,15,31,13,9,1,7,4,29,ONCOGENE
43,20.773,GASTROENTEROLOGY,143,1,5,9,9,12,12,19,18,14,13,31,ONCOGENE
44,10.790,J EXP MED,143,0,1,5,9,13,14,11,9,8,6,67,ONCOGENE
45,9.616,DEV CELL,136,1,2,8,12,10,13,11,16,13,20,30,ONCOGENE
46,14.079,HEPATOLOGY,136,0,4,16,10,23,15,13,12,10,9,24,ONCOGENE
47,3.512,MOL BIOL CELL,129,0,1,8,8,6,7,14,3,13,10,59,ONCOGENE
48,23.290,CELL STEM CELL,128,1,2,17,15,10,15,13,20,12,12,11,ONCOGENE
49,6.378,SCI SIGNAL,123,1,0,7,17,60,11,7,8,10,2,0,ONCOGENE
50,6.142,BREAST CANCER RES,122,0,0,3,16,14,17,20,12,12,11,17,ONCOGENE
51,11.238,JNCI-J NATL CANCER I,122,1,4,12,11,6,3,8,9,2,6,60,ONCOGENE
52,4.597,MOL CANCER RES,122,0,7,11,13,15,12,14,5,13,8,24,ONCOGENE
53,9.251,CURR BIOL,115,0,2,6,8,5,8,7,4,4,5,66,ONCOGENE
54,2.999,FEBS LETT,115,0,3,3,6,7,16,11,8,3,7,51,ONCOGENE
55,3.605,BREAST CANCER RES TR,114,0,3,8,12,10,18,17,16,4,5,21,ONCOGENE
56,5.413,DEVELOPMENT,113,0,5,7,5,10,7,7,5,4,7,56,ONCOGENE
57,5.638,CELL DEATH DIS,110,0,12,20,32,27,10,5,4,0,0,0,ONCOGENE
58,3.288,BMC CANCER,106,0,6,13,24,12,15,7,11,6,5,7,ONCOGENE
59,3.857,BIOCHEM J,105,0,0,3,4,3,7,9,6,8,7,58,ONCOGENE
