Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"66,411",6.854,6.625,6.933,2.105,608,9.9,7.2,0.076,1.996,94.08,8.87000,87.99100,ONCOGENE
2016,"65,039",7.519,7.306,7.272,1.788,593,9.3,7.3,0.07999,2.128,91.23,9.17437,90.10000,ONCOGENE
2015,"64,269",7.932,7.740,7.401,1.920,575,8.9,7.4,0.09417,2.362,90.26,10.73400,91.25800,ONCOGENE
2014,"64,071",8.459,8.216,7.632,1.963,572,8.4,7.0,0.10362,2.627,89.69,11.60537,91.39300,ONCOGENE
2013,"62,603",8.559,8.312,7.719,2.207,565,8.0,6.9,0.12643,2.858,92.04,13.93537,91.22500,ONCOGENE
2012,"60,526",7.357,7.150,7.180,2.218,458,7.7,6.5,0.14406,2.759,94.76,Not Available,88.78500,ONCOGENE
2011,"58,176",6.373,6.183,6.889,1.777,444,7.2,6.4,0.17168,2.820,92.34,Not Available,87.41400,ONCOGENE
2010,"59,299",7.414,7.161,7.109,1.335,597,6.6,5.9,0.19817,2.870,90.12,Not Available,88.80500,ONCOGENE
2009,"57,366",7.135,6.937,6.730,1.086,420,6.1,5.7,0.24014,2.786,95.95,Not Available,89.51100,ONCOGENE
2008,"56,007",7.216,6.924,6.729,1.419,721,5.6,5.5,0.25947,2.675,86.82,Not Available,89.19500,ONCOGENE
2007,"52,737",6.440,6.118,6.371,1.444,793,5.3,5.6,0.26873,2.546,84.99,Not Available,87.80600,ONCOGENE
2006,"51,032",6.582,6.231,Not Available,1.191,773,4.9,5.4,Not Available,Not Available,84.22,Not Available,86.82300,ONCOGENE
2005,"49,577",6.872,6.460,Not Available,1.174,837,4.7,5.4,Not Available,Not Available,91.64,Not Available,88.86100,ONCOGENE
2004,"45,546",6.318,5.802,Not Available,1.183,"1,003",4.6,5.2,Not Available,Not Available,90.33,Not Available,87.78000,ONCOGENE
2003,"42,088",6.495,5.869,Not Available,0.695,970,4.4,4.8,Not Available,Not Available,90.82,Not Available,88.71200,ONCOGENE
2002,"37,379",5.979,5.384,Not Available,0.853,957,4.2,4.8,Not Available,Not Available,92.48,Not Available,87.42000,ONCOGENE
2001,"35,686",6.737,6.005,Not Available,0.617,896,4.0,4.5,Not Available,Not Available,90.74,Not Available,89.78300,ONCOGENE
2000,"32,228",6.490,5.821,Not Available,0.709,760,4.0,4.4,Not Available,Not Available,94.74,Not Available,90.44800,ONCOGENE
1999,"29,362",6.517,5.708,Not Available,0.924,912,3.9,4.4,Not Available,Not Available,94.63,Not Available,90.99500,ONCOGENE
1998,"24,924",6.192,5.439,Not Available,0.665,772,3.8,4.2,Not Available,Not Available,95.60,Not Available,91.06400,ONCOGENE
1997,"21,928",6.772,5.865,Not Available,0.773,686,3.5,4.2,Not Available,Not Available,98.98,Not Available,91.26600,ONCOGENE
