,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,48393,319,1177,2065,3028,3037,3287,2978,2698,2610,2384,24810,PLANT CELL
2,,ALL OTHERS (502),502,1,7,27,20,25,23,28,24,24,23,300,PLANT CELL
3,3.677,FRONT PLANT SCI,4731,32,115,185,294,309,289,310,239,264,217,2477,PLANT CELL
4,5.949,PLANT PHYSIOL,2593,23,80,128,202,201,168,173,163,144,131,1180,PLANT CELL
5,4.122,SCI REP-UK,2350,5,26,92,140,135,150,137,149,139,121,1256,PLANT CELL
6,5.354,J EXP BOT,2229,14,66,112,170,157,157,173,136,153,108,983,PLANT CELL
7,5.775,PLANT J,1587,4,51,94,130,128,110,106,97,91,84,692,PLANT CELL
8,8.228,PLANT CELL,1421,79,70,83,112,108,95,76,82,72,81,563,PLANT CELL
9,2.766,PLOS ONE,1409,3,23,35,68,60,90,81,75,63,85,826,PLANT CELL
10,7.433,NEW PHYTOL,1243,4,27,60,78,82,98,96,83,69,67,579,PLANT CELL
11,4.059,PLANT CELL PHYSIOL,833,8,23,34,56,50,49,67,48,35,41,422,PLANT CELL
12,5.415,PLANT CELL ENVIRON,822,1,29,34,60,58,73,43,41,39,56,388,PLANT CELL
13,3.730,BMC GENOMICS,707,1,13,19,41,52,44,30,40,37,39,391,PLANT CELL
14,9.326,MOL PLANT,695,7,16,55,71,50,62,37,42,51,35,269,PLANT CELL
15,7.349,CURR OPIN PLANT BIOL,680,22,57,60,82,72,67,50,37,33,39,161,PLANT CELL
16,3.930,BMC PLANT BIOL,669,3,8,18,38,32,37,42,25,50,33,383,PLANT CELL
17,3.687,INT J MOL SCI,640,5,15,21,37,37,51,45,33,30,32,334,PLANT CELL
18,9.504,P NATL ACAD SCI USA,638,7,32,33,49,54,51,40,46,30,25,271,PLANT CELL
19,3.712,PLANT SCI,542,3,13,16,23,32,24,22,28,31,28,322,PLANT CELL
20,3.249,PLANTA,454,1,1,20,15,26,20,33,34,17,18,269,PLANT CELL
21,3.543,PLANT MOL BIOL,444,0,10,9,24,21,23,28,23,26,23,257,PLANT CELL
22,2.718,PLANT PHYSIOL BIOCH,433,3,2,9,16,25,21,22,15,11,23,286,PLANT CELL
23,2.989,PLANT CELL REP,429,2,9,15,23,19,29,25,13,27,17,250,PLANT CELL
24,12.353,NAT COMMUN,349,1,9,25,36,22,26,21,20,23,18,148,PLANT CELL
25,12.149,TRENDS PLANT SCI,336,11,25,26,41,24,30,27,24,16,16,96,PLANT CELL
