,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,14622,324,952,1062,1143,1088,1040,941,929,842,680,5621,PLANT CELL
2, ,ALL OTHERS (571),571,11,38,34,41,32,24,36,21,26,28,280,PLANT CELL
3,8.228,PLANT CELL,1421,79,70,83,112,108,95,76,82,72,81,563,PLANT CELL
4,5.949,PLANT PHYSIOL,1048,28,80,66,63,59,83,57,62,44,65,441,PLANT CELL
5,5.775,PLANT J,863,17,20,41,63,58,54,48,68,60,48,386,PLANT CELL
6,9.504,P NATL ACAD SCI USA,833,11,45,49,59,63,62,62,76,48,36,322,PLANT CELL
7,41.577,NATURE,500,4,17,30,31,19,36,30,35,19,26,253,PLANT CELL
8,41.058,SCIENCE,450,13,16,15,21,31,20,26,19,37,25,227,PLANT CELL
9,31.398,CELL,349,1,21,18,10,14,15,12,16,24,14,204,PLANT CELL
10,5.354,J EXP BOT,272,11,33,28,30,16,23,24,13,15,9,70,PLANT CELL
11,11.561,NUCLEIC ACIDS RES,270,5,20,23,24,18,30,11,16,22,7,94,PLANT CELL
12,4.011,J BIOL CHEM,269,0,8,5,8,13,17,12,23,13,6,164,PLANT CELL
13,7.433,NEW PHYTOL,228,14,25,27,32,25,14,19,19,13,5,35,PLANT CELL
14,9.251,CURR BIOL,220,5,19,12,16,16,8,23,20,9,16,76,PLANT CELL
15,7.349,CURR OPIN PLANT BIOL,214,8,23,32,22,9,30,17,8,8,6,51,PLANT CELL
16,18.712,ANNU REV PLANT BIOL,207,3,10,10,10,16,16,9,14,25,17,77,PLANT CELL
17,12.149,TRENDS PLANT SCI,194,3,16,15,14,19,20,12,17,10,13,55,PLANT CELL
18,5.481,BIOINFORMATICS,182,1,2,18,18,8,13,17,24,32,3,46,PLANT CELL
19,5.413,DEVELOPMENT,178,1,10,10,6,10,9,6,16,8,6,96,PLANT CELL
20,5.540,PLOS GENET,172,4,22,16,24,19,27,17,17,11,6,9,PLANT CELL
21,3.677,FRONT PLANT SCI,163,5,39,35,39,22,18,5,0,0,0,0,PLANT CELL
22,2.766,PLOS ONE,162,2,11,15,36,21,23,22,12,3,10,7,PLANT CELL
23,4.059,PLANT CELL PHYSIOL,158,2,11,7,17,11,13,4,18,13,7,55,PLANT CELL
24,10.557,EMBO J,140,1,4,5,9,5,2,6,4,9,3,92,PLANT CELL
25,9.462,GENE DEV,140,0,5,6,5,3,10,8,7,6,1,89,PLANT CELL
26,9.326,MOL PLANT,140,6,17,28,18,23,8,10,7,11,12,0,PLANT CELL
27,3.249,PLANTA,119,2,2,1,2,6,8,5,0,2,5,86,PLANT CELL
28,14.248,MOL CELL,118,2,5,5,19,5,11,6,9,5,3,48,PLANT CELL
29,10.101,GENOME RES,116,3,5,6,9,10,8,3,7,14,7,44,PLANT CELL
30,13.214,GENOME BIOL,114,2,5,8,21,18,4,3,13,15,9,16,PLANT CELL
31,27.125,NAT GENET,113,3,7,5,14,6,11,15,9,4,2,37,PLANT CELL
32,3.543,PLANT MOL BIOL,110,0,2,5,2,5,3,7,4,6,3,73,PLANT CELL
33,4.075,GENETICS,105,0,4,8,3,3,4,3,7,5,9,59,PLANT CELL
34,5.415,PLANT CELL ENVIRON,95,5,12,5,8,7,7,6,12,6,4,23,PLANT CELL
35,12.353,NAT COMMUN,94,3,20,26,23,11,7,4,0,0,0,0,PLANT CELL
36,10.217,MOL BIOL EVOL,93,2,12,8,7,16,6,9,7,0,2,24,PLANT CELL
37,3.930,BMC PLANT BIOL,83,1,8,12,11,6,10,7,9,5,10,4,PLANT CELL
38,12.423,NAT PROTOC,83,0,1,9,3,5,6,2,4,4,6,43,PLANT CELL
39,3.588,MOL PLANT MICROBE IN,81,0,4,3,3,17,2,6,3,4,2,37,PLANT CELL
40,9.616,DEV CELL,72,5,12,7,4,5,5,6,8,1,8,11,PLANT CELL
41,35.724,NAT BIOTECHNOL,68,2,0,4,11,7,5,10,8,0,1,20,PLANT CELL
42,3.813,MOL CELL BIOL,64,0,3,3,0,2,2,3,0,1,1,49,PLANT CELL
43,2.999,FEBS LETT,63,0,0,2,3,1,2,2,2,5,4,42,PLANT CELL
44,17.872,CELL HOST MICROBE,62,1,5,6,11,4,8,9,8,5,3,2,PLANT CELL
45,35.612,NAT REV MOL CELL BIO,61,2,2,6,3,5,3,4,6,11,1,18,PLANT CELL
46,26.919,NAT METHODS,60,1,1,7,1,1,21,5,2,7,4,10,PLANT CELL
47,6.158,PLOS PATHOG,60,1,4,12,4,8,8,5,10,5,0,3,PLANT CELL
48,7.616,ELIFE,58,2,11,21,16,8,0,0,0,0,0,0,PLANT CELL
49,1.395,PLANT SIGNAL BEHAV,58,1,2,2,5,10,5,12,10,4,2,5,PLANT CELL
50,9.163,PLOS BIOL,58,0,6,3,3,6,2,4,9,6,6,13,PLANT CELL
51, ,METHOD MOL BIOL,57,5,2,5,9,8,5,9,3,3,0,8,PLANT CELL
52,3.646,ANN BOT-LONDON,53,1,2,3,8,6,1,4,1,0,1,26,PLANT CELL
53,41.465,NAT REV GENET,53,1,5,3,6,5,1,0,6,3,5,18,PLANT CELL
54,2.580,PHYSIOL PLANTARUM,49,0,2,0,0,1,9,2,2,2,2,29,PLANT CELL
55,4.894,J MOL BIOL,46,0,2,1,1,1,0,0,1,3,1,36,PLANT CELL
56,3.186,PHYTOCHEMISTRY,46,0,1,3,3,5,1,5,0,4,3,21,PLANT CELL
57,9.528,ANNU REV PHYTOPATHOL,44,1,3,4,3,9,3,3,1,3,2,12,PLANT CELL
58,3.730,BMC GENOMICS,43,0,5,6,6,5,5,4,6,2,1,3,PLANT CELL
59,4.269,PLANT METHODS,43,1,1,1,2,2,2,5,2,8,6,13,PLANT CELL
60,3.857,BIOCHEM J,41,0,0,2,0,1,5,4,2,5,4,18,PLANT CELL
61,15.393,CELL RES,39,0,3,3,7,8,7,2,1,2,2,4,PLANT CELL
62,11.471,NAT PLANTS,38,3,19,16,0,0,0,0,0,0,0,0,PLANT CELL
63,13.333,NAT STRUCT MOL BIOL,38,0,2,4,5,2,7,4,4,3,1,6,PLANT CELL
64,10.556,TRENDS GENET,38,0,3,4,3,2,3,2,1,2,2,16,PLANT CELL
65,4.122,SCI REP-UK,37,2,19,6,4,4,1,1,0,0,0,0,PLANT CELL
66,3.712,PLANT SCI,35,0,3,4,3,3,4,3,3,2,3,7,PLANT CELL
67,2.997,BIOCHEMISTRY-US,34,0,0,0,2,1,0,1,2,3,2,23,PLANT CELL
68,8.784,J CELL BIOL,34,0,0,0,0,1,0,3,3,2,1,24,PLANT CELL
69,19.064,NAT CELL BIOL,34,0,0,0,1,1,10,4,1,6,3,8,PLANT CELL
70,6.305,PLANT BIOTECHNOL J,34,0,4,6,3,3,4,5,0,1,3,5,PLANT CELL
71,4.188,MOL PLANT PATHOL,33,2,6,1,4,1,3,4,0,0,0,12,PLANT CELL
72,2.498,GENE,31,0,0,0,1,0,0,1,0,3,1,25,PLANT CELL
73,8.500,MOL SYST BIOL,31,0,0,1,3,3,3,8,7,4,1,1,PLANT CELL
74,2.788,AM J BOT,30,0,1,4,3,3,0,2,2,2,0,13,PLANT CELL
75,4.280,BBA-BIOENERGETICS,30,1,2,7,7,0,1,2,2,0,0,8,PLANT CELL
76,4.401,J CELL SCI,30,0,1,4,2,2,2,1,2,2,1,13,PLANT CELL
77,2.213,BMC BIOINFORMATICS,29,1,0,0,1,0,1,8,0,7,3,8,PLANT CELL
78,5.236,MOL CELL PROTEOMICS,29,0,3,3,2,0,3,2,3,1,1,11,PLANT CELL
79,3.930,THEOR APPL GENET,28,2,0,3,1,0,2,2,0,1,1,16,PLANT CELL
80,8.749,EMBO REP,27,1,1,3,1,2,0,2,1,3,4,9,PLANT CELL
81,3.092,J INTEGR PLANT BIOL,25,0,4,4,2,5,2,0,1,2,2,3,PLANT CELL
82,9.032,ANNU REV CELL DEV BI,24,0,1,0,1,1,3,1,1,2,1,13,PLANT CELL
83,9.589,ANNU REV GENET,24,0,0,0,1,3,1,1,2,3,2,11,PLANT CELL
84,2.559,BIOCHEM BIOPH RES CO,24,0,1,2,1,0,0,3,2,1,1,13,PLANT CELL
85,5.179,BBA-GENE REGUL MECH,23,2,1,2,1,7,5,1,1,0,0,3,PLANT CELL
86,3.512,MOL BIOL CELL,23,0,1,3,0,1,1,2,0,1,4,10,PLANT CELL
87,3.955,PLOS COMPUT BIOL,23,0,2,1,2,3,3,6,0,2,1,3,PLANT CELL
88, ,ARABIDOPSIS BOOK,22,0,0,5,3,1,1,5,2,0,1,4,PLANT CELL
89,3.091,PHOTOSYNTH RES,22,1,2,1,0,2,1,1,2,0,2,10,PLANT CELL
90,4.368,J VIROL,21,0,3,2,1,1,1,3,1,2,1,6,PLANT CELL
91,2.457,PROTOPLASMA,21,0,1,1,0,0,2,1,3,0,0,13,PLANT CELL
92,4.490,RNA,21,0,1,1,1,3,1,1,3,5,2,3,PLANT CELL
93,20.154,ANNU REV BIOCHEM,20,0,2,1,0,0,3,0,3,4,1,6,PLANT CELL
94,4.651,BBA-MOL CELL RES,19,0,1,1,2,7,3,3,0,0,0,2,PLANT CELL
95,18.564,TRENDS CELL BIOL,19,0,2,4,1,0,1,2,0,1,1,7,PLANT CELL
96,8.032,CELL REP,18,0,4,1,4,6,3,0,0,0,0,0,PLANT CELL
97,3.262,DEV BIOL,18,0,1,0,0,1,0,0,1,2,0,13,PLANT CELL
98,2.156,PLANT BIOLOGY,18,0,0,1,0,7,0,1,1,1,2,5,PLANT CELL
99,2.989,PLANT CELL REP,18,1,3,1,3,4,0,2,1,0,2,1,PLANT CELL
100,2.718,PLANT PHYSIOL BIOCH,18,1,0,0,0,3,1,0,0,0,6,7,PLANT CELL
