Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"48,393",8.228,7.840,9.378,1.753,182,10.2,7.8,0.064,3.476,96.70,7.51000,92.14400,PLANT CELL
2016,"49,690",8.726,8.384,9.996,1.695,177,9.6,7.8,0.07476,3.573,97.18,8.55564,93.18200,PLANT CELL
2015,"47,208",8.538,8.031,9.880,1.647,215,9.0,7.4,0.07512,3.285,97.21,8.56247,92.95100,PLANT CELL
2014,"46,901",9.338,8.610,10.529,1.711,311,8.6,7.2,0.0808,3.474,97.11,9.05008,93.52200,PLANT CELL
2013,"44,699",9.575,8.874,10.656,1.483,315,8.3,7.0,0.08765,3.815,97.46,9.66078,93.19200,PLANT CELL
2012,"39,067",9.251,8.356,10.125,1.526,325,8.0,6.7,0.08843,3.795,96.31,Not Available,92.99700,PLANT CELL
2011,"36,816",8.987,8.184,10.224,1.660,288,7.6,6.5,0.08938,3.752,95.83,Not Available,92.96400,PLANT CELL
2010,"34,533",9.396,8.640,10.648,1.346,272,7.1,6.5,0.10039,4.059,97.43,Not Available,92.67000,PLANT CELL
2009,"31,626",9.293,8.573,10.679,1.485,264,6.7,6.0,0.1198,4.532,95.08,Not Available,93.55900,PLANT CELL
2008,"28,874",9.296,8.619,10.458,1.572,229,6.3,5.9,0.12157,4.350,99.56,Not Available,94.17500,PLANT CELL
2007,"27,508",9.653,8.717,11.287,1.579,280,5.8,5.5,0.14598,5.138,99.64,Not Available,94.04900,PLANT CELL
2006,"23,186",9.868,9.067,Not Available,1.772,228,5.6,5.6,Not Available,Not Available,96.93,Not Available,93.59500,PLANT CELL
2005,"23,294",11.088,10.154,Not Available,2.048,248,5.5,5.1,Not Available,Not Available,95.97,Not Available,95.76900,PLANT CELL
2004,"21,024",11.295,10.099,Not Available,2.154,259,5.4,4.9,Not Available,Not Available,94.59,Not Available,95.23900,PLANT CELL
2003,"18,947",10.679,9.803,Not Available,2.150,220,5.2,5.0,Not Available,Not Available,98.18,Not Available,95.63100,PLANT CELL
2002,"17,373",10.751,9.538,Not Available,2.071,241,5.2,4.7,Not Available,Not Available,93.78,Not Available,95.93700,PLANT CELL
2001,"16,131",11.081,10.334,Not Available,2.237,186,5.0,5.2,Not Available,Not Available,100.00,Not Available,95.33100,PLANT CELL
2000,"14,925",11.093,10.147,Not Available,1.656,180,4.7,5.0,Not Available,Not Available,98.33,Not Available,95.57600,PLANT CELL
1999,"13,518",10.463,9.481,Not Available,2.432,176,4.4,5.0,Not Available,Not Available,93.18,Not Available,95.38800,PLANT CELL
1998,"12,654",11.757,10.623,Not Available,1.815,157,4.0,4.9,Not Available,Not Available,96.82,Not Available,95.94300,PLANT CELL
1997,"10,458",9.709,8.612,Not Available,2.467,169,3.8,4.5,Not Available,Not Available,94.08,Not Available,94.91300,PLANT CELL
