Cited Journal Data: PLOS ONE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1,,ALL Journals,582878,8223,48516,90319,107550,116895,89692,55563,29008,17723,11917,7472
2,,ALL OTHERS (2200),2200,43,232,415,444,455,251,170,65,48,46,31
3,2.766,PLOS ONE,28491,970,3352,5018,5021,5059,3864,2301,1257,739,523,387
4,4.122,SCI REP-UK,24313,306,1961,3461,4271,4873,3951,2532,1297,812,536,313
5,,ONCOTARGET,9848,152,729,1535,1908,2097,1490,891,452,293,199,102
6,4.019,FRONT MICROBIOL,4511,119,422,616,778,889,698,448,268,150,81,42
7,3.687,INT J MOL SCI,4153,131,406,574,689,793,651,397,236,152,78,46
8,3.677,FRONT PLANT SCI,3279,59,343,585,590,684,486,276,94,39,63,60
9,5.511,FRONT IMMUNOL,3143,75,281,413,485,558,508,345,230,97,98,53
10,12.353,NAT COMMUN,2304,20,100,268,353,471,399,269,183,114,80,47
11,9.504,P NATL ACAD SCI USA,2211,23,179,295,287,410,374,273,146,101,80,43
12,3.730,BMC GENOMICS,2096,20,152,259,367,425,362,239,123,64,54,31
13,2.118,PEERJ,2088,35,180,303,358,416,312,207,115,78,44,40
14,1.922,MOL MED REP,1644,7,79,228,372,354,282,163,80,38,32,9
15,2.413,BMJ OPEN,1521,34,189,317,335,299,172,92,35,26,15,7
16,2.583,BIOMED RES INT,1468,30,151,261,277,307,199,126,63,23,19,12
17,4.011,J BIOL CHEM,1444,10,85,166,205,307,238,194,110,69,46,14
18,,FRONT PSYCHOL,1443,28,149,221,243,294,196,147,62,46,34,23
19,3.394,FRONT PHYSIOL,1408,48,138,212,264,286,209,120,58,38,17,18
20,1.664,ONCOL LETT,1408,4,46,187,302,380,249,111,59,34,25,11
21,4.196,NUTRIENTS,1385,54,168,255,271,263,194,89,42,28,16,5
22,3.457,BIOMED PHARMACOTHER,1377,28,141,230,262,284,209,111,50,30,16,16
23,2.559,BIOCHEM BIOPH RES CO,1348,24,117,185,220,275,235,127,64,54,29,18
24,2.340,ECOL EVOL,1337,21,102,177,211,253,240,150,82,42,35,24
25,7.616,ELIFE,1310,15,67,131,198,243,205,173,115,75,48,40
26,11.561,NUCLEIC ACIDS RES,1142,13,68,107,196,238,189,128,76,67,35,25
27,4.367,PLOS NEGLECT TROP D,1114,19,101,161,167,223,202,90,67,35,19,30
28,4.610,SCI TOTAL ENVIRON,1113,16,83,198,282,231,149,77,40,18,10,9
29,3.520,FRONT CELL INFECT MI,1101,15,99,152,168,213,163,142,57,45,36,11
30,2.028,MEDICINE,1090,34,131,217,228,230,133,56,29,18,10,4
31,3.098,MOLECULES,1063,40,109,185,202,202,142,97,44,21,13,8
32,4.368,J VIROL,1027,7,69,113,142,204,155,138,88,54,33,24
33,5.426,NEUROIMAGE,1018,4,61,120,143,224,162,129,68,45,44,18
34,3.831,FRONT PHARMACOL,992,17,102,155,187,191,140,102,54,25,14,5
35,2.620,BMC INFECT DIS,991,16,97,181,178,197,132,92,49,27,13,9
36,2.757,CURR PHARM DESIGN,990,15,72,145,194,220,145,97,59,25,10,8
37,3.285,VACCINE,986,26,95,141,146,187,142,97,58,51,31,12
38,6.131,MOL ECOL,985,12,54,103,172,150,201,138,66,23,45,21
39,1.396,INT J CLIN EXP PATHO,950,18,93,140,207,203,138,78,29,22,16,6
40,0.833,INT J CLIN EXP MED,937,5,95,166,177,210,135,77,36,20,10,6
41,2.145,INT J ENV RES PUB HE,926,39,139,185,159,190,107,57,20,14,9,7
42,3.877,FRONT NEUROSCI-SWITZ,922,17,64,107,148,171,151,119,66,34,32,13
43,2.845,MALARIA J,907,18,82,115,130,187,135,94,56,48,20,22
44,1.410,EXP THER MED,897,5,52,147,204,213,126,80,29,26,9,6
45,2.871,FRONT HUM NEUROSCI,888,25,71,121,147,173,143,87,57,32,17,15
46,6.158,PLOS PATHOG,886,9,56,84,128,166,154,117,76,43,34,19
47,5.500,CELL PHYSIOL BIOCHEM,872,22,84,119,199,172,132,70,32,16,12,14
48,2.976,ONCOL REP,869,3,63,130,184,184,132,91,37,23,17,5
49,,METHOD MOL BIOL,847,0,10,85,149,160,140,134,68,45,41,15
50,5.076,MOL NEUROBIOL,842,0,11,97,137,181,146,127,65,43,23,12
51,8.037,NEUROSCI BIOBEHAV R,834,5,40,90,142,168,158,98,49,37,33,14
52,3.191,GENES-BASEL,819,21,72,96,147,151,128,73,52,37,26,16
53,3.633,APPL ENVIRON MICROB,812,7,55,106,145,190,110,79,74,22,15,9
54,4.539,J IMMUNOL,804,4,46,100,137,155,132,90,70,32,33,5
55,2.498,GENE,796,6,63,116,136,153,128,95,40,25,21,13
56,5.971,J NEUROSCI,778,2,37,76,113,158,131,126,49,33,34,19
57,4.936,OXID MED CELL LONGEV,759,11,66,118,133,152,112,79,35,25,21,7
58,2.276,MAR ECOL PROG SER,744,8,47,104,111,180,120,83,52,19,15,5
59,8.032,CELL REP,740,9,43,66,109,138,128,91,64,52,22,18
60,3.902,FRONT MOL NEUROSCI,740,17,46,84,109,152,119,92,53,34,24,10
61,,TUMOR BIOL,734,3,47,103,147,165,132,62,32,22,17,4
62,5.186,J INFECT DIS,727,19,63,111,139,118,101,69,43,33,18,13
63,3.163,PARASITE VECTOR,712,14,71,116,114,132,116,77,35,20,10,7
64,3.955,PLOS COMPUT BIOL,710,10,39,64,110,143,112,98,55,34,24,21
65,2.504,ROY SOC OPEN SCI,708,22,62,99,116,139,115,68,41,23,15,8
