Citing Journal Data: PLOS ONE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1, ,ALL Journals,967513,13088,58302,75106,74206,70894,65753,59180,55339,49476,44381,401788
2, ,ALL OTHERS (67729),67729,1370,4720,5287,4786,4447,3880,3542,3102,2620,2408,31567
3,2.766,PLOS ONE,28491,970,3352,5018,5021,5059,3864,2301,1257,739,523,387
4,9.504,P NATL ACAD SCI USA,14133,79,388,591,773,868,799,853,865,900,793,7224
5,41.577,NATURE,10987,58,334,551,560,577,781,541,527,438,500,6120
6,41.058,SCIENCE,9284,50,283,367,401,477,352,418,442,473,444,5577
7,4.011,J BIOL CHEM,8811,27,173,209,302,343,386,432,418,377,310,5834
8,11.561,NUCLEIC ACIDS RES,5909,86,389,554,463,443,429,309,262,296,250,2428
9,53.254,LANCET,5679,43,364,412,371,338,479,338,316,234,295,2489
10,79.260,NEW ENGL J MED,5534,30,218,423,326,311,331,346,298,294,285,2672
11,31.398,CELL,4521,26,146,190,245,244,248,193,214,285,184,2546
12,5.481,BIOINFORMATICS,4108,29,108,227,404,180,320,323,488,515,181,1333
13,5.971,J NEUROSCI,3655,13,82,162,195,235,263,304,235,247,201,1718
14,4.539,J IMMUNOL,3523,20,86,151,183,181,169,188,191,210,223,1921
15,4.122,SCI REP-UK,3238,306,1348,953,291,236,80,24,0,0,0,0
16,18.881,CIRCULATION,3111,25,104,123,120,137,143,131,158,167,153,1850
17,47.661,JAMA-J AM MED ASSOC,2824,20,183,132,202,169,139,101,124,107,77,1570
18,4.368,J VIROL,2786,20,84,147,164,159,181,136,157,147,128,1463
19,23.562,BMJ-BRIT MED J,2660,17,74,126,144,146,134,179,121,313,120,1286
20,15.132,BLOOD,2626,7,65,121,139,165,173,239,176,181,159,1201
21,3.633,APPL ENVIRON MICROB,2609,13,72,94,111,138,149,144,117,187,116,1468
22,5.426,NEUROIMAGE,2587,27,83,124,194,160,285,225,209,166,164,950
23,9.130,CANCER RES,2567,13,62,70,91,123,95,135,163,164,138,1513
24,27.125,NAT GENET,2461,21,88,130,157,202,174,159,190,172,145,1023
25,13.251,J CLIN INVEST,2422,11,57,89,116,135,137,107,97,93,91,1489
26,4.054,J CLIN MICROBIOL,2301,10,62,100,142,116,149,136,135,97,116,1238
27,3.219,J BACTERIOL,2114,6,23,39,42,49,96,83,82,79,111,1504
28,3.388,INVEST OPHTH VIS SCI,2103,23,109,168,162,166,146,204,116,69,82,858
29,5.186,J INFECT DIS,2047,17,93,145,160,141,135,125,126,100,94,911
30,5.949,PLANT PHYSIOL,1998,8,62,60,85,116,90,127,113,103,102,1132
31,2.559,BIOCHEM BIOPH RES CO,1948,20,87,132,124,108,95,97,97,104,93,991
32,3.256,INFECT IMMUN,1899,9,40,70,90,51,65,90,71,85,89,1239
33,9.117,CLIN INFECT DIS,1886,22,115,148,162,121,133,125,128,122,131,679
34,4.617,ECOLOGY,1841,9,32,59,53,54,72,57,84,98,86,1237
35,10.217,MOL BIOL EVOL,1764,7,114,53,41,367,128,147,68,44,68,727
36,3.730,BMC GENOMICS,1752,32,136,231,285,222,183,171,142,98,109,143
37,13.397,DIABETES CARE,1703,15,71,66,106,139,122,120,116,94,91,763
38,14.319,NEURON,1703,14,59,86,113,93,92,132,97,103,91,823
39,4.847,P ROY SOC B-BIOL SCI,1694,16,63,99,121,103,117,103,87,109,82,794
40,26.360,J CLIN ONCOL,1663,10,76,92,104,113,105,131,132,128,120,652
41,3.285,VACCINE,1659,19,125,205,157,127,160,136,115,111,85,419
42,6.131,MOL ECOL,1625,18,73,80,105,100,160,77,117,76,89,730
43,4.894,J MOL BIOL,1622,5,33,33,41,40,37,49,51,68,61,1204
44, ,THESIS,1622,17,80,115,114,108,103,114,97,66,83,725
45,14.079,HEPATOLOGY,1609,15,69,99,116,124,116,134,109,115,84,628
46,15.239,AM J RESP CRIT CARE,1565,25,63,80,84,118,65,115,96,68,91,760
47,4.075,GENETICS,1561,11,29,29,47,45,37,35,40,51,64,1173
48,26.919,NAT METHODS,1544,13,46,125,94,173,438,99,253,71,115,117
49,10.557,EMBO J,1501,6,25,27,29,38,70,62,53,43,39,1109
50,3.813,MOL CELL BIOL,1499,4,21,29,31,46,53,41,41,66,69,1098
51,12.353,NAT COMMUN,1496,56,302,394,351,207,108,52,22,0,0,4
52,32.621,NAT MED,1492,11,61,83,88,113,111,122,67,90,71,675
53,2.276,MAR ECOL PROG SER,1490,8,42,62,55,59,85,66,65,91,85,872
54,8.055,NEUROLOGY,1474,9,53,66,85,83,77,59,77,82,82,801
55,8.784,J CELL BIOL,1471,2,25,41,37,58,55,45,69,59,59,1021
