Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"637,269",9.504,9.230,10.359,1.849,"3,261",9.3,7.8,1.108,4.531,99.97,129.41000,92.96900,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2016,"620,027",9.661,9.372,10.414,1.819,"3,187",9.0,7.5,1.23581,4.724,100.00,141.73132,94.53100,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2015,"593,284",9.423,9.130,10.285,1.984,"3,281",8.7,7.3,1.32197,4.682,99.97,150.67831,94.44400,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2014,"586,144",9.674,9.359,10.563,1.967,"3,579",8.4,6.9,1.41641,4.733,99.94,158.63847,93.86000,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2013,"565,934",9.809,9.453,10.727,2.039,"3,901",8.2,6.9,1.49966,4.878,100.00,165.29218,93.63600,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2012,"534,951",9.737,9.399,10.583,1.893,"3,801",8.0,6.7,1.54624,4.879,99.97,Not Available,93.75000,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2011,"504,243",9.681,9.366,10.472,1.874,"3,614",7.8,6.5,1.60168,4.896,99.94,Not Available,95.53600,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2010,"482,699",9.771,9.440,10.591,1.874,"3,764",7.7,6.2,1.65917,4.951,99.87,Not Available,95.76300,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2009,"451,386",9.432,9.077,10.312,1.805,"3,765",7.6,6.2,1.6782,4.860,99.84,Not Available,95.00000,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2008,"416,018",9.380,9.025,10.228,1.635,"3,508",7.4,5.9,1.69817,4.847,99.74,Not Available,94.04800,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2007,"394,223",9.598,9.224,10.369,1.724,"3,494",7.3,5.8,1.74485,4.929,99.63,Not Available,95.00000,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2006,"371,057",9.643,9.269,Not Available,1.758,"3,306",7.1,5.7,Not Available,Not Available,99.52,Not Available,95.00000,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2005,"357,239",10.231,9.814,Not Available,1.746,"3,200",6.9,5.4,Not Available,Not Available,99.88,Not Available,94.79200,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2004,"345,309",10.452,10.029,Not Available,1.923,"3,084",6.7,5.3,Not Available,Not Available,99.77,Not Available,94.44400,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2003,"326,389",10.272,9.854,Not Available,1.935,"2,725",6.6,5.1,Not Available,Not Available,99.85,Not Available,94.56500,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2002,"315,820",10.700,10.257,Not Available,1.846,"2,911",6.4,5.1,Not Available,Not Available,99.90,Not Available,94.79200,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2001,"309,646",10.896,10.433,Not Available,1.959,"2,579",6.3,4.9,Not Available,Not Available,99.84,Not Available,94.44400,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
2000,"302,228",10.789,10.338,Not Available,1.875,"2,505",6.4,4.8,Not Available,Not Available,99.84,Not Available,94.89800,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
1999,"297,889",10.260,9.805,Not Available,1.822,"2,609",6.3,4.7,Not Available,Not Available,99.77,Not Available,95.19200,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
1998,"290,121",9.821,9.363,Not Available,1.597,"2,716",6.3,4.7,Not Available,Not Available,99.82,Not Available,95.96800,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
1997,"271,952",9.040,8.579,Not Available,1.484,"2,627",6.1,4.6,Not Available,Not Available,99.66,Not Available,95.53600,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
