,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13065,248,481,652,999,758,736,991,728,588,567,6317,PROGRESS IN NEUROBIOLOGY
2,,ALL OTHERS (1141),1141,13,32,52,69,54,74,95,80,74,68,530,PROGRESS IN NEUROBIOLOGY
3,4.122,SCI REP-UK,401,10,17,26,22,33,26,39,16,15,17,180,PROGRESS IN NEUROBIOLOGY
4,2.766,PLOS ONE,236,4,6,11,11,12,14,25,12,10,14,117,PROGRESS IN NEUROBIOLOGY
5,3.382,NEUROSCIENCE,192,0,6,7,11,7,14,10,2,3,4,128,PROGRESS IN NEUROBIOLOGY
6,5.076,MOL NEUROBIOL,183,2,5,6,24,15,18,16,14,4,5,74,PROGRESS IN NEUROBIOLOGY
7,14.163,PROG NEUROBIOL,170,8,11,20,23,12,6,14,9,9,5,53,PROGRESS IN NEUROBIOLOGY
8,5.971,J NEUROSCI,169,3,5,7,9,11,11,11,7,3,6,96,PROGRESS IN NEUROBIOLOGY
9,3.173,BEHAV BRAIN RES,133,1,3,2,10,9,9,3,8,6,3,79,PROGRESS IN NEUROBIOLOGY
10,3.687,INT J MOL SCI,115,4,8,9,10,2,5,7,7,4,6,53,PROGRESS IN NEUROBIOLOGY
11,4.249,NEUROPHARMACOLOGY,109,0,1,4,11,5,4,2,8,5,5,64,PROGRESS IN NEUROBIOLOGY
12,4.300,FRONT CELL NEUROSCI,104,4,6,10,9,5,4,6,3,6,3,48,PROGRESS IN NEUROBIOLOGY
13,8.037,NEUROSCI BIOBEHAV R,103,0,3,5,9,8,4,7,6,5,8,48,PROGRESS IN NEUROBIOLOGY
14,2.502,J NEUROPHYSIOL,96,0,0,1,1,7,2,4,1,6,2,72,PROGRESS IN NEUROBIOLOGY
15,3.902,FRONT MOL NEUROSCI,93,3,5,4,10,5,7,8,5,3,5,38,PROGRESS IN NEUROBIOLOGY
16,3.877,FRONT NEUROSCI-SWITZ,91,4,5,7,7,3,8,6,4,6,6,35,PROGRESS IN NEUROBIOLOGY
17,2.772,NEUROCHEM RES,90,2,1,2,10,8,5,5,4,3,3,47,PROGRESS IN NEUROBIOLOGY
18,3.476,J ALZHEIMERS DIS,89,4,3,1,10,7,11,13,5,4,2,29,PROGRESS IN NEUROBIOLOGY
19,3.582,FRONT AGING NEUROSCI,87,4,4,8,6,5,1,7,3,4,8,37,PROGRESS IN NEUROBIOLOGY
20,2.159,NEUROSCI LETT,83,0,4,4,14,3,5,8,2,5,3,35,PROGRESS IN NEUROBIOLOGY
21,4.609,J NEUROCHEM,78,5,0,6,10,5,3,3,2,3,1,40,PROGRESS IN NEUROBIOLOGY
22,,ONCOTARGET,77,6,5,5,9,7,3,7,5,4,1,25,PROGRESS IN NEUROBIOLOGY
23,7.616,ELIFE,76,0,0,1,1,18,1,7,6,2,0,40,PROGRESS IN NEUROBIOLOGY
24,6.308,CEREB CORTEX,74,0,0,3,0,11,5,6,2,1,5,41,PROGRESS IN NEUROBIOLOGY
25,14.319,NEURON,72,0,1,2,4,8,0,2,2,4,1,48,PROGRESS IN NEUROBIOLOGY
