,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,23720,159,843,1615,1838,1768,1633,1473,1342,1147,1092,10810,PROGRESS IN NEUROBIOLOGY
2, ,ALL OTHERS (1372),1372,17,76,112,136,121,107,75,70,53,50,555,PROGRESS IN NEUROBIOLOGY
3,5.971,J NEUROSCI,873,2,14,36,46,54,60,56,54,49,50,452,PROGRESS IN NEUROBIOLOGY
4,9.504,P NATL ACAD SCI USA,574,1,8,12,30,30,25,30,41,47,32,318,PROGRESS IN NEUROBIOLOGY
5,41.577,NATURE,480,0,16,25,19,20,29,30,34,22,20,265,PROGRESS IN NEUROBIOLOGY
6,3.125,BRAIN RES,420,1,5,7,13,13,10,13,14,11,11,322,PROGRESS IN NEUROBIOLOGY
7,41.058,SCIENCE,411,0,13,10,10,10,15,17,26,17,19,274,PROGRESS IN NEUROBIOLOGY
8,4.011,J BIOL CHEM,406,0,5,12,18,19,21,31,20,21,16,243,PROGRESS IN NEUROBIOLOGY
9,4.609,J NEUROCHEM,403,0,14,14,13,16,14,17,19,24,27,245,PROGRESS IN NEUROBIOLOGY
10,2.766,PLOS ONE,398,2,16,41,65,74,76,49,39,20,11,5,PROGRESS IN NEUROBIOLOGY
11,3.382,NEUROSCIENCE,317,0,2,17,11,15,17,12,12,23,10,198,PROGRESS IN NEUROBIOLOGY
12,14.319,NEURON,299,2,5,30,20,13,26,19,24,19,16,125,PROGRESS IN NEUROBIOLOGY
13,8.055,NEUROLOGY,211,0,5,6,7,9,5,2,7,10,5,155,PROGRESS IN NEUROBIOLOGY
14,19.912,NAT NEUROSCI,204,0,13,29,16,23,13,11,12,8,5,74,PROGRESS IN NEUROBIOLOGY
15,2.159,NEUROSCI LETT,204,1,1,6,16,7,4,6,12,10,8,133,PROGRESS IN NEUROBIOLOGY
16,31.398,CELL,200,0,5,4,14,16,19,17,13,13,9,90,PROGRESS IN NEUROBIOLOGY
17,10.250,ANN NEUROL,197,0,2,6,10,19,11,11,11,8,5,114,PROGRESS IN NEUROBIOLOGY
18,6.045,J CEREBR BLOOD F MET,195,1,1,6,9,18,9,7,8,9,10,117,PROGRESS IN NEUROBIOLOGY
19,4.483,EXP NEUROL,186,0,6,13,14,9,21,7,5,3,11,97,PROGRESS IN NEUROBIOLOGY
