Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,065",14.163,13.775,13.530,3.179,78,9.6,9.0,0.016,4.211,17.95,1.81600,97.12600,PROGRESS IN NEUROBIOLOGY
2016,"12,163",13.217,13.066,11.916,3.167,36,9.4,7.5,0.01798,3.907,0.00,2.06472,97.49000,PROGRESS IN NEUROBIOLOGY
2015,"11,877",13.177,13.115,11.181,1.318,44,9.7,8.4,0.02031,3.730,0.00,2.31462,97.07000,PROGRESS IN NEUROBIOLOGY
2014,"11,430",9.992,9.738,10.487,2.839,62,9.4,8.3,0.02014,3.553,0.00,2.25565,95.83300,PROGRESS IN NEUROBIOLOGY
2013,"11,310",10.301,10.202,10.570,1.745,51,9.1,8.3,0.02116,3.480,0.00,2.33270,96.23000,PROGRESS IN NEUROBIOLOGY
2012,"10,714",9.035,8.912,10.322,1.320,75,9.0,7.6,0.02041,3.387,0.00,Not Available,94.64300,PROGRESS IN NEUROBIOLOGY
2011,"9,985",8.874,8.657,10.056,1.614,88,9.0,7.7,0.01938,3.498,0.00,Not Available,94.46700,PROGRESS IN NEUROBIOLOGY
2010,"9,720",9.966,9.805,11.370,1.167,84,8.9,8.5,0.02114,4.112,17.86,Not Available,96.02500,PROGRESS IN NEUROBIOLOGY
2009,"9,014",9.140,8.991,11.554,1.051,59,8.4,7.5,0.02274,4.353,0.00,Not Available,95.02200,PROGRESS IN NEUROBIOLOGY
2008,"8,746",9.130,8.900,12.346,1.169,59,7.8,7.7,0.02492,4.745,0.00,Not Available,95.24900,PROGRESS IN NEUROBIOLOGY
2007,"8,385",10.467,10.402,13.048,0.927,55,7.5,7.5,0.02554,4.840,9.09,Not Available,96.44500,PROGRESS IN NEUROBIOLOGY
2006,"8,091",11.304,11.228,Not Available,2.095,42,7.0,7.9,Not Available,Not Available,0.00,Not Available,95.75000,PROGRESS IN NEUROBIOLOGY
2005,"7,863",11.789,11.666,Not Available,0.574,47,6.6,7.1,Not Available,Not Available,2.13,Not Available,97.25000,PROGRESS IN NEUROBIOLOGY
2004,"7,665",11.933,11.677,Not Available,0.778,45,6.2,7.3,Not Available,Not Available,0.00,Not Available,97.22200,PROGRESS IN NEUROBIOLOGY
2003,"7,047",12.327,12.046,Not Available,0.550,40,5.7,6.6,Not Available,Not Available,0.00,Not Available,97.22200,PROGRESS IN NEUROBIOLOGY
2002,"6,630",10.672,10.492,Not Available,1.079,38,5.3,7.1,Not Available,Not Available,0.00,Not Available,96.19300,PROGRESS IN NEUROBIOLOGY
2001,"5,926",9.377,9.238,Not Available,1.629,62,5.4,7.0,Not Available,Not Available,0.00,Not Available,95.20200,PROGRESS IN NEUROBIOLOGY
2000,"5,640",9.933,9.694,Not Available,1.389,72,5.5,7.0,Not Available,Not Available,0.00,Not Available,97.29100,PROGRESS IN NEUROBIOLOGY
1999,"5,026",7.090,6.923,Not Available,0.931,58,5.6,7.0,Not Available,Not Available,0.00,Not Available,93.78100,PROGRESS IN NEUROBIOLOGY
1998,"4,333",5.688,5.484,Not Available,1.039,76,5.7,6.4,Not Available,Not Available,0.00,Not Available,93.31700,PROGRESS IN NEUROBIOLOGY
1997,"3,614",5.000,4.750,Not Available,0.441,68,5.5,6.9,Not Available,Not Available,0.00,Not Available,89.00000,PROGRESS IN NEUROBIOLOGY
