,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4430,47,244,447,423,331,290,323,264,203,209,1649,Pigment Cell & Melanoma Research
2,,ALL OTHERS (449),449,5,28,38,35,32,28,34,22,24,18,185,Pigment Cell & Melanoma Research
3,,ONCOTARGET,185,3,16,21,27,16,18,16,12,11,8,37,Pigment Cell & Melanoma Research
4,6.115,PIGM CELL MELANOMA R,157,2,13,20,20,12,7,12,13,8,6,44,Pigment Cell & Melanoma Research
5,4.122,SCI REP-UK,156,1,8,15,13,14,7,10,10,10,10,58,Pigment Cell & Melanoma Research
6,2.766,PLOS ONE,127,2,8,11,11,10,13,10,4,5,7,46,Pigment Cell & Melanoma Research
7,3.687,INT J MOL SCI,67,0,1,8,5,8,3,6,2,2,3,29,Pigment Cell & Melanoma Research
8,2.608,EXP DERMATOL,63,0,4,2,13,4,9,7,3,4,3,14,Pigment Cell & Melanoma Research
9,6.448,J INVEST DERMATOL,63,0,2,11,4,6,7,5,6,2,4,16,Pigment Cell & Melanoma Research
10,6.854,ONCOGENE,63,0,3,9,6,5,6,10,12,0,3,9,Pigment Cell & Melanoma Research
11,3.214,DERMATOL CLIN,48,1,1,7,5,5,5,2,1,2,2,17,Pigment Cell & Melanoma Research
12,4.263,LAB INVEST,46,0,3,5,5,10,2,6,5,0,3,7,Pigment Cell & Melanoma Research
13,3.135,MELANOMA RES,46,0,4,7,4,5,4,4,7,6,3,2,Pigment Cell & Melanoma Research
14,6.129,BRIT J DERMATOL,41,1,1,2,6,2,3,2,3,0,4,17,Pigment Cell & Melanoma Research
15,6.898,J AM ACAD DERMATOL,37,0,0,1,6,5,5,5,2,1,0,12,Pigment Cell & Melanoma Research
16,2.148,ARCH DERMATOL RES,31,0,1,0,2,2,2,3,2,0,2,17,Pigment Cell & Melanoma Research
17,6.537,CANCER-AM CANCER SOC,31,0,6,6,3,0,1,3,6,2,3,1,Pigment Cell & Melanoma Research
18,3.675,J DERMATOL SCI,31,1,1,2,3,4,1,1,0,1,2,15,Pigment Cell & Melanoma Research
19,2.214,PHOTOCHEM PHOTOBIOL,26,0,0,0,4,0,1,2,1,5,3,10,Pigment Cell & Melanoma Research
20,10.199,CLIN CANCER RES,24,0,3,4,1,1,2,4,5,0,1,3,Pigment Cell & Melanoma Research
21,2.583,BIOMED RES INT,23,0,0,5,0,0,3,1,3,0,1,10,Pigment Cell & Melanoma Research
22,6.491,CANCER LETT,22,0,5,1,2,2,2,3,2,0,3,2,Pigment Cell & Melanoma Research
23,12.353,NAT COMMUN,21,1,3,3,1,2,2,1,1,0,1,6,Pigment Cell & Melanoma Research
24,9.504,P NATL ACAD SCI USA,21,1,1,2,2,1,1,3,0,2,0,8,Pigment Cell & Melanoma Research
25,2.118,PEERJ,21,1,2,1,1,3,1,0,0,0,2,10,Pigment Cell & Melanoma Research
26,3.730,BMC GENOMICS,19,0,1,1,2,1,1,0,0,0,1,12,Pigment Cell & Melanoma Research
27,6.081,CANCER METAST REV,19,0,4,3,2,1,3,2,2,1,0,1,Pigment Cell & Melanoma Research
28,3.487,CELL SIGNAL,19,0,0,0,0,2,2,5,1,1,1,7,Pigment Cell & Melanoma Research
29,14.163,PROG NEUROBIOL,19,0,0,0,0,2,2,0,0,1,1,13,Pigment Cell & Melanoma Research
30,5.108,BBA-MOL BASIS DIS,17,0,0,3,4,1,1,0,1,2,0,5,Pigment Cell & Melanoma Research
31,2.559,BIOCHEM BIOPH RES CO,17,1,0,3,1,1,1,1,0,0,0,9,Pigment Cell & Melanoma Research
32,8.290,MED RES REV,17,0,0,1,1,1,1,3,0,0,2,8,Pigment Cell & Melanoma Research
33,5.365,MOL CANCER THER,17,0,2,4,1,0,3,2,1,0,2,2,Pigment Cell & Melanoma Research
34,3.018,AM J CLIN DERMATOL,16,0,2,5,3,1,1,0,2,0,0,2,Pigment Cell & Melanoma Research
35,8.032,CELL REP,16,0,3,0,2,2,2,1,1,0,2,3,Pigment Cell & Melanoma Research
36,3.909,INT J BIOL MACROMOL,16,0,1,0,2,1,0,3,0,3,0,6,Pigment Cell & Melanoma Research
37,2.788,J DERMATOL,16,0,0,0,4,1,3,2,1,0,0,5,Pigment Cell & Melanoma Research
38,6.131,MOL ECOL,16,0,0,3,3,0,0,2,1,0,1,6,Pigment Cell & Melanoma Research
39,3.288,BMC CANCER,15,0,2,0,3,1,1,3,3,0,0,2,Pigment Cell & Melanoma Research
40,9.130,CANCER RES,15,0,0,5,2,2,2,2,1,1,0,0,Pigment Cell & Melanoma Research
41,1.664,ONCOL LETT,15,0,1,2,2,2,2,2,1,2,0,1,Pigment Cell & Melanoma Research
42,3.457,BIOMED PHARMACOTHER,14,0,0,0,0,0,2,0,1,1,2,8,Pigment Cell & Melanoma Research
43,,BIOMIMETICS,14,0,0,2,2,1,1,0,0,0,0,8,Pigment Cell & Melanoma Research
44,8.097,ACS APPL MATER INTER,13,0,1,2,0,1,1,0,0,1,1,6,Pigment Cell & Melanoma Research
45,11.100,AUTOPHAGY,13,0,0,0,0,0,0,1,2,3,0,7,Pigment Cell & Melanoma Research
46,2.469,BMC GENET,13,0,1,0,0,0,0,0,3,1,0,8,Pigment Cell & Melanoma Research
47,2.507,DEV DYNAM,13,1,1,0,3,0,1,0,0,3,1,3,Pigment Cell & Melanoma Research
48,1.735,FISH PHYSIOL BIOCHEM,13,0,0,1,1,0,0,0,1,2,0,8,Pigment Cell & Melanoma Research
49,5.511,FRONT IMMUNOL,13,0,2,1,0,1,3,2,0,0,0,4,Pigment Cell & Melanoma Research
50,9.462,GENE DEV,13,0,1,1,0,1,1,0,3,1,2,3,Pigment Cell & Melanoma Research
51,4.379,MAR DRUGS,13,0,0,0,1,0,1,2,0,0,0,9,Pigment Cell & Melanoma Research
52,4.597,MOL CANCER RES,13,0,1,3,2,1,0,1,1,2,0,2,Pigment Cell & Melanoma Research
53,3.098,MOLECULES,13,0,0,1,0,0,2,0,1,1,0,8,Pigment Cell & Melanoma Research
54,1.865,ANTICANCER RES,12,0,0,3,0,2,1,0,3,1,0,2,Pigment Cell & Melanoma Research
55,2.897,BIOMED MATER,12,0,0,0,0,0,0,0,1,0,0,11,Pigment Cell & Melanoma Research
56,3.519,CANCER J,12,0,6,6,0,0,0,0,0,0,0,0,Pigment Cell & Melanoma Research
57,2.258,COMP BIOCHEM PHYS A,12,0,0,3,0,0,0,0,0,1,1,7,Pigment Cell & Melanoma Research
58,4.151,FRONT GENET,12,1,1,1,1,0,0,0,0,1,2,5,Pigment Cell & Melanoma Research
59,2.229,INDIAN J DERMATOL VE,12,0,0,0,0,1,2,0,0,0,1,8,Pigment Cell & Melanoma Research
60,2.784,INT J MOL MED,12,0,0,0,0,0,0,2,1,2,1,6,Pigment Cell & Melanoma Research
61,0.569,J OCEAN U CHINA,12,0,0,1,0,1,0,1,0,0,0,9,Pigment Cell & Melanoma Research
62,1.485,J PHYS SOC JPN,12,0,0,1,6,0,0,0,0,0,0,5,Pigment Cell & Melanoma Research
63,41.577,NATURE,12,0,0,1,1,3,1,0,1,1,0,4,Pigment Cell & Melanoma Research
64,5.922,BRIT J CANCER,11,0,2,2,2,0,0,3,2,0,0,0,Pigment Cell & Melanoma Research
65,3.432,CHEM RES TOXICOL,11,1,2,1,4,0,0,0,1,0,1,1,Pigment Cell & Melanoma Research
66,3.469,CURR MED CHEM,11,0,1,2,2,1,0,0,1,2,2,0,Pigment Cell & Melanoma Research
67,1.958,DERMATOLOGY,11,0,1,3,4,0,0,1,0,0,1,1,Pigment Cell & Melanoma Research
68,6.848,DRUG DISCOV TODAY,11,0,0,0,0,0,1,2,1,0,0,7,Pigment Cell & Melanoma Research
69,2.340,ECOL EVOL,11,1,0,0,0,1,1,0,1,0,0,7,Pigment Cell & Melanoma Research
70,1.777,INT J COSMETIC SCI,11,0,0,1,1,0,0,2,0,0,0,7,Pigment Cell & Melanoma Research
71,1.541,INT J DERMATOL,11,0,0,1,0,1,1,3,1,0,1,3,Pigment Cell & Melanoma Research
72,13.258,J ALLERGY CLIN IMMUN,11,0,0,1,3,1,2,0,1,0,0,3,Pigment Cell & Melanoma Research
73,1.922,MOL MED REP,11,0,0,1,2,0,2,0,1,0,0,5,Pigment Cell & Melanoma Research
74,5.666,PHILOS T R SOC B,11,0,1,1,0,0,1,1,0,2,1,4,Pigment Cell & Melanoma Research
75,1.974,SKIN PHARMACOL PHYS,11,0,0,1,0,1,0,0,2,0,1,6,Pigment Cell & Melanoma Research
76,2.217,BIOL OPEN,10,0,0,0,0,3,0,2,0,0,1,4,Pigment Cell & Melanoma Research
77,5.738,BIOMACROMOLECULES,10,0,0,0,1,1,0,0,0,0,1,7,Pigment Cell & Melanoma Research
78,4.019,FRONT MICROBIOL,10,0,0,0,1,1,0,0,1,0,1,6,Pigment Cell & Melanoma Research
79,2.498,GENE,10,0,0,0,0,0,0,0,0,2,0,8,Pigment Cell & Melanoma Research
80,7.360,INT J CANCER,10,0,3,1,2,2,1,0,0,0,1,0,Pigment Cell & Melanoma Research
81,0.833,INT J CLIN EXP MED,10,0,0,0,3,2,1,0,1,0,1,2,Pigment Cell & Melanoma Research
82,4.287,J EUR ACAD DERMATOL,10,0,1,0,1,0,1,1,2,0,1,3,Pigment Cell & Melanoma Research
83,2.028,MEDICINE,10,1,1,2,1,0,0,1,2,1,1,0,Pigment Cell & Melanoma Research
84,2.976,ONCOL REP,10,1,1,0,3,1,0,2,1,0,0,1,Pigment Cell & Melanoma Research
85,4.897,PHARMACOL RES,10,0,2,0,2,0,0,1,3,0,0,2,Pigment Cell & Melanoma Research
86,5.540,PLOS GENET,10,0,1,2,1,2,1,0,2,1,0,0,Pigment Cell & Melanoma Research
87,3.127,ACTA DERM-VENEREOL,9,0,1,0,2,2,0,1,0,0,2,1,Pigment Cell & Melanoma Research
88,1.841,ANIM GENET,9,0,0,0,1,1,1,1,0,1,2,2,Pigment Cell & Melanoma Research
89,9.188,CANCER IMMUNOL RES,9,0,0,3,1,0,4,0,1,0,0,0,Pigment Cell & Melanoma Research
90,4.495,CRIT REV ONCOL HEMAT,9,0,0,1,0,1,0,2,0,1,0,4,Pigment Cell & Melanoma Research
91,3.185,FISH SHELLFISH IMMUN,9,0,0,0,0,0,0,0,0,0,0,9,Pigment Cell & Melanoma Research
