,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,2400,35,223,291,236,196,192,136,121,122,93,755,Pigment Cell & Melanoma Research
2, ,ALL OTHERS (358),358,4,41,41,34,33,17,22,22,21,10,113,Pigment Cell & Melanoma Research
3,6.115,PIGM CELL MELANOMA R,157,2,13,20,20,12,7,12,13,8,6,44,Pigment Cell & Melanoma Research
4,6.448,J INVEST DERMATOL,90,2,6,10,7,14,3,3,0,1,6,38,Pigment Cell & Melanoma Research
5,41.577,NATURE,79,1,5,7,11,4,9,8,6,2,1,25,Pigment Cell & Melanoma Research
6,79.260,NEW ENGL J MED,67,0,1,21,16,2,7,8,6,0,1,5,Pigment Cell & Melanoma Research
7,9.130,CANCER RES,54,0,6,5,1,3,2,7,2,4,5,19,Pigment Cell & Melanoma Research
8,31.398,CELL,53,0,2,15,1,4,10,3,0,1,0,17,Pigment Cell & Melanoma Research
9,9.504,P NATL ACAD SCI USA,52,0,4,1,0,6,2,1,2,2,4,30,Pigment Cell & Melanoma Research
10,2.766,PLOS ONE,50,1,3,11,7,10,10,2,2,4,0,0,Pigment Cell & Melanoma Research
11,4.011,J BIOL CHEM,48,0,0,0,1,2,4,0,2,3,3,33,Pigment Cell & Melanoma Research
12,27.125,NAT GENET,43,0,1,5,3,0,3,4,0,3,1,23,Pigment Cell & Melanoma Research
13,41.058,SCIENCE,41,0,6,7,4,5,0,2,3,0,1,13,Pigment Cell & Melanoma Research
14,26.360,J CLIN ONCOL,38,2,0,7,1,2,6,2,1,4,1,12,Pigment Cell & Melanoma Research
15,6.129,BRIT J DERMATOL,36,0,4,3,4,5,3,2,3,1,0,11,Pigment Cell & Melanoma Research
16,6.854,ONCOGENE,32,0,3,2,4,0,2,3,4,1,2,11,Pigment Cell & Melanoma Research
17,5.413,DEVELOPMENT,31,0,0,3,0,1,3,1,0,0,0,23,Pigment Cell & Melanoma Research
18,12.353,NAT COMMUN,26,1,7,8,8,0,2,0,0,0,0,0,Pigment Cell & Melanoma Research
19,6.898,J AM ACAD DERMATOL,24,2,2,4,1,2,0,3,0,0,0,10,Pigment Cell & Melanoma Research
20,42.784,NAT REV CANCER,24,0,4,1,3,2,2,2,2,2,3,3,Pigment Cell & Melanoma Research
21,7.360,INT J CANCER,23,0,3,6,2,1,2,0,0,1,3,5,Pigment Cell & Melanoma Research
22, ,ONCOTARGET,23,1,12,8,2,0,0,0,0,0,0,0,Pigment Cell & Melanoma Research
23,7.191,EUR J CANCER,22,0,3,2,1,3,1,1,0,4,0,7,Pigment Cell & Melanoma Research
24,22.844,CANCER CELL,20,0,1,5,2,5,0,0,2,3,1,1,Pigment Cell & Melanoma Research
25,10.199,CLIN CANCER RES,20,0,2,0,2,3,5,1,4,0,0,3,Pigment Cell & Melanoma Research
26,3.135,MELANOMA RES,20,0,3,2,2,2,2,0,0,0,0,9,Pigment Cell & Melanoma Research
27,24.373,CANCER DISCOV,17,0,2,1,4,7,3,0,0,0,0,0,Pigment Cell & Melanoma Research
28,8.855,AM J HUM GENET,16,0,1,1,0,1,1,1,0,2,1,8,Pigment Cell & Melanoma Research
29, ,ARCH DERMATOL,16,0,0,0,0,0,1,0,0,1,1,13,Pigment Cell & Melanoma Research
30,36.421,LANCET ONCOL,16,2,4,3,4,1,1,0,1,0,0,0,Pigment Cell & Melanoma Research
31,6.537,CANCER-AM CANCER SOC,15,0,1,2,0,1,1,0,2,1,2,5,Pigment Cell & Melanoma Research
32,9.462,GENE DEV,14,1,0,0,1,0,2,0,3,0,0,7,Pigment Cell & Melanoma Research
33,53.254,LANCET,14,0,0,2,2,0,4,0,0,0,1,5,Pigment Cell & Melanoma Research
34,32.621,NAT MED,14,0,2,0,1,2,6,1,1,0,0,1,Pigment Cell & Melanoma Research
35,5.540,PLOS GENET,14,1,0,0,3,1,1,3,2,0,2,1,Pigment Cell & Melanoma Research
36,13.251,J CLIN INVEST,13,0,1,0,0,3,2,2,0,1,0,4,Pigment Cell & Melanoma Research
37,11.561,NUCLEIC ACIDS RES,13,1,2,2,1,0,2,1,0,3,0,1,Pigment Cell & Melanoma Research
38,3.262,DEV BIOL,12,0,0,0,0,0,1,2,1,0,0,8,Pigment Cell & Melanoma Research
39,13.930,ANN ONCOL,11,0,1,2,2,1,0,1,0,1,2,1,Pigment Cell & Melanoma Research
40,5.365,MOL CANCER THER,11,0,1,0,4,1,3,1,1,0,0,0,Pigment Cell & Melanoma Research
41,4.069,AM J PATHOL,10,0,0,0,0,1,0,1,0,1,0,7,Pigment Cell & Melanoma Research
42,3.288,BMC CANCER,10,0,0,2,1,2,2,2,1,0,0,0,Pigment Cell & Melanoma Research
43,2.608,EXP DERMATOL,10,0,1,4,2,0,0,0,2,1,0,0,Pigment Cell & Melanoma Research
44,4.902,HUM MOL GENET,10,0,0,2,0,0,1,1,0,1,0,5,Pigment Cell & Melanoma Research
45,3.562,INSECT BIOCHEM MOLEC,10,0,0,0,0,0,1,0,1,0,1,7,Pigment Cell & Melanoma Research
46,35.612,NAT REV MOL CELL BIO,10,0,0,0,1,0,1,2,1,0,3,2,Pigment Cell & Melanoma Research
47,15.132,BLOOD,9,0,1,1,0,1,0,1,0,0,0,5,Pigment Cell & Melanoma Research
48,5.922,BRIT J CANCER,9,0,0,1,1,2,1,1,0,0,1,2,Pigment Cell & Melanoma Research
49,2.913,DEV COMP IMMUNOL,9,0,3,0,3,0,1,1,0,0,0,1,Pigment Cell & Melanoma Research
50,11.238,JNCI-J NATL CANCER I,9,0,0,1,2,0,0,0,0,2,0,4,Pigment Cell & Melanoma Research
51,19.064,NAT CELL BIOL,9,1,1,1,0,0,3,0,0,0,2,1,Pigment Cell & Melanoma Research
52,2.559,BIOCHEM BIOPH RES CO,8,0,0,0,2,1,0,0,0,2,0,3,Pigment Cell & Melanoma Research
53,5.481,BIOINFORMATICS,8,0,1,1,0,2,0,1,0,2,0,1,Pigment Cell & Melanoma Research
54,8.784,J CELL BIOL,8,0,2,2,0,2,0,1,0,0,0,1,Pigment Cell & Melanoma Research
55,4.401,J CELL SCI,8,0,0,0,0,0,1,0,3,0,0,4,Pigment Cell & Melanoma Research
56,14.248,MOL CELL,8,0,3,1,2,1,0,0,0,0,0,1,Pigment Cell & Melanoma Research
57,4.122,SCI REP-UK,8,0,2,6,0,0,0,0,0,0,0,0,Pigment Cell & Melanoma Research
58,3.309,EXP CELL RES,7,0,0,2,0,0,0,0,0,0,0,5,Pigment Cell & Melanoma Research
59,5.595,FASEB J,7,0,0,0,0,1,1,0,1,0,1,3,Pigment Cell & Melanoma Research
60,4.416,FRONT ONCOL,7,0,0,3,1,1,2,0,0,0,0,0,Pigment Cell & Melanoma Research
61,13.214,GENOME BIOL,7,0,1,0,1,1,1,0,1,0,0,2,Pigment Cell & Melanoma Research
62,10.790,J EXP MED,7,0,3,0,1,0,0,0,0,0,1,2,Pigment Cell & Melanoma Research
63,4.197,J TRANSL MED,7,0,1,2,0,1,1,1,0,0,0,1,Pigment Cell & Melanoma Research
64,1.938,PHOTODERMATOL PHOTO,7,0,0,0,2,0,0,1,0,2,0,2,Pigment Cell & Melanoma Research
65,1.865,ANTICANCER RES,6,0,1,1,1,0,2,0,0,1,0,0,Pigment Cell & Melanoma Research
