Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"4,430",6.115,5.823,4.833,1.119,42,7.4,6.2,0.008,1.585,85.71,0.91500,85.59500,Pigment Cell & Melanoma Research
2016,"3,903",5.170,4.823,4.707,0.842,57,6.5,6.6,0.00798,1.476,80.70,0.91577,83.46200,Pigment Cell & Melanoma Research
2015,"4,059",4.163,3.842,4.739,1.339,56,6.6,6.6,0.00987,1.704,78.57,1.12504,77.34700,Pigment Cell & Melanoma Research
2014,"3,873",4.619,4.135,5.055,0.736,91,6.4,6.8,0.00891,1.612,87.91,0.99747,82.69900,Pigment Cell & Melanoma Research
2013,"3,649",5.641,5.063,5.479,0.920,87,6.2,6.0,0.0104,1.994,88.51,1.14632,87.17100,Pigment Cell & Melanoma Research
2012,"3,385",5.839,5.167,5.434,1.397,68,6.2,5.6,0.00995,1.992,89.71,Not Available,87.73200,Pigment Cell & Melanoma Research
2011,"2,854",5.059,4.168,5.106,1.135,74,6.0,6.0,0.0089,1.839,78.38,Not Available,84.48100,Pigment Cell & Melanoma Research
2010,"2,492",4.750,3.916,4.644,1.270,63,6.0,6.2,0.00797,1.623,80.95,Not Available,83.60800,Pigment Cell & Melanoma Research
2009,"2,362",4.344,3.688,4.106,0.673,55,6.1,5.9,0.00773,1.361,69.09,Not Available,81.80900,Pigment Cell & Melanoma Research
2008,"2,114",4.634,4.032,4.066,0.904,52,5.4,5.7,0.00905,1.356,76.92,Not Available,85.03900,Pigment Cell & Melanoma Research
