,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,2363,126,272,519,395,322,179,249,298,0,0,3,Protein & Cell
2,,ALL OTHERS (600),600,31,56,144,87,76,44,67,93,0,0,2,Protein & Cell
3,4.122,SCI REP-UK,100,3,6,19,20,18,8,15,11,0,0,0,Protein & Cell
4,,ONCOTARGET,67,3,7,8,14,10,4,7,14,0,0,0,Protein & Cell
5,2.766,PLOS ONE,50,0,2,12,9,12,3,6,6,0,0,0,Protein & Cell
6,6.228,PROTEIN CELL,42,10,11,9,3,6,2,0,1,0,0,0,Protein & Cell
7,3.687,INT J MOL SCI,31,1,6,7,3,7,1,3,3,0,0,0,Protein & Cell
8,5.511,FRONT IMMUNOL,25,2,2,1,5,9,1,2,3,0,0,0,Protein & Cell
9,4.019,FRONT MICROBIOL,21,0,3,10,3,1,1,2,1,0,0,0,Protein & Cell
10,12.353,NAT COMMUN,20,2,4,3,4,2,0,1,4,0,0,0,Protein & Cell
11,2.559,BIOCHEM BIOPH RES CO,18,0,6,2,1,4,1,3,1,0,0,0,Protein & Cell
12,4.011,J BIOL CHEM,18,1,0,4,1,3,4,2,3,0,0,0,Protein & Cell
13,4.368,J VIROL,18,0,3,3,1,6,3,0,2,0,0,0,Protein & Cell
14,9.504,P NATL ACAD SCI USA,18,0,2,3,4,3,2,0,4,0,0,0,Protein & Cell
15,3.085,SCI CHINA LIFE SCI,17,2,8,2,2,2,0,1,0,0,0,0,Protein & Cell
16,3.457,BIOMED PHARMACOTHER,16,0,1,5,4,3,3,0,0,0,0,0,Protein & Cell
17,2.976,ONCOL REP,16,1,4,5,2,3,1,0,0,0,0,0,Protein & Cell
18,3.520,FRONT CELL INFECT MI,14,4,0,4,3,0,0,1,2,0,0,0,Protein & Cell
19,5.500,CELL PHYSIOL BIOCHEM,12,0,3,2,3,1,2,1,0,0,0,0,Protein & Cell
20,3.677,FRONT PLANT SCI,12,0,0,2,2,1,1,5,1,0,0,0,Protein & Cell
21,41.577,NATURE,12,3,2,5,0,1,0,0,1,0,0,0,Protein & Cell
22,1.664,ONCOL LETT,12,0,3,2,6,0,0,1,0,0,0,0,Protein & Cell
23,3.902,FRONT MOL NEUROSCI,11,0,2,3,1,2,3,0,0,0,0,0,Protein & Cell
24,1.396,INT J CLIN EXP PATHO,11,0,3,2,1,2,1,0,2,0,0,0,Protein & Cell
