,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,4664,113,510,505,476,428,268,300,300,225,178,1361,Protein & Cell
2, ,ALL OTHERS (565),565,10,58,74,65,41,39,30,23,24,23,178,Protein & Cell
3,41.577,NATURE,251,8,29,23,16,24,21,29,9,11,10,71,Protein & Cell
4,31.398,CELL,184,4,25,20,28,23,6,8,11,10,4,45,Protein & Cell
5,9.504,P NATL ACAD SCI USA,155,2,11,8,11,9,11,9,19,12,11,52,Protein & Cell
6,4.011,J BIOL CHEM,154,1,3,5,9,9,7,9,11,3,5,92,Protein & Cell
7,41.058,SCIENCE,146,0,17,18,19,14,5,10,7,10,2,44,Protein & Cell
8,15.132,BLOOD,83,1,9,10,6,8,7,9,5,2,4,22,Protein & Cell
9,35.724,NAT BIOTECHNOL,70,11,6,13,10,13,0,4,1,1,4,7,Protein & Cell
10,23.290,CELL STEM CELL,69,3,17,6,15,9,2,5,5,4,3,0,Protein & Cell
11,21.809,NAT IMMUNOL,66,0,11,7,1,9,5,12,2,7,3,9,Protein & Cell
12,2.766,PLOS ONE,66,0,4,9,6,18,11,8,7,2,0,1,Protein & Cell
13,19.734,IMMUNITY,64,0,7,5,11,10,13,1,2,4,2,9,Protein & Cell
14,10.790,J EXP MED,62,0,1,4,5,6,4,1,8,5,3,25,Protein & Cell
15,4.539,J IMMUNOL,55,0,1,3,2,4,0,8,4,3,1,29,Protein & Cell
16,9.130,CANCER RES,49,0,3,8,1,2,1,4,8,0,2,20,Protein & Cell
17,6.228,PROTEIN CELL,42,10,11,9,3,6,2,0,1,0,0,0,Protein & Cell
18,32.621,NAT MED,40,1,7,3,3,6,2,2,1,3,2,10,Protein & Cell
19,79.260,NEW ENGL J MED,40,0,3,2,7,3,1,5,6,8,0,5,Protein & Cell
20,12.353,NAT COMMUN,37,2,13,9,10,1,1,0,1,0,0,0,Protein & Cell
21,4.122,SCI REP-UK,37,2,19,9,3,4,0,0,0,0,0,0,Protein & Cell
22,10.557,EMBO J,33,0,1,0,3,3,1,1,4,1,3,16,Protein & Cell
23,14.248,MOL CELL,33,0,1,2,5,3,2,2,2,3,1,12,Protein & Cell
24,16.710,SCI TRANSL MED,33,2,6,5,4,9,4,3,0,0,0,0,Protein & Cell
25,15.393,CELL RES,32,6,7,3,5,5,0,5,1,0,0,0,Protein & Cell
26,5.971,J NEUROSCI,32,0,1,0,1,2,2,3,1,1,7,14,Protein & Cell
27,20.565,CELL METAB,29,6,4,1,3,3,3,5,2,1,0,1,Protein & Cell
28,13.251,J CLIN INVEST,29,0,5,0,1,2,5,2,1,0,0,13,Protein & Cell
29,26.919,NAT METHODS,28,1,4,7,3,9,1,3,0,0,0,0,Protein & Cell
30,14.319,NEURON,28,0,2,0,2,2,1,1,1,0,1,18,Protein & Cell
31,11.561,NUCLEIC ACIDS RES,28,0,6,1,3,4,4,3,0,0,0,7,Protein & Cell
32,10.199,CLIN CANCER RES,25,5,2,5,3,3,1,0,1,0,1,4,Protein & Cell
33,8.032,CELL REP,24,0,5,10,8,1,0,0,0,0,0,0,Protein & Cell
34,3.813,MOL CELL BIOL,24,0,0,2,1,1,0,1,0,2,1,16,Protein & Cell
35,7.008,MOL THER,24,1,5,2,0,2,0,3,5,0,0,6,Protein & Cell
36,19.064,NAT CELL BIOL,24,0,3,3,2,3,1,3,0,1,2,6,Protein & Cell
37,41.982,NAT REV IMMUNOL,24,0,1,3,5,6,1,1,0,3,1,3,Protein & Cell
38,7.616,ELIFE,23,0,7,3,11,2,0,0,0,0,0,0,Protein & Cell
39,15.211,CIRC RES,22,2,0,3,1,0,5,2,1,2,1,5,Protein & Cell
40,9.251,CURR BIOL,22,0,1,3,2,4,3,0,1,0,0,8,Protein & Cell
41,9.462,GENE DEV,22,0,1,2,0,4,0,1,6,0,1,7,Protein & Cell
42,35.612,NAT REV MOL CELL BIO,22,0,3,1,2,2,1,0,1,2,0,10,Protein & Cell
43,2.559,BIOCHEM BIOPH RES CO,21,0,0,3,0,2,0,2,1,1,3,9,Protein & Cell
44,22.844,CANCER CELL,21,0,3,8,1,1,0,0,2,3,0,3,Protein & Cell
45,5.413,DEVELOPMENT,21,2,3,0,3,4,0,3,2,0,0,4,Protein & Cell
46,8.784,J CELL BIOL,21,0,3,2,0,1,1,0,0,0,1,13,Protein & Cell
47,14.079,HEPATOLOGY,20,0,3,6,1,0,1,1,4,0,3,1,Protein & Cell
48,13.333,NAT STRUCT MOL BIOL,20,3,2,0,2,1,2,2,1,1,1,5,Protein & Cell
49,6.854,ONCOGENE,20,1,0,0,2,0,1,0,1,0,2,13,Protein & Cell
50,4.368,J VIROL,19,0,0,1,0,3,0,3,0,1,1,10,Protein & Cell
51,5.236,MOL CELL PROTEOMICS,19,0,0,0,1,1,5,6,3,1,2,0,Protein & Cell
52,4.894,J MOL BIOL,18,1,2,0,0,0,1,0,3,1,0,10,Protein & Cell
53,27.125,NAT GENET,16,0,0,0,0,2,0,1,2,2,2,7,Protein & Cell
54,3.857,BIOCHEM J,15,0,2,1,1,1,0,0,0,1,1,8,Protein & Cell
55,26.360,J CLIN ONCOL,15,0,1,3,1,0,0,1,0,0,0,9,Protein & Cell
56,12.423,NAT PROTOC,15,0,0,2,5,0,0,1,3,1,2,1,Protein & Cell
57,42.784,NAT REV CANCER,15,1,1,1,0,1,1,1,3,3,0,3,Protein & Cell
58,41.465,NAT REV GENET,14,0,1,1,2,0,0,1,1,1,1,6,Protein & Cell
59, ,ARTHRITIS RHEUM-US,13,0,0,0,0,0,0,0,0,3,3,7,Protein & Cell
60,2.997,BIOCHEMISTRY-US,13,0,0,0,0,1,1,0,0,1,1,9,Protein & Cell
61,9.188,CANCER IMMUNOL RES,12,0,5,1,3,3,0,0,0,0,0,0,Protein & Cell
62,9.217,IMMUNOL REV,12,0,0,1,4,1,0,0,3,0,0,3,Protein & Cell
63,3.680,J GEN PHYSIOL,12,0,0,1,2,1,2,1,0,0,0,5,Protein & Cell
64,4.505,J LIPID RES,12,0,0,1,0,2,4,1,3,1,0,0,Protein & Cell
65,53.254,LANCET,12,0,2,2,0,0,0,1,1,0,0,6,Protein & Cell
66,19.912,NAT NEUROSCI,12,0,1,0,0,0,1,3,2,0,0,5,Protein & Cell
67,32.635,NAT REV NEUROSCI,12,0,1,0,0,2,1,1,0,1,0,6,Protein & Cell
68,5.587,STEM CELLS,12,0,1,1,1,0,1,1,2,2,3,0,Protein & Cell
69,3.300,WORLD J GASTROENTERO,12,0,0,5,3,2,0,1,0,0,0,1,Protein & Cell
70,8.855,AM J HUM GENET,11,0,0,0,0,1,5,0,0,1,0,4,Protein & Cell
71,3.309,EXP CELL RES,11,0,1,1,0,0,1,0,0,4,0,4,Protein & Cell
72,2.999,FEBS LETT,11,0,0,0,2,0,0,0,1,0,1,7,Protein & Cell
73,13.258,J ALLERGY CLIN IMMUN,11,0,0,0,6,1,0,0,2,0,0,2,Protein & Cell
74,4.401,J CELL SCI,11,0,0,0,0,1,0,1,1,0,1,7,Protein & Cell
