,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,645134,6311,29117,36904,32980,37706,30188,33106,29482,32180,31364,345796,SCIENCE
2,,ALL OTHERS (2945),2945,7,48,84,106,107,84,148,100,134,115,2012,SCIENCE
3,4.122,SCI REP-UK,19860,150,716,1009,1018,1174,1013,950,1033,1139,996,10662,SCIENCE
4,2.766,PLOS ONE,9284,50,283,367,401,477,352,418,442,473,444,5577,SCIENCE
5,12.353,NAT COMMUN,8535,89,620,716,651,677,583,504,422,495,439,3339,SCIENCE
6,3.813,PHYS REV B,6524,98,478,796,578,377,552,268,397,395,279,2306,SCIENCE
7,9.504,P NATL ACAD SCI USA,6237,101,370,401,411,400,349,353,300,304,285,2963,SCIENCE
8,8.097,ACS APPL MATER INTER,4278,74,280,407,279,324,276,357,150,232,253,1646,SCIENCE
9,,ONCOTARGET,4091,41,111,223,152,255,131,250,158,204,172,2394,SCIENCE
10,14.357,J AM CHEM SOC,3877,99,415,307,242,269,253,228,184,127,146,1607,SCIENCE
11,9.931,J MATER CHEM A,3425,60,350,432,338,338,222,399,97,167,168,854,SCIENCE
12,2.936,RSC ADV,3340,23,142,177,132,190,165,241,126,203,222,1719,SCIENCE
13,41.058,SCIENCE,3279,542,396,313,245,223,196,161,117,133,122,831,SCIENCE
14,7.616,ELIFE,3142,51,180,200,190,192,202,174,164,167,143,1479,SCIENCE
15,21.950,ADV MATER,3073,27,284,400,244,267,231,243,105,186,170,916,SCIENCE
16,12.102,ANGEW CHEM INT EDIT,3069,64,321,237,200,212,245,203,142,144,126,1175,SCIENCE
17,2.909,PHYS REV A,2950,41,268,274,245,249,156,169,202,125,251,970,SCIENCE
18,3.906,PHYS CHEM CHEM PHYS,2898,31,114,166,154,158,146,138,116,147,203,1525,SCIENCE
19,4.484,J PHYS CHEM C,2820,43,150,209,195,199,139,178,86,149,180,1292,SCIENCE
20,8.839,PHYS REV LETT,2755,56,253,324,215,228,207,163,130,151,124,904,SCIENCE
21,41.577,NATURE,2575,100,322,294,254,205,204,132,117,109,87,751,SCIENCE
22,7.233,NANOSCALE,2530,33,158,213,153,177,155,160,118,149,171,1043,SCIENCE
23,5.511,FRONT IMMUNOL,2514,55,169,199,111,171,101,159,107,111,75,1256,SCIENCE
24,13.709,ACS NANO,2394,38,171,229,159,175,158,148,100,161,124,931,SCIENCE
25,4.019,FRONT MICROBIOL,2295,35,123,150,101,95,149,122,109,112,128,1171,SCIENCE
26,3.687,INT J MOL SCI,2237,21,63,74,67,112,95,95,119,96,97,1398,SCIENCE
27,11.561,NUCLEIC ACIDS RES,2194,23,125,139,124,145,154,101,131,141,99,1012,SCIENCE
28,12.080,NANO LETT,2124,17,183,248,176,207,153,121,106,133,82,698,SCIENCE
29,11.511,SCI ADV,2045,26,165,186,170,175,155,104,109,105,80,770,SCIENCE
30,3.677,FRONT PLANT SCI,1969,18,60,40,143,91,83,69,126,171,115,1053,SCIENCE
31,4.011,J BIOL CHEM,1935,23,71,96,55,131,91,77,89,97,86,1119,SCIENCE
32,6.290,CHEM COMMUN,1910,37,135,140,118,157,122,147,87,86,68,813,SCIENCE
33,8.032,CELL REP,1902,23,123,132,126,165,107,100,95,114,92,825,SCIENCE
34,4.339,GEOPHYS RES LETT,1875,49,146,106,100,152,75,90,76,66,99,916,SCIENCE
35,5.551,ASTROPHYS J,1863,27,79,136,145,237,119,140,115,140,73,652,SCIENCE
36,3.495,APPL PHYS LETT,1849,15,84,123,78,154,138,82,98,118,124,835,SCIENCE
37,5.160,CHEM-EUR J,1711,21,93,106,79,116,117,101,74,89,70,845,SCIENCE
38,3.356,OPT EXPRESS,1572,16,95,86,100,143,99,154,62,62,110,645,SCIENCE
39,5.194,MON NOT R ASTRON SOC,1536,14,50,103,106,149,150,151,130,55,96,532,SCIENCE
40,2.843,J CHEM PHYS,1531,16,50,47,67,70,80,80,62,59,96,904,SCIENCE
41,5.971,J NEUROSCI,1527,9,49,42,63,68,57,43,66,62,81,987,SCIENCE
42,,PROC SPIE,1514,13,48,77,61,92,106,75,77,53,106,806,SCIENCE
43,52.613,CHEM REV,1488,14,80,83,83,78,75,71,61,68,71,804,SCIENCE
44,9.890,CHEM MATER,1448,18,135,159,95,124,70,85,49,74,82,557,SCIENCE
45,31.398,CELL,1430,41,203,174,111,114,75,63,52,72,47,478,SCIENCE
46,3.779,J ALLOY COMPD,1406,4,48,68,63,51,41,123,53,76,145,734,SCIENCE
47,11.384,ACS CATAL,1339,37,133,88,141,86,96,114,91,74,70,409,SCIENCE
48,8.709,J PHYS CHEM LETT,1327,43,154,165,100,129,72,61,56,40,54,453,SCIENCE
49,,METHOD MOL BIOL,1322,0,12,49,64,60,72,55,50,72,68,820,SCIENCE
50,4.581,EARTH PLANET SC LETT,1316,10,42,55,91,77,90,62,52,68,91,678,SCIENCE
51,13.325,ADV FUNCT MATER,1280,12,87,135,84,114,91,100,53,82,66,456,SCIENCE
52,7.082,CARBON,1254,5,65,56,44,73,49,96,64,161,150,491,SCIENCE
53,5.976,J MATER CHEM C,1246,18,101,155,57,100,65,58,33,56,73,530,SCIENCE
54,2.981,ICARUS,1245,4,93,90,50,82,43,47,71,53,41,671,SCIENCE
55,4.610,SCI TOTAL ENVIRON,1238,1,32,44,41,73,60,60,77,72,102,676,SCIENCE
56,9.063,CHEM SCI,1236,10,87,86,98,97,77,79,45,49,51,557,SCIENCE
57,2.284,PHYS REV E,1234,6,51,42,45,67,59,52,56,69,32,755,SCIENCE
58,5.666,PHILOS T R SOC B,1223,5,50,80,72,74,55,62,52,59,52,662,SCIENCE
59,14.319,NEURON,1221,17,81,68,84,63,48,48,61,45,65,641,SCIENCE
60,4.368,J VIROL,1174,11,80,66,67,131,46,41,63,69,24,576,SCIENCE
61,4.439,APPL SURF SCI,1173,3,26,62,48,67,58,85,42,85,76,621,SCIENCE
62,9.251,CURR BIOL,1166,52,61,92,80,59,81,70,61,49,55,506,SCIENCE
63,40.182,CHEM SOC REV,1147,25,68,66,76,76,64,82,55,64,49,522,SCIENCE
64,9.598,SMALL,1138,6,67,108,76,104,78,95,39,83,59,423,SCIENCE
65,3.789,LANGMUIR,1133,5,19,50,41,41,56,33,35,41,42,770,SCIENCE
66,3.730,BMC GENOMICS,1116,2,33,61,75,55,54,44,69,71,70,582,SCIENCE
67,4.690,GEOCHIM COSMOCHIM AC,1111,4,20,31,48,38,94,58,37,51,57,673,SCIENCE
68,5.540,PLOS GENET,1109,12,43,70,62,68,93,59,70,58,57,517,SCIENCE
69,8.997,GLOBAL CHANGE BIOL,1105,3,48,86,41,71,28,107,81,67,100,473,SCIENCE
70,2.340,ECOL EVOL,1097,7,28,49,67,52,33,71,60,47,56,627,SCIENCE
71,2.617,J PHYS-CONDENS MAT,1089,7,45,73,68,41,66,47,56,78,53,555,SCIENCE
72,13.120,NANO ENERGY,1084,28,119,142,88,77,56,126,36,46,75,291,SCIENCE
73,2.176,J APPL PHYS,1073,9,27,48,25,66,49,46,50,63,69,621,SCIENCE
74,6.131,MOL ECOL,1039,2,29,71,74,49,46,71,76,68,64,489,SCIENCE
75,21.875,ADV ENERGY MATER,1035,19,141,184,104,92,76,108,32,38,40,201,SCIENCE
76,3.404,NANOTECHNOLOGY,1032,3,33,39,31,58,58,64,48,90,87,521,SCIENCE
77,5.116,ELECTROCHIM ACTA,1030,10,64,88,95,63,55,187,27,61,72,308,SCIENCE
78,4.539,J IMMUNOL,1026,4,55,65,55,94,52,56,49,60,27,509,SCIENCE
79,6.653,ENVIRON SCI TECHNOL,1012,6,55,58,66,76,52,43,48,78,68,462,SCIENCE
80,4.700,INORG CHEM,1007,15,38,44,44,76,58,69,68,36,38,521,SCIENCE
81,3.955,PLOS COMPUT BIOL,1002,4,35,49,58,59,56,50,71,43,64,513,SCIENCE
82,5.509,ATMOS CHEM PHYS,998,4,42,14,28,54,47,46,57,116,60,530,SCIENCE
83,2.559,BIOCHEM BIOPH RES CO,996,4,34,32,34,43,38,35,45,51,42,638,SCIENCE
84,6.158,PLOS PATHOG,974,6,66,54,57,85,55,48,50,54,33,466,SCIENCE
85,14.248,MOL CELL,971,29,112,70,59,95,61,52,52,51,48,342,SCIENCE
86,4.847,P ROY SOC B-BIOL SCI,967,12,30,62,74,54,56,59,41,35,55,489,SCIENCE
87,2.118,PEERJ,967,10,17,57,58,39,36,52,45,37,45,571,SCIENCE
88,4.075,GENETICS,965,7,38,49,41,38,61,46,63,63,59,500,SCIENCE
89,5.565,ASTRON ASTROPHYS,935,4,34,127,83,62,60,60,103,36,36,330,SCIENCE
90,6.042,ANAL CHEM,934,2,25,36,30,36,39,42,29,31,45,619,SCIENCE
91,4.334,QUATERNARY SCI REV,920,5,11,23,33,35,47,40,40,83,32,571,SCIENCE
92,3.482,J GEOPHYS RES-SOL EA,918,10,42,37,48,46,31,35,17,31,68,553,SCIENCE
93,2.373,J PHYS D APPL PHYS,918,8,38,50,55,74,48,61,43,38,61,442,SCIENCE
94,2.163,QUATERN INT,915,0,12,34,46,12,57,45,33,57,51,568,SCIENCE
95,3.146,J PHYS CHEM B,898,3,19,19,23,20,35,38,47,26,28,640,SCIENCE
96,2.375,PALAEOGEOGR PALAEOCL,893,2,3,31,14,20,38,48,43,37,43,614,SCIENCE
97,3.709,SOFT MATTER,867,4,15,43,35,40,51,29,28,48,38,536,SCIENCE
98,5.914,MACROMOLECULES,866,17,31,32,25,33,55,35,23,35,47,533,SCIENCE
99,5.949,PLANT PHYSIOL,863,8,27,15,66,47,48,34,36,73,35,474,SCIENCE
100,4.099,DALTON T,832,14,32,41,41,73,35,63,43,27,51,412,SCIENCE
