,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,36927,2371,4281,3826,3269,2661,2306,1969,1765,1508,1290,11681,SCIENCE
2, ,ALL OTHERS (3808),3808,389,438,301,239,209,194,173,128,133,109,1495,SCIENCE
3,41.058,SCIENCE,3279,542,396,313,245,223,196,161,117,133,122,831,SCIENCE
4,41.577,NATURE,2466,109,286,237,203,180,159,146,148,101,90,807,SCIENCE
5,9.504,P NATL ACAD SCI USA,1311,47,134,132,110,96,88,95,105,72,63,369,SCIENCE
6,8.839,PHYS REV LETT,965,29,72,70,68,63,57,56,48,46,44,412,SCIENCE
7,31.398,CELL,832,45,95,114,76,73,56,38,35,43,24,233,SCIENCE
8,14.357,J AM CHEM SOC,571,16,61,58,49,41,42,39,25,20,21,199,SCIENCE
9,12.353,NAT COMMUN,511,43,136,124,110,58,24,12,4,0,0,0,SCIENCE
10,3.813,PHYS REV B,404,6,45,28,37,15,16,23,16,13,16,189,SCIENCE
11,12.102,ANGEW CHEM INT EDIT,376,13,47,38,40,30,34,27,14,20,16,97,SCIENCE
12,4.011,J BIOL CHEM,301,4,15,12,14,15,20,11,8,14,13,175,SCIENCE
13,2.766,PLOS ONE,284,9,24,33,42,58,48,29,22,12,4,3,SCIENCE
14,14.319,NEURON,248,11,17,33,38,17,21,14,10,17,2,68,SCIENCE
15,5.551,ASTROPHYS J,241,8,25,26,19,41,11,10,6,4,4,87,SCIENCE
16,14.248,MOL CELL,233,13,31,40,26,17,10,14,18,6,9,49,SCIENCE
17,11.561,NUCLEIC ACIDS RES,230,12,29,27,25,11,19,11,11,14,6,65,SCIENCE
18,9.251,CURR BIOL,219,7,33,26,25,16,17,12,18,8,11,46,SCIENCE
19,12.080,NANO LETT,212,13,22,32,31,26,18,15,11,15,8,21,SCIENCE
20,39.235,NAT MATER,205,7,20,30,23,22,22,18,9,12,8,34,SCIENCE
21,22.727,NAT PHYS,192,26,26,26,21,18,13,15,12,9,7,19,SCIENCE
22,19.912,NAT NEUROSCI,183,7,20,19,21,18,13,7,9,8,7,54,SCIENCE
23,5.971,J NEUROSCI,181,1,8,11,21,20,8,9,10,12,4,77,SCIENCE
24,2.909,PHYS REV A,173,4,16,18,12,9,10,15,13,13,4,59,SCIENCE
25,7.616,ELIFE,167,13,52,60,31,11,0,0,0,0,0,0,SCIENCE
26,27.125,NAT GENET,163,5,16,14,20,12,18,14,7,6,3,48,SCIENCE
27,4.339,GEOPHYS RES LETT,160,10,26,18,11,9,8,18,7,8,2,43,SCIENCE
28,5.413,DEVELOPMENT,155,2,6,13,10,9,8,12,7,7,9,72,SCIENCE
29,9.462,GENE DEV,151,4,10,18,11,5,10,12,5,0,4,72,SCIENCE
30,10.557,EMBO J,150,1,3,4,6,8,8,10,4,8,6,92,SCIENCE
31,37.490,NAT NANOTECHNOL,150,14,27,31,22,7,13,8,11,7,3,7,SCIENCE
32,52.613,CHEM REV,146,4,20,16,14,10,20,5,6,1,2,48,SCIENCE
33,4.581,EARTH PLANET SC LETT,146,8,6,9,13,11,12,12,11,6,8,50,SCIENCE
34,4.122,SCI REP-UK,146,9,59,42,12,13,9,2,0,0,0,0,SCIENCE
35,26.919,NAT METHODS,142,11,13,16,20,20,20,6,9,9,7,11,SCIENCE
36,13.333,NAT STRUCT MOL BIOL,137,5,13,17,15,11,5,4,7,7,6,47,SCIENCE
37,21.950,ADV MATER,136,9,33,12,19,15,9,5,5,1,5,23,SCIENCE
38,19.734,IMMUNITY,129,3,14,19,14,16,10,3,7,8,5,30,SCIENCE
39,2.843,J CHEM PHYS,128,3,11,6,7,3,4,3,3,4,6,78,SCIENCE
40,35.724,NAT BIOTECHNOL,122,5,18,17,16,11,8,8,3,6,7,23,SCIENCE
41,4.894,J MOL BIOL,120,4,4,2,8,6,4,8,4,7,4,69,SCIENCE
42,36.367,REV MOD PHYS,119,1,5,14,6,4,10,13,14,7,7,38,SCIENCE
43,79.260,NEW ENGL J MED,118,7,22,23,9,7,9,5,2,11,3,20,SCIENCE
44,35.612,NAT REV MOL CELL BIO,114,5,12,13,5,8,13,6,7,12,9,24,SCIENCE
45,8.784,J CELL BIOL,112,0,2,4,8,6,2,1,5,6,4,74,SCIENCE
46,5.194,MON NOT R ASTRON SOC,111,4,15,20,19,7,6,4,9,4,2,21,SCIENCE
47,26.201,NAT CHEM,110,8,24,10,18,13,6,13,9,9,0,0,SCIENCE
48,3.495,APPL PHYS LETT,108,2,4,12,18,7,4,5,6,6,5,39,SCIENCE
49,32.621,NAT MED,107,5,23,9,12,13,9,3,2,5,4,22,SCIENCE
50,32.521,NAT PHOTONICS,107,7,7,10,19,24,12,8,5,7,5,3,SCIENCE
51,8.032,CELL REP,101,5,31,18,25,14,8,0,0,0,0,0,SCIENCE
52,3.482,J GEOPHYS RES-SOL EA,101,6,12,6,9,6,6,3,5,2,5,41,SCIENCE
53,5.666,PHILOS T R SOC B,100,19,8,13,6,6,3,3,2,4,4,32,SCIENCE
54,2.997,BIOCHEMISTRY-US,96,0,2,10,4,1,3,2,4,4,3,63,SCIENCE
55,5.540,PLOS GENET,95,4,13,7,15,18,12,9,5,5,5,2,SCIENCE
56,19.064,NAT CELL BIOL,94,4,10,11,8,9,5,13,4,3,9,18,SCIENCE
57,13.709,ACS NANO,91,3,20,18,21,9,10,3,3,2,2,0,SCIENCE
58,9.163,PLOS BIOL,90,2,12,9,5,4,7,16,5,3,2,25,SCIENCE
59,4.075,GENETICS,87,1,10,7,4,7,11,0,1,4,5,37,SCIENCE
60,32.635,NAT REV NEUROSCI,87,5,4,4,12,10,2,2,2,3,7,36,SCIENCE
61,40.182,CHEM SOC REV,86,2,10,12,18,3,5,5,9,9,5,8,SCIENCE
62,21.809,NAT IMMUNOL,86,2,14,10,5,10,12,7,4,4,5,13,SCIENCE
63,3.813,MOL CELL BIOL,84,0,1,6,0,10,5,2,2,4,2,52,SCIENCE
64,9.616,DEV CELL,82,5,9,10,7,8,6,2,4,3,9,19,SCIENCE
65,10.101,GENOME RES,81,2,10,8,8,5,14,4,11,8,1,10,SCIENCE
66,10.790,J EXP MED,77,7,7,8,3,3,5,0,13,3,2,26,SCIENCE
67,13.251,J CLIN INVEST,74,3,5,3,11,12,5,11,5,1,2,16,SCIENCE
68,6.290,CHEM COMMUN,73,3,7,10,5,4,7,4,4,0,1,28,SCIENCE
69,30.067,ENERG ENVIRON SCI,73,9,24,15,13,4,4,3,1,0,0,0,SCIENCE
70,41.465,NAT REV GENET,73,0,10,7,8,4,8,3,10,5,2,16,SCIENCE
71,5.481,BIOINFORMATICS,72,2,3,7,8,4,8,5,9,15,2,9,SCIENCE
72,3.219,J BACTERIOL,72,0,3,1,3,3,2,2,7,6,5,40,SCIENCE
73,15.938,TRENDS ECOL EVOL,70,4,8,7,7,4,2,1,8,4,8,17,SCIENCE
74,16.710,SCI TRANSL MED,69,4,17,15,14,3,11,4,1,0,0,0,SCIENCE
75,4.368,J VIROL,68,1,6,8,2,3,3,1,0,6,4,34,SCIENCE
76,11.511,SCI ADV,68,8,34,26,0,0,0,0,0,0,0,0,SCIENCE
77,14.391,NAT GEOSCI,67,5,13,13,7,6,3,6,3,5,6,0,SCIENCE
78,4.847,P ROY SOC B-BIOL SCI,67,1,10,8,9,6,8,2,2,4,1,16,SCIENCE
79,6.634,ASTROPHYS J LETT,65,21,12,4,7,6,4,7,2,2,0,0,SCIENCE
80,6.158,PLOS PATHOG,65,4,4,7,10,9,5,12,6,5,1,2,SCIENCE
81,20.955,ACCOUNTS CHEM RES,64,3,4,10,10,5,2,3,1,0,5,21,SCIENCE
82,5.565,ASTRON ASTROPHYS,64,1,10,10,5,4,2,4,1,2,0,25,SCIENCE
83,53.254,LANCET,63,6,12,5,6,6,6,3,4,1,1,13,SCIENCE
84,2.981,ICARUS,62,2,12,3,2,7,0,5,3,4,3,21,SCIENCE
85,4.539,J IMMUNOL,62,0,2,3,6,4,5,4,9,3,4,22,SCIENCE
86,15.132,BLOOD,61,4,1,1,3,4,5,10,6,6,2,19,SCIENCE
87,19.181,NAT CLIM CHANGE,61,1,23,13,7,10,5,2,0,0,0,0,SCIENCE
88,17.872,CELL HOST MICROBE,60,3,14,9,6,12,2,4,3,1,2,4,SCIENCE
89,4.484,J PHYS CHEM C,60,3,8,13,9,5,6,1,5,1,6,3,SCIENCE
90,8.709,J PHYS CHEM LETT,59,6,9,14,9,7,8,2,4,0,0,0,SCIENCE
91,31.851,NAT REV MICROBIOL,58,3,13,5,4,8,4,4,5,0,7,5,SCIENCE
92,3.495,BIOPHYS J,57,2,3,2,2,2,0,5,3,4,2,32,SCIENCE
93,3.262,DEV BIOL,57,1,1,5,0,3,2,4,2,1,1,37,SCIENCE
94,8.997,GLOBAL CHANGE BIOL,56,3,14,9,6,3,1,6,5,1,1,7,SCIENCE
95,7.433,NEW PHYTOL,56,6,5,12,7,8,1,5,3,1,1,7,SCIENCE
96,3.099,ACTA CRYSTALLOGR D,54,0,0,2,1,3,1,8,24,0,0,15,SCIENCE
97,3.816,MOL MICROBIOL,54,0,1,4,2,4,5,5,2,1,1,29,SCIENCE
98,41.982,NAT REV IMMUNOL,54,2,9,11,8,7,2,1,3,1,3,7,SCIENCE
99, ,PHYS REV,54,0,1,0,0,0,0,0,0,0,0,53,SCIENCE
100,9.130,CANCER RES,53,1,1,4,1,9,1,2,8,0,3,23,SCIENCE
