Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"645,134",41.058,40.616,40.627,8.207,769,10.8,5.9,1.126,19.909,91.29,131.58200,97.65600,SCIENCE
2016,"606,635",37.205,36.688,38.062,9.278,806,>10.0,5.4,1.15823,19.174,92.18,132.83853,97.65600,SCIENCE
2015,"568,210",34.661,34.212,34.921,8.961,828,>10.0,5.4,1.15367,18.018,91.91,131.49522,97.61900,SCIENCE
2014,"557,558",33.611,33.194,35.263,7.221,828,>10.0,5.5,1.22204,17.885,92.87,136.86842,97.36800,SCIENCE
2013,"537,035",31.477,31.007,34.463,8.568,841,9.9,5.3,1.27503,17.698,91.68,140.53333,97.27300,SCIENCE
2012,"508,489",31.027,30.584,33.587,6.691,832,9.7,5.4,1.35315,17.697,92.43,Not Available,97.32100,SCIENCE
2011,"480,836",31.201,30.777,32.452,6.075,871,9.4,5.4,1.41162,17.525,94.03,Not Available,97.32100,SCIENCE
2010,"469,815",31.377,30.922,31.777,6.794,862,9.0,5.0,1.45546,16.818,92.92,Not Available,97.45800,SCIENCE
2009,"444,643",29.747,29.314,31.052,6.531,897,8.8,5.0,1.52308,16.580,93.98,Not Available,97.00000,SCIENCE
2008,"409,290",28.103,27.550,30.268,6.261,862,8.4,4.8,1.58309,16.286,93.85,Not Available,96.42900,SCIENCE
2007,"382,472",26.372,25.856,30.631,6.387,886,8.0,4.8,1.69272,16.539,92.33,Not Available,97.00000,SCIENCE
2006,"361,389",30.028,29.443,Not Available,5.555,885,7.7,4.8,Not Available,Not Available,93.90,Not Available,99.00000,SCIENCE
2005,"345,991",30.927,30.357,Not Available,6.398,827,7.3,4.7,Not Available,Not Available,93.71,Not Available,98.95800,SCIENCE
2004,"332,803",31.853,31.289,Not Available,7.379,845,7.0,4.5,Not Available,Not Available,93.96,Not Available,96.66700,SCIENCE
2003,"311,593",29.781,29.149,Not Available,5.589,926,6.8,4.3,Not Available,Not Available,92.87,Not Available,96.73900,SCIENCE
2002,"296,080",26.682,26.007,Not Available,5.839,987,6.6,4.3,Not Available,Not Available,90.98,Not Available,96.87500,SCIENCE
2001,"282,431",23.329,22.757,Not Available,5.917,901,6.4,4.3,Not Available,Not Available,93.01,Not Available,96.66700,SCIENCE
2000,"274,443",23.872,23.361,Not Available,5.260,920,6.1,4.5,Not Available,Not Available,93.37,Not Available,96.93900,SCIENCE
1999,"265,921",24.595,24.010,Not Available,4.920,971,5.9,4.4,Not Available,Not Available,91.97,Not Available,97.11500,SCIENCE
1998,"250,327",24.386,23.829,Not Available,4.785,"1,067",5.8,4.5,Not Available,Not Available,94.75,Not Available,97.58100,SCIENCE
1997,"228,945",24.676,24.087,Not Available,4.722,"1,044",5.7,4.3,Not Available,Not Available,97.61,Not Available,97.32100,SCIENCE
