,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,9024,419,984,1244,1288,379,703,679,586,591,404,1747,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2,,ALL OTHERS (886),886,29,79,118,79,53,58,77,59,90,55,189,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
3,4.122,SCI REP-UK,364,12,35,47,42,13,31,21,28,25,19,91,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
4,,ONCOTARGET,225,12,25,35,28,3,32,19,17,5,12,37,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
5,2.766,PLOS ONE,207,3,20,37,20,11,12,21,12,7,14,50,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
6,6.138,SEMIN CELL DEV BIOL,142,83,7,14,8,6,2,0,2,3,2,15,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
7,3.687,INT J MOL SCI,105,12,8,16,9,4,7,20,8,5,3,13,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
8,5.413,DEVELOPMENT,99,5,14,7,23,10,13,3,1,8,1,14,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
9,12.353,NAT COMMUN,91,4,13,11,14,7,9,12,9,1,1,10,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
10,7.616,ELIFE,87,8,5,7,21,5,8,7,5,6,2,13,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
11,3.262,DEV BIOL,86,4,16,13,8,6,5,0,1,9,1,23,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
12,9.504,P NATL ACAD SCI USA,77,1,9,11,20,2,8,7,6,1,1,11,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
13,4.011,J BIOL CHEM,75,2,6,7,10,2,5,11,7,4,5,16,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
14,5.540,PLOS GENET,53,0,10,3,19,3,1,4,2,2,1,8,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
15,2.559,BIOCHEM BIOPH RES CO,50,2,2,5,9,1,4,6,4,1,2,14,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
16,5.638,CELL DEATH DIS,48,4,5,8,11,1,3,1,5,1,4,5,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
17,4.651,BBA-MOL CELL RES,42,1,7,5,12,0,1,1,2,5,4,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
18,8.032,CELL REP,41,1,7,3,14,0,5,2,0,0,2,7,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
19,5.511,FRONT IMMUNOL,41,7,5,13,4,0,1,1,0,0,4,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
20,4.401,J CELL SCI,40,1,6,2,12,3,2,3,5,1,0,5,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
21,9.616,DEV CELL,38,2,6,2,10,1,2,3,3,3,2,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
22,4.277,ANN NY ACAD SCI,36,1,0,11,19,0,0,0,0,1,0,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
23,3.512,MOL BIOL CELL,36,1,3,2,9,1,2,1,7,0,3,7,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
24,6.721,CELL MOL LIFE SCI,35,1,3,5,8,0,6,1,2,2,0,7,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
25,5.500,CELL PHYSIOL BIOCHEM,34,1,0,13,8,0,1,0,0,0,5,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
26,1.922,MOL MED REP,34,3,3,5,5,1,6,2,1,0,2,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
27,11.561,NUCLEIC ACIDS RES,33,7,1,3,10,0,2,2,1,1,0,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
28,3.677,FRONT PLANT SCI,32,2,9,0,2,1,1,7,5,0,1,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
29,,METHOD MOL BIOL,32,0,1,6,2,6,4,0,4,1,2,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
30,1.184,JOVE-J VIS EXP,31,1,1,2,6,0,2,1,1,5,0,12,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
31,4.300,FRONT CELL NEUROSCI,30,3,2,2,4,3,0,4,1,1,0,10,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
32,2.507,DEV DYNAM,29,0,12,1,3,1,2,0,1,1,1,7,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
33,4.368,J VIROL,28,2,5,2,9,0,0,0,3,1,2,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
34,6.854,ONCOGENE,28,0,4,5,6,0,4,3,1,0,1,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
35,6.491,CANCER LETT,27,2,4,6,4,0,2,3,3,1,0,2,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
36,9.251,CURR BIOL,27,2,8,1,3,3,2,0,2,2,0,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
37,3.309,EXP CELL RES,27,1,3,3,6,1,1,2,2,2,2,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
38,8.784,J CELL BIOL,27,3,6,1,8,1,0,3,1,0,2,2,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
39,1.664,ONCOL LETT,27,1,1,5,3,0,5,0,5,0,1,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
40,2.217,BIOL OPEN,26,2,2,3,3,1,3,1,1,2,2,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
41,3.457,BIOMED PHARMACOTHER,26,5,0,3,1,0,5,2,2,0,1,7,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
42,3.730,BMC GENOMICS,26,2,6,4,3,1,4,0,0,1,1,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
43,5.595,FASEB J,26,1,4,3,8,2,0,1,3,1,0,3,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
44,3.394,FRONT PHYSIOL,26,1,4,4,3,5,1,1,3,1,0,3,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
45,5.666,PHILOS T R SOC B,26,0,9,3,0,3,0,0,2,2,1,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
46,9.130,CANCER RES,25,1,5,7,1,0,7,1,1,1,0,1,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
47,5.076,MOL NEUROBIOL,25,0,0,6,0,1,2,4,4,0,2,6,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
48,4.075,GENETICS,24,2,3,1,2,1,3,2,0,2,1,7,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
49,5.949,PLANT PHYSIOL,24,0,4,2,0,1,0,1,6,1,0,9,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
50,3.086,REPRODUCTION,24,0,5,2,6,0,1,0,0,3,4,3,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
51,2.757,CURR PHARM DESIGN,23,1,5,0,3,0,4,0,1,1,4,4,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
52,3.902,FRONT MOL NEUROSCI,23,1,3,2,0,1,0,7,1,3,0,5,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
53,4.302,J CELL MOL MED,23,1,14,0,1,0,0,1,2,0,2,2,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
