Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"9,024",6.138,6.079,6.273,2.138,196,5.3,7.5,0.024,2.396,0.00,2.82600,85.96500,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2016,"7,898",6.614,6.477,6.124,1.685,200,5.4,7.6,0.0234,2.465,0.00,2.68397,86.39000,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2015,"6,674",5.181,5.086,5.758,1.387,163,5.4,7.2,0.02208,2.385,0.00,2.51613,83.68300,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2014,"6,404",6.265,6.147,6.211,1.040,174,5.3,7.2,0.02244,2.484,0.00,2.51321,84.32200,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2013,"6,082",5.971,5.917,6.463,1.362,80,4.8,6.9,0.02594,2.815,0.00,2.85922,84.10700,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2012,"5,613",6.202,6.161,6.510,1.034,116,4.6,6.1,0.02624,2.862,0.00,Not Available,84.23900,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2011,"4,982",6.646,6.605,6.294,0.961,127,4.4,6.8,0.02461,2.837,0.00,Not Available,86.92300,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2010,"4,511",5.908,5.856,6.223,1.557,115,5.0,5.8,0.0239,2.920,0.00,Not Available,82.98300,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2009,"3,824",6.342,6.289,6.642,0.878,131,4.9,6.1,0.02368,3.179,0.00,Not Available,84.95400,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2008,"3,434",4.528,4.509,6.297,1.094,64,4.5,5.8,0.02387,3.196,0.00,Not Available,77.95400,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2007,"3,088",6.482,6.402,6.471,0.761,88,3.9,5.7,0.02215,3.093,0.00,Not Available,86.06600,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2006,"2,849",8.672,8.656,Not Available,0.833,54,4.1,6.3,Not Available,Not Available,0.00,Not Available,88.92300,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2005,"2,469",6.491,6.427,Not Available,1.250,64,4.3,5.1,Not Available,Not Available,0.00,Not Available,85.50200,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2004,"2,035",4.902,4.882,Not Available,1.403,67,4.2,4.6,Not Available,Not Available,0.00,Not Available,80.53800,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2003,"1,838",4.761,4.752,Not Available,0.791,43,3.9,4.4,Not Available,Not Available,0.00,Not Available,79.41400,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2002,"1,695",6.315,6.277,Not Available,0.441,59,3.3,4.4,Not Available,Not Available,0.00,Not Available,85.50200,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2001,"1,287",5.537,5.495,Not Available,0.667,54,2.9,4.1,Not Available,Not Available,0.00,Not Available,84.50800,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
2000,"1,002",4.978,4.933,Not Available,0.407,54,2.5,4.4,Not Available,Not Available,0.00,Not Available,84.84800,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
1999,580,2.862,2.830,Not Available,0.355,62,2.4,3.8,Not Available,Not Available,0.00,Not Available,69.60600,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
1998,410,2.392,2.360,Not Available,0.449,69,2.3,4.2,Not Available,Not Available,0.00,Not Available,65.61800,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
1997,204,1.814,1.783,Not Available,0.509,55,1.4,4.5,Not Available,Not Available,0.00,Not Available,54.61500,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY
