,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,6080,232,629,516,427,324,524,383,602,280,239,1924,SLEEP MEDICINE REVIEWS
2,,ALL OTHERS (703),703,19,67,59,46,26,57,53,59,29,29,259,SLEEP MEDICINE REVIEWS
3,3.395,SLEEP MED,320,9,40,33,23,14,37,18,43,12,7,84,SLEEP MEDICINE REVIEWS
4,5.135,SLEEP,222,8,29,18,25,14,13,10,21,9,12,63,SLEEP MEDICINE REVIEWS
5,10.602,SLEEP MED REV,181,14,17,14,15,12,16,10,25,7,6,45,SLEEP MEDICINE REVIEWS
6,3.396,J CLIN SLEEP MED,131,7,15,13,11,10,11,5,11,7,4,37,SLEEP MEDICINE REVIEWS
7,2.766,PLOS ONE,112,2,13,10,13,6,6,7,9,4,4,38,SLEEP MEDICINE REVIEWS
8,3.433,J SLEEP RES,109,7,8,11,10,3,14,6,16,5,5,24,SLEEP MEDICINE REVIEWS
9,,SLEEP HEALTH,107,3,12,14,10,8,19,3,13,1,4,20,SLEEP MEDICINE REVIEWS
10,4.122,SCI REP-UK,95,3,11,5,7,4,5,2,11,4,5,38,SLEEP MEDICINE REVIEWS
11,,SLEEP MED CLIN,89,3,14,4,6,3,7,8,9,4,4,27,SLEEP MEDICINE REVIEWS
12,2.643,CHRONOBIOL INT,75,2,8,10,2,8,4,6,4,3,3,25,SLEEP MEDICINE REVIEWS
13,2.030,SLEEP BREATH,48,0,6,4,5,1,4,4,4,3,2,15,SLEEP MEDICINE REVIEWS
14,3.864,CURR PSYCHIAT REP,41,4,6,6,2,0,4,2,5,4,1,7,SLEEP MEDICINE REVIEWS
15,2.871,BEHAV SLEEP MED,38,0,1,1,5,2,3,3,9,4,0,10,SLEEP MEDICINE REVIEWS
16,,SOMNOLOGIE,37,0,5,6,3,0,1,3,5,5,0,9,SLEEP MEDICINE REVIEWS
17,,J CLIN CHILD ADOLESC,35,2,2,3,5,3,5,1,6,0,0,8,SLEEP MEDICINE REVIEWS
18,2.223,PSYCHIAT RES,34,1,5,2,4,2,1,1,7,0,5,6,SLEEP MEDICINE REVIEWS
19,0.655,SLEEP BIOL RHYTHMS,33,0,3,3,1,1,4,2,3,1,1,14,SLEEP MEDICINE REVIEWS
20,,BEHAV RES THER,32,4,4,3,3,1,2,1,4,0,1,9,SLEEP MEDICINE REVIEWS
21,2.413,BMJ OPEN,32,4,4,3,1,3,0,1,6,4,0,6,SLEEP MEDICINE REVIEWS
22,3.786,J AFFECT DISORDERS,32,2,5,5,3,2,1,0,4,1,0,9,SLEEP MEDICINE REVIEWS
23,,BRAIN SCI,31,1,4,6,4,1,1,1,4,0,0,9,SLEEP MEDICINE REVIEWS
24,3.508,FRONT NEUROL,31,3,1,2,6,3,0,2,2,0,0,12,SLEEP MEDICINE REVIEWS
25,,NAT SCI SLEEP,31,1,3,3,2,2,2,1,7,1,2,7,SLEEP MEDICINE REVIEWS
26,4.407,RESPIROLOGY,30,6,7,3,2,2,1,0,0,1,0,8,SLEEP MEDICINE REVIEWS
