,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6017,19,179,525,590,515,427,392,384,285,231,2470,SLEEP MEDICINE REVIEWS
2, ,ALL OTHERS (882),882,0,18,76,110,80,58,44,51,36,35,374,SLEEP MEDICINE REVIEWS
3,5.135,SLEEP,358,0,7,27,27,16,17,18,18,24,12,192,SLEEP MEDICINE REVIEWS
4,3.395,SLEEP MED,199,1,5,25,20,26,19,25,13,16,5,44,SLEEP MEDICINE REVIEWS
5,10.602,SLEEP MED REV,181,14,17,14,15,12,16,10,25,7,6,45,SLEEP MEDICINE REVIEWS
6,3.433,J SLEEP RES,128,0,3,15,10,11,11,10,9,6,9,44,SLEEP MEDICINE REVIEWS
7,2.643,CHRONOBIOL INT,105,0,6,11,8,27,4,1,11,2,2,33,SLEEP MEDICINE REVIEWS
8,3.396,J CLIN SLEEP MED,103,0,5,11,15,17,8,12,9,11,8,7,SLEEP MEDICINE REVIEWS
9,5.515,PEDIATRICS,79,0,0,5,7,5,6,6,1,6,2,41,SLEEP MEDICINE REVIEWS
10,23.562,BMJ-BRIT MED J,68,0,1,3,2,3,1,2,3,11,0,42,SLEEP MEDICINE REVIEWS
11,2.766,PLOS ONE,68,0,0,9,19,15,12,8,3,2,0,0,SLEEP MEDICINE REVIEWS
12,2.030,SLEEP BREATH,65,0,4,10,6,14,8,5,2,2,3,11,SLEEP MEDICINE REVIEWS
13,5.971,J NEUROSCI,60,0,0,6,7,5,5,7,3,0,1,26,SLEEP MEDICINE REVIEWS
14,15.239,AM J RESP CRIT CARE,59,0,4,2,6,4,3,1,6,4,0,29,SLEEP MEDICINE REVIEWS
15,7.652,CHEST,53,0,6,0,3,5,2,3,5,0,1,28,SLEEP MEDICINE REVIEWS
16,8.324,MOVEMENT DISORD,52,0,0,4,2,5,11,3,7,4,7,9,SLEEP MEDICINE REVIEWS
17,9.504,P NATL ACAD SCI USA,49,0,3,4,3,7,3,0,2,10,2,15,SLEEP MEDICINE REVIEWS
18,8.055,NEUROLOGY,45,0,1,3,9,2,3,2,0,3,1,21,SLEEP MEDICINE REVIEWS
19,47.661,JAMA-J AM MED ASSOC,44,3,0,0,2,0,2,1,1,2,5,28,SLEEP MEDICINE REVIEWS
20,41.058,SCIENCE,36,0,0,2,0,4,0,0,0,3,1,26,SLEEP MEDICINE REVIEWS
21,3.786,J AFFECT DISORDERS,35,0,4,5,7,6,2,6,1,2,0,2,SLEEP MEDICINE REVIEWS
22,19.912,NAT NEUROSCI,35,0,2,6,5,5,3,3,1,2,0,8,SLEEP MEDICINE REVIEWS
23,53.254,LANCET,34,0,0,2,1,2,3,2,2,0,0,22,SLEEP MEDICINE REVIEWS
24,5.789,J CLIN ENDOCR METAB,33,0,0,5,0,1,3,0,0,2,0,22,SLEEP MEDICINE REVIEWS
25,79.260,NEW ENGL J MED,33,0,1,5,2,1,1,0,0,2,1,20,SLEEP MEDICINE REVIEWS
26,19.384,ANN INTERN MED,32,0,2,4,3,2,1,3,0,1,0,16,SLEEP MEDICINE REVIEWS
27,10.848,BRAIN,32,0,2,1,5,3,0,1,3,2,1,14,SLEEP MEDICINE REVIEWS
28,6.823,HYPERTENSION,32,0,0,1,2,0,1,0,3,1,2,22,SLEEP MEDICINE REVIEWS
29,2.871,BEHAV SLEEP MED,30,0,3,2,8,4,1,3,1,1,1,6,SLEEP MEDICINE REVIEWS
30,12.244,EUR RESPIR J,29,0,3,2,3,2,1,1,2,1,1,13,SLEEP MEDICINE REVIEWS
31,41.577,NATURE,29,0,0,1,0,0,1,2,1,2,0,22,SLEEP MEDICINE REVIEWS
32,0.655,SLEEP BIOL RHYTHMS,29,0,0,1,1,4,5,1,2,2,3,10,SLEEP MEDICINE REVIEWS
33,3.258,ARCH DIS CHILD,28,0,0,4,1,0,0,1,2,2,0,18,SLEEP MEDICINE REVIEWS
34, ,ARCH GEN PSYCHIAT,28,0,0,0,0,0,1,3,1,0,0,23,SLEEP MEDICINE REVIEWS
35,11.984,BIOL PSYCHIAT,28,0,2,0,0,2,2,1,3,0,2,16,SLEEP MEDICINE REVIEWS
36,18.881,CIRCULATION,28,0,0,3,2,0,3,1,1,2,0,16,SLEEP MEDICINE REVIEWS
37,2.947,J PSYCHOSOM RES,28,0,0,0,0,2,3,3,2,1,5,12,SLEEP MEDICINE REVIEWS
38,4.099,J HYPERTENS,27,0,0,1,5,1,2,0,1,2,0,15,SLEEP MEDICINE REVIEWS
39,10.250,ANN NEUROL,26,0,3,2,1,2,4,5,0,2,0,7,SLEEP MEDICINE REVIEWS
40,2.580,ACTA PAEDIATR,25,0,1,4,0,1,0,3,0,1,0,15,SLEEP MEDICINE REVIEWS
41,3.958,SCHIZOPHR RES,25,0,0,2,3,2,2,3,1,2,0,10,SLEEP MEDICINE REVIEWS
42,2.223,PSYCHIAT RES,24,0,0,1,0,2,1,1,1,2,0,16,SLEEP MEDICINE REVIEWS
43, ,ARCH PEDIAT ADOL MED,21,0,0,0,0,0,0,1,1,2,2,15,SLEEP MEDICINE REVIEWS
44,13.397,DIABETES CARE,21,0,0,1,0,5,1,4,4,1,1,4,SLEEP MEDICINE REVIEWS
45,14.319,NEURON,20,0,0,3,3,2,2,0,1,0,0,9,SLEEP MEDICINE REVIEWS
46, ,NEW ZEAL MED J,20,0,0,0,0,0,2,0,2,2,0,14,SLEEP MEDICINE REVIEWS
47,2.891,BIOL PSYCHOL,19,0,0,1,1,2,3,1,2,2,2,5,SLEEP MEDICINE REVIEWS
48,3.614,CLIN NEUROPHYSIOL,19,0,2,2,0,2,2,1,0,1,2,7,SLEEP MEDICINE REVIEWS
49,3.382,NEUROSCIENCE,19,0,1,0,0,1,0,1,0,0,1,15,SLEEP MEDICINE REVIEWS
50,3.046,AM J HYPERTENS,18,0,0,0,1,0,2,4,0,0,3,8,SLEEP MEDICINE REVIEWS
51,3.886,CEPHALALGIA,18,0,0,0,9,3,2,0,0,0,0,4,SLEEP MEDICINE REVIEWS
52,1.449,J PAEDIATR CHILD H,18,0,0,2,1,2,5,0,1,0,0,7,SLEEP MEDICINE REVIEWS
53,32.635,NAT REV NEUROSCI,18,0,0,0,0,0,1,0,9,0,2,6,SLEEP MEDICINE REVIEWS
54,5.426,NEUROIMAGE,18,0,2,3,5,3,0,1,0,0,0,4,SLEEP MEDICINE REVIEWS
55, ,SLEEP MED CLIN,18,0,0,5,2,5,1,1,1,1,0,2,SLEEP MEDICINE REVIEWS
56,13.396,AM J PSYCHIAT,17,0,0,0,0,2,0,0,2,0,2,11,SLEEP MEDICINE REVIEWS
57,4.490,BIPOLAR DISORD,17,0,0,2,2,0,5,0,1,1,4,2,SLEEP MEDICINE REVIEWS
58,9.251,CURR BIOL,17,0,1,1,0,2,1,5,2,0,0,5,SLEEP MEDICINE REVIEWS
59,2.025,EARLY HUM DEV,17,0,0,1,0,1,1,0,1,1,0,12,SLEEP MEDICINE REVIEWS
60,27.144,LANCET NEUROL,17,0,2,1,5,3,0,2,3,0,0,1,SLEEP MEDICINE REVIEWS
61,3.118,PSYCHOPHYSIOLOGY,17,0,0,4,2,1,0,0,0,0,0,10,SLEEP MEDICINE REVIEWS
62,3.667,J PEDIATR-US,16,0,0,0,0,0,2,0,0,3,2,9,SLEEP MEDICINE REVIEWS
63,3.810,PSYCHOSOM MED,16,0,1,1,0,0,0,2,1,0,2,9,SLEEP MEDICINE REVIEWS
64,3.082,AM J PHYSIOL-REG I,15,0,0,0,1,0,2,0,1,0,0,11,SLEEP MEDICINE REVIEWS
65,6.308,CEREB CORTEX,15,0,0,1,2,0,1,4,2,0,0,5,SLEEP MEDICINE REVIEWS
66, ,FRONT PSYCHOL,15,0,0,9,2,4,0,0,0,0,0,0,SLEEP MEDICINE REVIEWS
67,5.159,INT J OBESITY,15,0,0,2,3,2,0,1,1,0,2,4,SLEEP MEDICINE REVIEWS
68,13.250,PSYCHOL BULL,15,0,0,2,0,0,3,0,1,2,0,7,SLEEP MEDICINE REVIEWS
69,6.523,ANESTHESIOLOGY,14,0,0,0,2,1,0,0,0,3,8,0,SLEEP MEDICINE REVIEWS
70, ,ARCH INTERN MED,14,0,0,0,0,0,0,1,0,2,1,10,SLEEP MEDICINE REVIEWS
71, ,ELECTROEN CLIN NEURO,14,0,0,0,0,0,0,0,0,0,0,14,SLEEP MEDICINE REVIEWS
72,2.832,EUR J NEUROSCI,14,0,0,0,0,1,0,1,1,1,0,10,SLEEP MEDICINE REVIEWS
73,3.906,J BIOL RHYTHM,14,0,0,2,0,3,0,0,0,0,1,8,SLEEP MEDICINE REVIEWS
74,2.199,J DEV BEHAV PEDIATR,14,0,0,1,2,0,0,2,0,1,0,8,SLEEP MEDICINE REVIEWS
75,4.000,J PSYCHIATR RES,14,0,0,2,1,0,0,1,4,0,2,4,SLEEP MEDICINE REVIEWS
76,4.721,PARKINSONISM RELAT D,14,0,1,0,3,2,2,1,3,1,0,1,SLEEP MEDICINE REVIEWS
77,4.731,PSYCHONEUROENDOCRINO,14,0,2,0,1,1,3,1,0,1,0,5,SLEEP MEDICINE REVIEWS
78,4.322,AM J EPIDEMIOL,13,0,0,2,3,3,2,0,0,0,1,2,SLEEP MEDICINE REVIEWS
79,3.125,BRAIN RES,13,0,0,0,0,1,0,0,0,0,0,12,SLEEP MEDICINE REVIEWS
80, ,CONSCIOUS COGN,13,0,0,3,0,2,2,3,1,0,0,2,SLEEP MEDICINE REVIEWS
81,3.256,J APPL PHYSIOL,13,0,1,0,1,0,0,1,0,0,0,10,SLEEP MEDICINE REVIEWS
82,4.245,J CLIN EPIDEMIOL,13,0,0,1,0,2,0,0,0,0,0,10,SLEEP MEDICINE REVIEWS
83,2.285,NEUROL SCI,13,0,1,1,0,2,2,2,0,0,2,3,SLEEP MEDICINE REVIEWS
84,3.222,PSYCHOPHARMACOLOGY,13,0,0,0,0,0,0,0,1,0,0,12,SLEEP MEDICINE REVIEWS
85,15.071,BEHAV BRAIN SCI,12,0,0,1,0,1,0,0,1,0,0,9,SLEEP MEDICINE REVIEWS
86,1.806,EXP BRAIN RES,12,0,1,0,4,0,0,1,1,2,0,3,SLEEP MEDICINE REVIEWS
87,6.486,J CHILD PSYCHOL PSYC,12,0,2,1,2,0,1,1,0,0,1,4,SLEEP MEDICINE REVIEWS
88,7.144,J NEUROL NEUROSUR PS,12,0,1,0,1,0,1,0,0,0,2,7,SLEEP MEDICINE REVIEWS
89,5.280,MULT SCLER J,12,0,0,0,0,1,1,3,1,0,2,4,SLEEP MEDICINE REVIEWS
90,2.159,NEUROSCI LETT,12,0,1,0,0,0,0,1,1,0,0,9,SLEEP MEDICINE REVIEWS
91,3.174,PROG BRAIN RES,12,0,0,0,0,0,0,3,4,0,1,4,SLEEP MEDICINE REVIEWS
92,4.407,RESPIROLOGY,12,0,1,1,0,1,2,0,3,0,2,2,SLEEP MEDICINE REVIEWS
93,5.867,BRIT J PSYCHIAT,11,0,0,0,0,1,1,3,0,0,0,6,SLEEP MEDICINE REVIEWS
94,3.091,HEADACHE,11,0,0,0,4,3,0,0,0,0,0,4,SLEEP MEDICINE REVIEWS
95, ,J ABNORM PSYCHOL,11,0,0,0,0,0,1,0,0,0,0,10,SLEEP MEDICINE REVIEWS
96,16.834,J AM COLL CARDIOL,11,0,0,1,1,0,0,3,0,1,0,5,SLEEP MEDICINE REVIEWS
97,4.540,J PHYSIOL-LONDON,11,0,0,0,1,1,1,0,0,0,0,8,SLEEP MEDICINE REVIEWS
98,6.544,NEUROPSYCHOPHARMACOL,11,0,0,0,2,0,0,0,0,0,0,9,SLEEP MEDICINE REVIEWS
99, ,PERCEPT MOTOR SKILL,11,0,0,0,1,2,0,0,0,0,0,8,SLEEP MEDICINE REVIEWS
100,3.171,AM J CARDIOL,10,0,0,0,0,0,0,0,2,0,0,8,SLEEP MEDICINE REVIEWS
