Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"6,080",10.602,10.314,10.342,3.867,60,7.0,7.9,0.011,3.326,0.00,1.25200,95.76400,SLEEP MEDICINE REVIEWS
2016,"4,980",8.958,8.666,9.619,2.367,60,6.6,8.6,0.00971,3.213,0.00,1.11459,95.07500,SLEEP MEDICINE REVIEWS
2015,"4,392",7.341,7.065,9.636,2.375,48,6.6,8.0,0.01033,3.450,0.00,1.17759,94.12100,SLEEP MEDICINE REVIEWS
2014,"3,919",8.513,8.282,9.258,2.062,48,6.6,8.3,0.00959,3.247,0.00,1.07402,95.03300,SLEEP MEDICINE REVIEWS
2013,"3,512",9.141,8.774,9.320,2.186,43,6.2,8.8,0.00917,3.201,0.00,1.01098,95.44800,SLEEP MEDICINE REVIEWS
2012,"2,976",8.681,8.388,8.260,1.943,35,6.1,8.1,0.00882,2.989,0.00,Not Available,95.43900,SLEEP MEDICINE REVIEWS
2011,"2,482",6.931,6.625,7.543,1.972,36,5.7,8.8,0.00799,2.655,0.00,Not Available,93.53000,SLEEP MEDICINE REVIEWS
2010,"2,399",6.338,6.000,7.696,1.750,36,5.7,8.3,0.00759,2.477,0.00,Not Available,92.72500,SLEEP MEDICINE REVIEWS
2009,"1,961",5.967,5.754,6.704,1.139,36,5.6,6.7,0.00713,2.255,0.00,Not Available,92.28600,SLEEP MEDICINE REVIEWS
2008,"1,608",6.143,5.873,6.630,1.690,29,4.6,7.7,0.00753,2.207,0.00,Not Available,93.73100,SLEEP MEDICINE REVIEWS
2007,"1,225",5.705,5.442,5.342,1.656,32,4.4,7.9,0.00671,1.862,6.25,Not Available,91.75700,SLEEP MEDICINE REVIEWS
2006,"1,116",5.083,4.983,Not Available,1.710,31,4.1,6.6,Not Available,Not Available,3.23,Not Available,88.37300,SLEEP MEDICINE REVIEWS
2005,818,3.967,3.836,Not Available,1.433,30,3.6,6.9,Not Available,Not Available,0.00,Not Available,82.46300,SLEEP MEDICINE REVIEWS
2004,546,3.703,3.609,Not Available,0.933,30,3.1,8.4,Not Available,Not Available,0.00,Not Available,82.97400,SLEEP MEDICINE REVIEWS
2003,274,1.774,1.612,Not Available,0.419,31,3.2,8.2,Not Available,Not Available,0.00,Not Available,47.90400,SLEEP MEDICINE REVIEWS
2002,172,1.386,1.245,Not Available,0.303,33,3.0,7.5,Not Available,Not Available,24.24,Not Available,50.36200,SLEEP MEDICINE REVIEWS
2001,156,1.917,1.479,Not Available,0.483,29,2.0,7.8,Not Available,Not Available,10.34,Not Available,70.95600,SLEEP MEDICINE REVIEWS
