,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,65854,712,2428,4029,4149,4511,3551,4222,3343,4271,2750,31888,STROKE
2,,ALL OTHERS (1064),1064,13,24,33,46,59,66,64,50,74,54,581,STROKE
3,6.239,STROKE,3401,234,266,328,292,255,183,214,174,201,115,1139,STROKE
4,1.598,J STROKE CEREBROVASC,2047,10,52,125,150,147,116,108,111,105,78,1045,STROKE
5,2.766,PLOS ONE,1405,6,39,84,69,86,76,93,69,97,71,715,STROKE
6,1.924,WORLD NEUROSURG,1154,11,42,55,70,101,68,72,69,59,55,552,STROKE
7,3.508,FRONT NEUROL,1033,14,48,63,60,84,75,49,54,76,45,465,STROKE
8,4.122,SCI REP-UK,1010,6,40,71,56,90,45,63,54,63,55,467,STROKE
9,6.045,J CEREBR BLOOD F MET,941,3,18,50,55,64,55,61,34,92,47,462,STROKE
10,3.526,J NEUROINTERV SURG,806,6,24,93,78,96,41,87,40,40,38,263,STROKE
11,8.055,NEUROLOGY,786,10,53,67,80,63,41,55,57,58,32,270,STROKE
12,3.859,INT J STROKE,747,7,43,75,59,65,49,51,33,40,26,299,STROKE
13,2.448,J NEUROL SCI,697,4,39,40,62,61,39,42,34,34,26,316,STROKE
14,3.653,AM J NEURORADIOL,589,6,21,56,42,61,36,43,33,34,30,227,STROKE
15,,SPR SER TRANSL STROK,577,0,7,36,29,38,26,31,24,53,26,307,STROKE
16,2.931,CEREBROVASC DIS,576,5,29,37,46,44,30,33,34,44,33,241,STROKE
17,4.450,J AM HEART ASSOC,543,5,29,41,37,45,37,48,26,44,16,215,STROKE
18,,ONCOTARGET,526,5,28,38,33,39,26,34,22,32,27,242,STROKE
19,4.319,J NEUROSURG,464,0,6,23,43,41,40,39,35,16,23,198,STROKE
20,5.076,MOL NEUROBIOL,426,0,1,26,17,33,33,36,22,28,21,209,STROKE
21,8.266,TRANSL STROKE RES,410,4,20,34,25,26,29,32,23,31,12,174,STROKE
22,15.211,CIRC RES,395,1,20,32,28,21,30,20,17,20,23,183,STROKE
23,2.028,MEDICINE,375,2,6,26,25,21,18,28,16,18,19,196,STROKE
24,2.413,BMJ OPEN,359,3,14,23,24,26,22,24,19,23,11,170,STROKE
25,4.750,J STROKE,348,4,29,30,20,33,19,25,21,20,16,131,STROKE
26,3.163,NEUROCRIT CARE,327,3,14,34,9,23,27,13,21,16,14,153,STROKE
27,2.170,BMC NEUROL,325,1,10,12,30,15,19,26,25,19,16,152,STROKE
28,4.621,EUR J NEUROL,325,4,17,33,22,31,20,24,25,19,12,118,STROKE
29,18.881,CIRCULATION,321,7,17,25,33,36,24,24,12,21,14,108,STROKE
30,,HAND CLINIC,312,0,5,18,11,19,15,17,17,16,18,176,STROKE
31,2.757,CURR PHARM DESIGN,308,1,7,32,9,26,14,18,12,19,16,154,STROKE
32,1.640,J CLIN NEUROSCI,303,1,9,12,9,22,20,28,22,29,7,144,STROKE
33,2.583,BIOMED RES INT,283,0,13,17,22,20,22,24,13,14,15,123,STROKE
34,4.475,NEUROSURGERY,279,4,9,20,30,20,23,22,11,13,9,118,STROKE
35,1.870,SEMIN NEUROL,276,4,12,21,28,16,16,18,15,13,12,121,STROKE
36,3.687,INT J MOL SCI,275,5,15,12,10,17,14,24,13,22,9,134,STROKE
37,1.771,TOP STROKE REHABIL,274,0,3,6,20,9,12,18,8,16,5,177,STROKE
38,3.112,CURR DRUG TARGETS,263,0,2,9,15,18,14,26,24,18,14,123,STROKE
39,4.711,NEUROREHAB NEURAL RE,262,5,12,11,17,15,11,13,13,15,6,144,STROKE
40,3.603,NEUROCHEM INT,257,1,7,20,15,15,11,10,7,32,8,131,STROKE
41,1.449,NEUROL RES,252,0,11,10,17,8,13,15,14,13,10,141,STROKE
42,1.848,INT J NEUROSCI,243,0,6,11,10,21,9,16,17,21,15,117,STROKE
43,11.460,JAMA NEUROL,241,7,25,31,22,16,13,18,22,18,5,64,STROKE
44,2.647,NEUROSURG FOCUS,240,0,15,14,17,27,18,15,10,15,8,101,STROKE
45,3.126,ACTA NEUROL SCAND,231,1,3,25,21,16,14,9,10,10,11,111,STROKE
46,5.220,CLIN SCI,227,2,13,13,18,15,12,21,15,17,11,90,STROKE
47,7.144,J NEUROL NEUROSUR PS,224,3,15,28,18,22,17,14,16,13,5,73,STROKE
48,1.736,CLIN NEUROL NEUROSUR,219,3,12,19,11,13,11,11,21,16,7,95,STROKE
