,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,16862,684,1646,1905,1497,1354,1142,1002,871,853,658,5250,STROKE
2, ,ALL OTHERS (1186),1186,32,110,113,85,77,74,77,60,41,56,461,STROKE
3,6.239,STROKE,3401,234,266,328,292,255,183,214,174,201,115,1139,STROKE
4,79.260,NEW ENGL J MED,710,3,64,289,22,61,18,20,12,28,28,165,STROKE
5,8.055,NEUROLOGY,638,14,61,41,43,54,59,36,34,36,23,237,STROKE
6,53.254,LANCET,428,12,76,23,57,8,31,18,30,16,3,154,STROKE
7,18.881,CIRCULATION,373,18,34,53,36,19,15,20,21,21,14,122,STROKE
8,27.144,LANCET NEUROL,352,8,40,15,23,33,48,24,34,55,25,47,STROKE
9,47.661,JAMA-J AM MED ASSOC,269,8,37,22,33,7,18,15,5,7,5,112,STROKE
10,2.931,CEREBROVASC DIS,251,7,7,14,20,26,18,16,18,25,29,71,STROKE
11,6.045,J CEREBR BLOOD F MET,241,15,35,21,18,21,17,13,22,10,10,59,STROKE
12,3.859,INT J STROKE,227,15,36,60,44,19,16,14,10,6,2,5,STROKE
13,10.250,ANN NEUROL,213,2,17,27,9,23,12,21,9,7,10,76,STROKE
14,3.653,AM J NEURORADIOL,212,9,8,25,22,25,11,11,13,8,15,65,STROKE
15,2.766,PLOS ONE,185,3,31,29,36,41,21,16,4,2,1,1,STROKE
16,1.598,J STROKE CEREBROVASC,180,5,29,34,25,32,8,10,5,4,11,17,STROKE
17,4.319,J NEUROSURG,172,8,11,7,9,11,10,10,4,5,4,93,STROKE
18,7.144,J NEUROL NEUROSUR PS,148,9,5,16,11,8,6,8,6,8,13,58,STROKE
19,23.562,BMJ-BRIT MED J,147,1,15,15,4,10,11,12,9,20,4,46,STROKE
20,16.834,J AM COLL CARDIOL,142,5,9,13,17,17,11,16,4,4,8,38,STROKE
21,4.475,NEUROSURGERY,136,0,8,11,6,17,11,5,7,8,11,52,STROKE
22,3.526,J NEUROINTERV SURG,119,31,30,14,19,12,3,0,5,0,0,5,STROKE
23,7.469,RADIOLOGY,102,1,10,5,5,17,1,3,4,7,6,43,STROKE
24, ,ARCH NEUROL-CHICAGO,93,0,0,0,0,0,4,9,8,11,7,54,STROKE
25,10.848,BRAIN,93,1,10,12,3,8,8,5,3,10,2,31,STROKE
26,4.450,J AM HEART ASSOC,90,5,43,16,14,9,3,0,0,0,0,0,STROKE
27,23.425,EUR HEART J,89,7,22,8,5,8,7,4,3,2,3,20,STROKE
