Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"65,854",6.239,5.664,6.610,1.354,526,9.6,6.1,0.088,2.274,92.02,10.33200,93.37400,STROKE
2016,"60,469",6.032,5.560,6.494,1.165,479,9.2,6.4,0.09343,2.211,93.74,10.73141,92.17600,STROKE
2015,"57,427",5.787,5.137,6.308,1.320,556,8.8,6.1,0.09772,2.217,91.01,11.13792,92.67200,STROKE
2014,"58,619",5.761,5.037,6.578,1.311,572,8.7,6.4,0.10295,2.140,94.93,11.53069,92.73400,STROKE
2013,"56,480",6.018,5.287,6.757,1.170,653,8.5,6.4,0.10416,2.182,96.63,11.48082,93.83200,STROKE
2012,"52,524",6.158,5.470,6.831,1.086,567,8.2,6.2,0.10989,2.264,94.71,Not Available,93.97100,STROKE
2011,"48,243",5.729,5.035,6.468,1.221,592,8.0,6.6,0.10596,2.181,94.59,Not Available,90.97000,STROKE
2010,"44,528",5.756,5.027,6.394,1.060,532,7.6,6.0,0.10253,2.030,97.37,Not Available,91.84200,STROKE
2009,"46,637",7.041,5.957,7.288,1.193,694,7.4,6.4,0.1073,2.115,95.10,Not Available,95.78400,STROKE
2008,"41,755",6.499,5.749,6.872,1.279,480,7.3,6.3,0.11132,2.060,96.46,Not Available,92.43400,STROKE
2007,"36,787",6.296,5.359,6.389,1.249,481,6.9,5.9,0.11901,2.121,97.09,Not Available,94.63500,STROKE
2006,"33,437",5.391,4.591,Not Available,1.242,462,6.8,5.6,Not Available,Not Available,97.19,Not Available,91.53900,STROKE
2005,"32,361",5.855,4.937,Not Available,1.039,487,6.5,5.6,Not Available,Not Available,95.07,Not Available,93.08800,STROKE
2004,"30,105",5.748,4.841,Not Available,1.034,528,6.5,5.6,Not Available,Not Available,98.30,Not Available,93.62400,STROKE
2003,"27,172",5.233,4.154,Not Available,1.094,480,6.4,5.8,Not Available,Not Available,97.50,Not Available,93.04500,STROKE
2002,"24,981",5.176,4.155,Not Available,1.024,456,6.2,5.6,Not Available,Not Available,98.46,Not Available,92.71900,STROKE
2001,"23,588",5.330,4.412,Not Available,0.811,418,6.0,6.0,Not Available,Not Available,98.09,Not Available,90.84600,STROKE
2000,"23,333",6.008,4.933,Not Available,0.904,407,5.9,5.8,Not Available,Not Available,98.53,Not Available,95.58000,STROKE
1999,"21,532",5.528,4.582,Not Available,0.952,396,5.7,6.0,Not Available,Not Available,99.49,Not Available,93.93900,STROKE
1998,"19,502",4.880,4.026,Not Available,0.845,373,5.8,5.8,Not Available,Not Available,98.12,Not Available,94.19500,STROKE
1997,"17,379",4.323,3.444,Not Available,0.650,389,5.7,5.7,Not Available,Not Available,97.43,Not Available,90.19300,STROKE
