,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,10194,1371,5127,3679,1,1,0,0,0,0,0,15,Science Advances
2,,ALL OTHERS (1051),1051,99,477,472,0,0,0,0,0,0,0,3,Science Advances
3,4.122,SCI REP-UK,332,30,176,126,0,0,0,0,0,0,0,0,Science Advances
4,3.813,PHYS REV B,293,59,127,107,0,0,0,0,0,0,0,0,Science Advances
5,12.353,NAT COMMUN,223,35,116,71,0,1,0,0,0,0,0,0,Science Advances
6,8.097,ACS APPL MATER INTER,179,29,96,54,0,0,0,0,0,0,0,0,Science Advances
7,11.511,SCI ADV,168,32,86,49,0,0,0,0,0,0,0,1,Science Advances
8,21.950,ADV MATER,166,13,104,48,0,0,0,0,0,0,0,1,Science Advances
9,9.504,P NATL ACAD SCI USA,138,22,57,59,0,0,0,0,0,0,0,0,Science Advances
10,9.931,J MATER CHEM A,135,7,101,27,0,0,0,0,0,0,0,0,Science Advances
11,13.709,ACS NANO,120,24,66,30,0,0,0,0,0,0,0,0,Science Advances
12,2.766,PLOS ONE,112,20,44,48,0,0,0,0,0,0,0,0,Science Advances
13,8.839,PHYS REV LETT,107,22,58,27,0,0,0,0,0,0,0,0,Science Advances
14,3.495,APPL PHYS LETT,98,18,60,20,0,0,0,0,0,0,0,0,Science Advances
15,13.120,NANO ENERGY,94,8,68,18,0,0,0,0,0,0,0,0,Science Advances
16,12.102,ANGEW CHEM INT EDIT,91,21,37,33,0,0,0,0,0,0,0,0,Science Advances
17,14.357,J AM CHEM SOC,86,9,38,38,0,0,0,0,0,0,0,1,Science Advances
18,2.909,PHYS REV A,86,13,39,34,0,0,0,0,0,0,0,0,Science Advances
19,7.233,NANOSCALE,84,16,43,25,0,0,0,0,0,0,0,0,Science Advances
20,4.484,J PHYS CHEM C,74,6,46,22,0,0,0,0,0,0,0,0,Science Advances
21,12.080,NANO LETT,70,22,34,14,0,0,0,0,0,0,0,0,Science Advances
22,41.058,SCIENCE,68,8,34,26,0,0,0,0,0,0,0,0,Science Advances
23,2.936,RSC ADV,67,8,42,17,0,0,0,0,0,0,0,0,Science Advances
24,4.339,GEOPHYS RES LETT,64,16,25,23,0,0,0,0,0,0,0,0,Science Advances
25,21.875,ADV ENERGY MATER,63,2,51,10,0,0,0,0,0,0,0,0,Science Advances
26,8.709,J PHYS CHEM LETT,63,13,34,16,0,0,0,0,0,0,0,0,Science Advances
27,3.356,OPT EXPRESS,63,16,35,12,0,0,0,0,0,0,0,0,Science Advances
28,41.577,NATURE,62,12,34,16,0,0,0,0,0,0,0,0,Science Advances
29,13.325,ADV FUNCT MATER,54,3,38,13,0,0,0,0,0,0,0,0,Science Advances
30,9.598,SMALL,54,6,23,25,0,0,0,0,0,0,0,0,Science Advances
31,6.290,CHEM COMMUN,46,8,26,12,0,0,0,0,0,0,0,0,Science Advances
32,4.581,EARTH PLANET SC LETT,46,10,19,16,0,0,0,0,0,0,0,1,Science Advances
