,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,42022,932,3567,4030,3557,3186,2835,2444,2216,1881,1665,15709,Science Advances
2, ,ALL OTHERS (4470),4470,107,282,257,273,265,222,195,198,185,160,2326,Science Advances
3,41.058,SCIENCE,2045,26,165,186,170,175,155,104,109,105,80,770,Science Advances
4,41.577,NATURE,1640,22,121,116,108,106,101,77,82,74,74,759,Science Advances
5,8.839,PHYS REV LETT,1124,9,64,70,64,77,71,75,74,47,51,522,Science Advances
6,9.504,P NATL ACAD SCI USA,1112,20,83,122,95,88,86,95,72,60,52,339,Science Advances
7,3.813,PHYS REV B,910,13,64,84,49,75,51,79,47,31,39,378,Science Advances
8,12.353,NAT COMMUN,747,43,161,200,166,97,56,22,2,0,0,0,Science Advances
9,14.357,J AM CHEM SOC,643,16,66,76,71,73,63,39,25,28,20,166,Science Advances
10,12.080,NANO LETT,543,22,60,99,87,60,56,36,38,33,12,40,Science Advances
11,39.235,NAT MATER,486,20,54,71,54,51,44,42,34,14,21,81,Science Advances
12,21.950,ADV MATER,476,29,85,63,80,42,37,34,28,18,13,47,Science Advances
13,12.102,ANGEW CHEM INT EDIT,387,11,64,57,43,30,35,29,23,13,22,60,Science Advances
14,3.495,APPL PHYS LETT,377,8,21,34,37,28,31,23,16,24,23,132,Science Advances
15,4.581,EARTH PLANET SC LETT,356,9,29,23,29,17,20,18,29,27,10,145,Science Advances
16,2.766,PLOS ONE,339,5,23,55,53,51,59,35,18,16,17,7,Science Advances
17,4.122,SCI REP-UK,318,21,101,93,49,38,13,3,0,0,0,0,Science Advances
18,37.490,NAT NANOTECHNOL,306,9,38,47,68,34,32,21,31,10,10,6,Science Advances
19,4.339,GEOPHYS RES LETT,271,6,26,21,26,18,17,26,12,8,10,101,Science Advances
20,13.709,ACS NANO,270,5,54,61,44,35,24,16,20,9,1,1,Science Advances
21,31.398,CELL,246,5,14,18,24,14,14,19,7,11,13,107,Science Advances
22,3.482,J GEOPHYS RES-SOL EA,231,1,20,20,21,10,12,10,9,9,5,114,Science Advances
23,2.843,J CHEM PHYS,226,0,13,15,10,13,5,10,11,4,5,140,Science Advances
24,4.011,J BIOL CHEM,215,0,5,8,17,13,12,12,6,8,12,122,Science Advances
25,5.073,GEOLOGY,210,5,17,13,16,17,14,9,17,7,9,86,Science Advances
26,4.690,GEOCHIM COSMOCHIM AC,207,8,9,8,9,7,4,12,17,9,12,112,Science Advances
27,22.727,NAT PHYS,201,8,25,38,29,17,21,12,12,13,11,15,Science Advances
28,32.521,NAT PHOTONICS,190,4,25,17,33,26,20,14,19,13,9,10,Science Advances
29,52.613,CHEM REV,187,3,27,21,10,10,17,5,13,5,9,67,Science Advances
30,11.511,SCI ADV,168,32,86,49,0,0,0,0,0,0,0,1,Science Advances
31,11.561,NUCLEIC ACIDS RES,165,4,9,14,21,14,12,4,8,7,4,68,Science Advances
32,3.356,OPT EXPRESS,163,2,8,21,17,24,16,20,9,20,6,20,Science Advances
33,14.391,NAT GEOSCI,154,5,20,24,15,18,14,16,15,14,12,1,Science Advances
34,5.481,BIOINFORMATICS,152,0,2,7,17,10,14,20,22,24,3,33,Science Advances
35,8.709,J PHYS CHEM LETT,150,11,24,51,29,12,12,9,2,0,0,0,Science Advances
36,2.909,PHYS REV A,150,1,21,7,9,7,12,6,4,7,6,70,Science Advances
37,26.919,NAT METHODS,141,6,7,13,16,18,29,11,10,9,10,12,Science Advances
38,4.484,J PHYS CHEM C,135,4,20,19,18,10,20,11,8,8,8,9,Science Advances
39,2.176,J APPL PHYS,134,0,8,10,6,7,8,4,7,6,10,68,Science Advances
40,4.661,J CLIMATE,132,1,10,10,13,17,9,3,12,5,9,43,Science Advances
41,5.551,ASTROPHYS J,129,2,9,7,6,8,5,8,4,5,7,68,Science Advances
42,3.146,J PHYS CHEM B,124,0,8,9,9,4,5,7,2,6,8,66,Science Advances
43,3.495,BIOPHYS J,121,3,2,4,6,5,5,6,7,6,12,65,Science Advances
44,3.789,LANGMUIR,120,0,8,9,6,9,7,10,9,2,2,58,Science Advances
45,9.890,CHEM MATER,116,7,11,10,13,8,8,7,6,6,7,33,Science Advances
46,2.284,PHYS REV E,116,0,6,5,13,5,10,6,7,5,5,54,Science Advances
47,13.325,ADV FUNCT MATER,115,9,18,21,14,10,15,4,5,2,2,15,Science Advances
48,4.894,J MOL BIOL,115,0,6,3,3,2,6,5,3,5,9,73,Science Advances
49,40.182,CHEM SOC REV,114,2,10,15,21,22,16,12,6,5,2,3,Science Advances
50,36.367,REV MOD PHYS,114,2,5,3,10,7,5,16,14,8,3,41,Science Advances
51,30.067,ENERG ENVIRON SCI,113,5,24,23,26,10,14,6,1,0,0,4,Science Advances
52,4.847,P ROY SOC B-BIOL SCI,113,3,12,18,5,9,9,6,4,6,7,34,Science Advances
53,6.290,CHEM COMMUN,104,1,10,17,7,14,13,11,6,5,1,19,Science Advances
54,3.906,PHYS CHEM CHEM PHYS,101,5,10,21,16,9,4,8,5,7,3,13,Science Advances
55,2.375,PALAEOGEOGR PALAEOCL,99,2,2,7,8,4,6,1,6,5,5,53,Science Advances
56,2.997,BIOCHEMISTRY-US,97,0,3,2,4,6,6,2,3,5,6,60,Science Advances
57,9.251,CURR BIOL,97,1,5,14,11,15,7,4,6,6,4,24,Science Advances
58,4.617,ECOLOGY,97,1,7,5,7,5,8,2,8,5,3,46,Science Advances
59,2.981,GEOCHEM GEOPHY GEOSY,96,0,3,9,9,10,5,8,6,3,8,35,Science Advances
60,2.617,J PHYS-CONDENS MAT,96,2,4,5,4,6,6,2,6,20,3,38,Science Advances
61,35.724,NAT BIOTECHNOL,94,5,14,14,13,10,2,5,6,2,6,17,Science Advances
62,7.233,NANOSCALE,91,2,18,23,24,18,2,2,1,0,0,1,Science Advances
63,3.589,OPT LETT,91,0,9,4,11,8,4,6,3,7,0,39,Science Advances
64,2.343,B SEISMOL SOC AM,90,4,6,2,1,9,4,3,3,3,3,52,Science Advances
65,3.579,NEW J PHYS,90,2,9,11,9,11,7,8,6,7,3,17,Science Advances
66,20.955,ACCOUNTS CHEM RES,86,3,16,9,17,11,1,2,3,1,4,19,Science Advances
67,2.528,GEOPHYS J INT,86,1,7,3,10,8,3,9,8,4,4,29,Science Advances
68,26.201,NAT CHEM,85,4,8,11,9,15,12,9,9,8,0,0,Science Advances
69,14.248,MOL CELL,84,1,6,9,9,8,3,4,8,4,2,30,Science Advances
70,3.099,ACTA CRYSTALLOGR D,81,0,0,3,2,1,2,12,38,1,2,20,Science Advances
71,3.709,SOFT MATTER,81,1,7,6,12,15,7,13,12,5,1,2,Science Advances
72,2.981,ICARUS,80,3,5,14,5,3,1,5,3,5,1,35,Science Advances
73,3.380,J GEOPHYS RES-ATMOS,80,1,3,4,2,10,5,5,5,8,4,33,Science Advances
74,5.666,PHILOS T R SOC B,79,1,9,11,3,8,5,4,4,8,3,23,Science Advances
75,5.565,ASTRON ASTROPHYS,77,4,5,5,5,5,5,5,2,3,2,36,Science Advances
76,9.137,ECOL LETT,77,0,4,5,3,4,5,2,10,11,8,25,Science Advances
77,3.570,CHEM GEOL,76,2,5,5,3,6,2,1,1,12,2,37,Science Advances
78,8.784,J CELL BIOL,76,2,3,0,1,6,5,3,4,5,5,42,Science Advances
79,5.914,MACROMOLECULES,74,3,5,4,7,3,2,4,1,2,8,35,Science Advances
80,19.181,NAT CLIM CHANGE,74,0,15,15,15,10,17,2,0,0,0,0,Science Advances
81, ,THESIS,73,1,7,6,4,5,5,7,4,3,4,27,Science Advances
82,1.428,REV SCI INSTRUM,72,2,5,3,6,2,3,3,3,2,6,37,Science Advances
83,15.938,TRENDS ECOL EVOL,72,1,4,8,4,3,4,1,3,4,4,36,Science Advances
84,8.097,ACS APPL MATER INTER,71,2,19,27,9,9,1,0,3,1,0,0,Science Advances
85,2.711,J GEOPHYS RES-OCEANS,71,1,4,4,4,4,7,2,4,4,3,34,Science Advances
86,6.945,J POWER SOURCES,71,0,6,6,7,10,8,1,4,1,2,26,Science Advances
87,2.718,PALEOCEANOGRAPHY,71,0,0,2,8,3,3,1,4,3,6,41,Science Advances
88, ,J GEOPHYS RES,70,1,0,0,0,0,3,0,1,0,1,64,Science Advances
89,5.971,J NEUROSCI,70,0,2,1,9,6,6,5,4,3,6,28,Science Advances
90, ,PHYS REV,70,0,0,0,0,0,0,0,0,0,0,70,Science Advances
91,2.276,MAR ECOL PROG SER,69,0,2,1,2,2,0,9,4,4,5,40,Science Advances
92,4.368,J VIROL,67,0,5,5,3,5,7,3,0,4,4,31,Science Advances
93,2.156,PHYS EARTH PLANET IN,66,1,2,6,3,2,2,4,9,4,5,28,Science Advances
94,3.907,PRECAMBRIAN RES,66,1,1,7,4,2,9,3,6,5,5,23,Science Advances
95,4.039,GEOL SOC AM BULL,65,0,11,3,1,7,5,5,2,2,3,26,Science Advances
96,3.662,J ELECTROCHEM SOC,64,1,2,6,3,4,1,1,4,1,1,40,Science Advances
97,3.595,LIMNOL OCEANOGR,64,0,2,1,2,2,3,2,1,3,1,47,Science Advances
98,14.319,NEURON,64,1,3,6,3,2,6,7,6,1,1,28,Science Advances
99,4.334,QUATERNARY SCI REV,63,0,6,9,7,3,2,6,2,4,3,21,Science Advances
100,6.042,ANAL CHEM,62,0,4,10,4,7,8,5,1,6,0,17,Science Advances
