,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,10316,221,849,1109,1243,1782,1064,1015,1274,1242,379,138,Science Signaling
2,,ALL OTHERS (704),704,7,49,70,74,97,73,63,96,112,45,18,Science Signaling
3,4.122,SCI REP-UK,436,5,20,54,60,96,34,36,56,45,24,6,Science Signaling
4,,ONCOTARGET,415,26,30,32,48,131,25,34,38,42,8,1,Science Signaling
5,12.353,NAT COMMUN,209,1,14,16,28,57,28,25,19,14,6,1,Science Signaling
6,2.766,PLOS ONE,201,3,18,22,18,39,17,17,29,26,10,2,Science Signaling
7,4.011,J BIOL CHEM,164,2,9,14,16,22,25,21,27,15,12,1,Science Signaling
8,9.504,P NATL ACAD SCI USA,132,0,9,24,17,13,16,18,12,18,5,0,Science Signaling
9,5.511,FRONT IMMUNOL,125,7,12,11,16,11,11,16,23,13,5,0,Science Signaling
10,6.854,ONCOGENE,123,1,0,7,17,60,11,7,8,10,2,0,Science Signaling
11,7.616,ELIFE,118,1,7,15,19,16,6,15,10,12,4,13,Science Signaling
12,3.687,INT J MOL SCI,116,7,6,14,6,16,18,12,16,13,7,1,Science Signaling
13,6.378,SCI SIGNAL,110,16,19,9,16,12,11,5,11,7,3,1,Science Signaling
14,8.032,CELL REP,107,0,2,13,21,24,11,12,11,11,2,0,Science Signaling
15,2.559,BIOCHEM BIOPH RES CO,80,2,3,7,11,14,6,9,16,9,3,0,Science Signaling
16,9.130,CANCER RES,65,1,5,9,7,31,3,3,2,3,1,0,Science Signaling
17,4.539,J IMMUNOL,62,0,10,6,5,7,7,5,14,6,2,0,Science Signaling
18,6.491,CANCER LETT,51,0,4,4,10,11,1,7,10,4,0,0,Science Signaling
19,10.199,CLIN CANCER RES,49,0,7,3,3,24,4,2,1,5,0,0,Science Signaling
20,6.721,CELL MOL LIFE SCI,46,0,4,6,10,7,3,2,10,3,1,0,Science Signaling
21,3.677,FRONT PLANT SCI,46,0,7,2,5,7,5,4,5,11,0,0,Science Signaling
22,5.236,MOL CELL PROTEOMICS,46,0,5,6,4,10,2,8,6,4,1,0,Science Signaling
23,3.487,CELL SIGNAL,45,0,5,4,3,8,5,6,7,5,1,1,Science Signaling
24,,METHOD MOL BIOL,45,0,1,5,7,8,6,13,3,2,0,0,Science Signaling
25,31.398,CELL,44,0,11,6,4,4,2,6,8,3,0,0,Science Signaling
26,14.248,MOL CELL,44,1,1,6,9,8,4,6,6,3,0,0,Science Signaling
27,6.530,ANTIOXID REDOX SIGN,43,0,0,5,4,0,4,7,5,17,0,1,Science Signaling
28,3.718,CELL CALCIUM,43,0,6,9,2,10,2,4,4,6,0,0,Science Signaling
29,13.251,J CLIN INVEST,43,1,1,11,4,6,5,7,1,6,1,0,Science Signaling
30,11.561,NUCLEIC ACIDS RES,43,0,2,4,5,14,3,4,6,5,0,0,Science Signaling
31,4.540,J PHYSIOL-LONDON,42,1,2,6,9,3,6,3,5,4,2,1,Science Signaling
32,4.401,J CELL SCI,41,0,5,1,8,4,5,7,4,4,3,0,Science Signaling
33,4.894,J MOL BIOL,40,3,1,3,5,3,5,6,7,6,1,0,Science Signaling
34,3.955,PLOS COMPUT BIOL,38,0,3,1,5,7,7,3,8,4,0,0,Science Signaling
35,4.651,BBA-MOL CELL RES,36,1,4,6,5,6,5,2,2,3,2,0,Science Signaling
36,5.413,DEVELOPMENT,35,0,0,4,2,6,4,5,10,2,1,1,Science Signaling
37,6.020,FREE RADICAL BIO MED,34,0,2,3,1,3,4,4,6,8,3,0,Science Signaling
38,8.784,J CELL BIOL,34,0,2,5,3,8,5,5,3,1,2,0,Science Signaling
39,3.950,J PROTEOME RES,34,0,1,3,1,8,3,5,7,3,2,1,Science Signaling
40,5.540,PLOS GENET,33,2,2,2,3,7,5,2,4,4,2,0,Science Signaling
41,10.557,EMBO J,32,0,3,6,4,6,3,2,5,2,1,0,Science Signaling
