,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,26692,784,3129,4708,4785,3856,4352,2983,1606,448,0,41,Science Translational Medicine
2,,ALL OTHERS (1182),1182,10,120,182,181,135,216,157,132,46,0,3,Science Translational Medicine
3,4.122,SCI REP-UK,913,17,117,151,154,147,142,112,55,17,0,1,Science Translational Medicine
4,,ONCOTARGET,550,18,51,69,82,89,102,86,49,4,0,0,Science Translational Medicine
5,5.511,FRONT IMMUNOL,471,31,64,96,73,85,43,46,25,8,0,0,Science Translational Medicine
6,2.766,PLOS ONE,448,4,45,95,77,62,66,46,40,12,0,1,Science Translational Medicine
7,12.353,NAT COMMUN,307,10,40,69,51,47,45,26,17,2,0,0,Science Translational Medicine
8,9.504,P NATL ACAD SCI USA,201,6,29,36,32,29,28,26,11,4,0,0,Science Translational Medicine
9,16.710,SCI TRANSL MED,199,31,19,48,30,29,13,20,7,1,0,1,Science Translational Medicine
10,10.199,CLIN CANCER RES,180,1,13,50,38,27,29,14,7,1,0,0,Science Translational Medicine
11,3.687,INT J MOL SCI,167,7,13,30,40,16,27,22,12,0,0,0,Science Translational Medicine
12,15.132,BLOOD,152,7,34,37,24,17,16,10,6,1,0,0,Science Translational Medicine
13,4.539,J IMMUNOL,148,1,11,39,35,24,10,16,9,3,0,0,Science Translational Medicine
14,7.008,MOL THER,136,5,14,31,33,23,11,15,2,2,0,0,Science Translational Medicine
15,9.130,CANCER RES,130,2,9,39,22,19,17,17,5,0,0,0,Science Translational Medicine
16,13.660,ADV DRUG DELIVER REV,126,5,17,19,22,27,25,9,1,1,0,0,Science Translational Medicine
17,,JCI INSIGHT,126,1,11,25,24,25,9,20,9,2,0,0,Science Translational Medicine
18,4.368,J VIROL,124,2,12,43,35,5,13,8,5,1,0,0,Science Translational Medicine
19,5.503,ONCOIMMUNOLOGY,122,7,31,19,14,25,15,7,3,1,0,0,Science Translational Medicine
20,4.019,FRONT MICROBIOL,110,5,12,18,22,13,23,6,1,10,0,0,Science Translational Medicine
21,8.806,BIOMATERIALS,100,1,11,16,22,11,21,14,3,1,0,0,Science Translational Medicine
22,13.251,J CLIN INVEST,99,1,15,29,19,14,9,5,5,0,0,2,Science Translational Medicine
23,,NAT BIOMED ENG,98,3,17,25,17,16,4,11,4,1,0,0,Science Translational Medicine
24,31.398,CELL,94,7,12,17,13,20,11,11,3,0,0,0,Science Translational Medicine
25,9.217,IMMUNOL REV,90,4,12,23,24,11,7,4,2,3,0,0,Science Translational Medicine
26,13.930,ANN ONCOL,86,0,11,21,24,9,8,9,3,1,0,0,Science Translational Medicine
27,42.784,NAT REV CANCER,86,5,13,20,12,14,11,7,3,1,0,0,Science Translational Medicine
