,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,12433,267,1025,1364,1295,1228,1004,864,715,611,526,3534,Science Translational Medicine
2, ,ALL OTHERS (1055),1055,26,90,114,97,99,89,69,53,47,41,330,Science Translational Medicine
3,41.577,NATURE,461,6,35,55,63,45,40,39,30,13,19,116,Science Translational Medicine
4,9.504,P NATL ACAD SCI USA,411,4,22,21,31,45,43,35,22,21,18,149,Science Translational Medicine
5,41.058,SCIENCE,357,4,41,44,24,30,22,24,14,16,14,124,Science Translational Medicine
6,79.260,NEW ENGL J MED,270,5,30,36,32,25,19,14,19,17,8,65,Science Translational Medicine
7,15.132,BLOOD,243,3,14,13,26,21,19,20,17,9,9,92,Science Translational Medicine
8,2.766,PLOS ONE,217,1,12,28,36,41,38,22,18,11,6,4,Science Translational Medicine
9,31.398,CELL,213,10,20,33,28,19,14,12,7,12,7,51,Science Translational Medicine
10,16.710,SCI TRANSL MED,199,31,19,48,30,29,13,20,7,1,0,1,Science Translational Medicine
11,32.621,NAT MED,182,5,25,23,19,11,25,9,8,6,9,42,Science Translational Medicine
12,13.251,J CLIN INVEST,170,4,7,16,15,12,16,15,5,4,6,70,Science Translational Medicine
13,4.011,J BIOL CHEM,164,1,3,8,8,8,11,7,12,8,5,93,Science Translational Medicine
14,4.539,J IMMUNOL,153,1,1,13,11,13,5,15,9,13,9,63,Science Translational Medicine
15,9.130,CANCER RES,140,3,7,11,10,10,13,7,16,9,4,50,Science Translational Medicine
16,4.368,J VIROL,131,1,4,9,9,10,8,11,10,10,7,52,Science Translational Medicine
17,10.790,J EXP MED,108,0,2,4,14,11,5,8,12,5,5,42,Science Translational Medicine
18,53.254,LANCET,104,3,10,12,6,8,7,7,11,6,3,31,Science Translational Medicine
19,22.844,CANCER CELL,102,1,6,14,17,10,6,12,5,8,3,20,Science Translational Medicine
20,27.125,NAT GENET,101,2,6,9,6,16,10,8,4,3,5,32,Science Translational Medicine
21,10.199,CLIN CANCER RES,100,2,7,12,11,9,14,12,3,8,6,16,Science Translational Medicine
22,19.734,IMMUNITY,98,2,12,14,8,11,9,5,5,3,6,23,Science Translational Medicine
23,5.481,BIOINFORMATICS,93,1,3,9,14,6,9,8,14,17,0,12,Science Translational Medicine
24,11.561,NUCLEIC ACIDS RES,92,1,6,16,14,9,8,4,6,7,1,20,Science Translational Medicine
25,5.186,J INFECT DIS,89,2,5,12,13,7,1,9,5,2,1,32,Science Translational Medicine
26,18.881,CIRCULATION,84,0,8,5,3,9,4,9,6,3,3,34,Science Translational Medicine
27,35.724,NAT BIOTECHNOL,81,0,8,9,6,10,7,5,9,1,5,21,Science Translational Medicine
28,12.353,NAT COMMUN,80,8,17,22,20,9,3,1,0,0,0,0,Science Translational Medicine
29,5.971,J NEUROSCI,77,0,2,3,9,10,6,6,3,7,3,28,Science Translational Medicine
30,14.319,NEURON,74,1,5,9,8,15,7,8,3,0,2,16,Science Translational Medicine
31,26.360,J CLIN ONCOL,71,3,3,11,7,8,4,8,4,5,9,9,Science Translational Medicine
32,6.158,PLOS PATHOG,69,3,10,8,4,21,3,2,11,1,2,4,Science Translational Medicine
33,26.919,NAT METHODS,67,3,4,7,4,8,14,6,8,3,1,9,Science Translational Medicine
34,21.809,NAT IMMUNOL,66,0,7,6,7,7,4,8,6,4,0,17,Science Translational Medicine
35,42.784,NAT REV CANCER,63,1,7,7,5,5,6,5,4,5,9,9,Science Translational Medicine
36,23.290,CELL STEM CELL,58,3,7,6,10,10,7,1,3,5,4,2,Science Translational Medicine
37,24.373,CANCER DISCOV,53,3,10,8,9,7,11,5,0,0,0,0,Science Translational Medicine
38,7.008,MOL THER,53,4,5,4,3,7,1,7,4,0,4,14,Science Translational Medicine
39,4.069,AM J PATHOL,49,0,0,1,2,3,4,3,3,1,1,31,Science Translational Medicine
40,15.211,CIRC RES,48,0,4,5,8,8,2,1,1,0,3,16,Science Translational Medicine
41,41.982,NAT REV IMMUNOL,48,2,0,5,7,8,7,7,1,2,3,6,Science Translational Medicine
42,47.661,JAMA-J AM MED ASSOC,46,0,4,10,5,3,4,1,2,3,0,14,Science Translational Medicine
43,19.912,NAT NEUROSCI,46,0,5,7,5,6,5,6,2,3,2,5,Science Translational Medicine
44,4.122,SCI REP-UK,46,4,22,12,4,4,0,0,0,0,0,0,Science Translational Medicine
45,7.273,DIABETES,44,0,3,2,6,5,1,5,3,4,3,12,Science Translational Medicine
46,4.902,HUM MOL GENET,44,0,4,4,6,2,4,1,3,3,2,15,Science Translational Medicine
47,50.167,NAT REV DRUG DISCOV,44,1,7,9,3,4,3,2,3,3,1,8,Science Translational Medicine
48,20.773,GASTROENTEROLOGY,42,1,1,3,5,2,1,7,2,2,2,16,Science Translational Medicine
49,8.032,CELL REP,41,1,12,10,11,5,2,0,0,0,0,0,Science Translational Medicine
50,4.054,J CLIN MICROBIOL,41,0,2,2,1,2,2,1,0,3,5,23,Science Translational Medicine
51,12.423,NAT PROTOC,41,0,0,3,8,5,3,3,2,7,6,4,Science Translational Medicine
52,3.285,VACCINE,41,0,2,6,3,3,3,2,1,5,5,11,Science Translational Medicine
53,13.258,J ALLERGY CLIN IMMUN,39,1,7,3,4,3,5,4,5,2,0,5,Science Translational Medicine
54,13.214,GENOME BIOL,37,0,5,4,8,2,2,4,3,4,0,5,Science Translational Medicine
55,6.854,ONCOGENE,37,2,1,1,3,6,1,1,3,2,1,16,Science Translational Medicine
56,6.448,J INVEST DERMATOL,36,1,6,2,0,4,2,4,2,3,1,11,Science Translational Medicine
57,4.367,PLOS NEGLECT TROP D,36,0,7,8,1,5,6,4,2,2,1,0,Science Translational Medicine
58,9.117,CLIN INFECT DIS,34,0,5,2,5,2,1,5,0,2,4,8,Science Translational Medicine
59,8.784,J CELL BIOL,34,0,2,2,0,2,1,1,6,2,1,17,Science Translational Medicine
60,10.250,ANN NEUROL,33,0,1,4,1,2,2,2,1,3,2,15,Science Translational Medicine
61,16.834,J AM COLL CARDIOL,33,0,2,4,2,6,2,1,1,3,3,9,Science Translational Medicine
62,6.042,ANAL CHEM,31,1,1,0,2,5,3,7,4,1,2,5,Science Translational Medicine
63,6.086,ARTERIOSCL THROM VAS,31,0,3,4,5,2,3,1,4,0,0,9,Science Translational Medicine
64,5.365,MOL CANCER THER,31,2,3,4,5,1,4,1,2,3,2,4,Science Translational Medicine
65,14.248,MOL CELL,31,0,1,3,6,1,1,6,2,2,1,8,Science Translational Medicine
66, ,METHOD MOL BIOL,30,1,0,4,8,6,0,1,0,4,1,5,Science Translational Medicine
67,15.239,AM J RESP CRIT CARE,29,2,4,2,1,1,5,2,0,1,2,9,Science Translational Medicine
68,10.848,BRAIN,29,0,6,2,2,2,0,2,3,3,0,9,Science Translational Medicine
