,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,4525,319,916,1470,1477,338,0,0,0,0,0,5,Stem Cell Reports
2,,ALL OTHERS (409),409,29,83,133,136,27,0,0,0,0,0,1,Stem Cell Reports
3,6.537,STEM CELL REP,258,36,66,71,65,20,0,0,0,0,0,0,Stem Cell Reports
4,4.122,SCI REP-UK,210,11,52,60,71,16,0,0,0,0,0,0,Stem Cell Reports
5,2.766,PLOS ONE,86,1,18,32,29,6,0,0,0,0,0,0,Stem Cell Reports
6,5.413,DEVELOPMENT,80,4,23,21,26,6,0,0,0,0,0,0,Stem Cell Reports
7,,ONCOTARGET,80,8,12,31,24,5,0,0,0,0,0,0,Stem Cell Reports
8,23.290,CELL STEM CELL,79,9,21,23,23,3,0,0,0,0,0,0,Stem Cell Reports
9,12.353,NAT COMMUN,75,2,14,22,30,7,0,0,0,0,0,0,Stem Cell Reports
10,5.587,STEM CELLS,73,1,15,17,33,7,0,0,0,0,0,0,Stem Cell Reports
11,4.929,STEM CELL TRANSL MED,62,1,9,18,27,7,0,0,0,0,0,0,Stem Cell Reports
12,3.989,STEM CELLS INT,62,5,12,21,15,8,0,0,0,0,0,1,Stem Cell Reports
13,8.032,CELL REP,59,3,11,12,23,10,0,0,0,0,0,0,Stem Cell Reports
14,3.902,STEM CELL RES,55,1,16,16,19,3,0,0,0,0,0,0,Stem Cell Reports
15,4.963,STEM CELL RES THER,54,2,23,14,12,3,0,0,0,0,0,0,Stem Cell Reports
16,3.315,STEM CELLS DEV,50,2,14,19,13,2,0,0,0,0,0,0,Stem Cell Reports
17,4.995,CURR OPIN GENET DEV,47,2,14,18,8,5,0,0,0,0,0,0,Stem Cell Reports
18,3.174,PROG BRAIN RES,38,0,7,13,14,4,0,0,0,0,0,0,Stem Cell Reports
19,15.211,CIRC RES,35,1,9,4,18,3,0,0,0,0,0,0,Stem Cell Reports
20,9.504,P NATL ACAD SCI USA,35,1,7,12,10,5,0,0,0,0,0,0,Stem Cell Reports
21,1.184,JOVE-J VIS EXP,32,3,12,9,6,2,0,0,0,0,0,0,Stem Cell Reports
22,15.132,BLOOD,31,1,7,9,10,4,0,0,0,0,0,0,Stem Cell Reports
23,6.721,CELL MOL LIFE SCI,31,2,9,11,4,5,0,0,0,0,0,0,Stem Cell Reports
24,3.687,INT J MOL SCI,30,2,7,13,8,0,0,0,0,0,0,0,Stem Cell Reports
25,4.894,J MOL BIOL,30,0,12,7,4,7,0,0,0,0,0,0,Stem Cell Reports
26,3.262,DEV BIOL,29,2,2,13,9,3,0,0,0,0,0,0,Stem Cell Reports
27,7.616,ELIFE,28,4,2,3,12,7,0,0,0,0,0,0,Stem Cell Reports
28,2.992,REGEN MED,26,1,6,6,12,1,0,0,0,0,0,0,Stem Cell Reports
29,41.577,NATURE,25,1,5,8,8,3,0,0,0,0,0,0,Stem Cell Reports
30,6.383,ACTA BIOMATER,24,0,5,8,10,1,0,0,0,0,0,0,Stem Cell Reports
31,8.806,BIOMATERIALS,23,0,3,7,12,1,0,0,0,0,0,0,Stem Cell Reports
32,3.612,STEM CELL REV REP,23,1,3,5,12,2,0,0,0,0,0,0,Stem Cell Reports
33,3.125,BRAIN RES,21,0,0,7,13,1,0,0,0,0,0,0,Stem Cell Reports
34,13.251,J CLIN INVEST,20,1,2,10,4,3,0,0,0,0,0,0,Stem Cell Reports
35,13.660,ADV DRUG DELIVER REV,19,4,6,3,3,3,0,0,0,0,0,0,Stem Cell Reports
36,2.559,BIOCHEM BIOPH RES CO,19,3,3,11,2,0,0,0,0,0,0,0,Stem Cell Reports
37,4.011,J BIOL CHEM,19,1,6,6,3,3,0,0,0,0,0,0,Stem Cell Reports
38,5.660,MOL THER-NUCL ACIDS,19,2,1,9,5,2,0,0,0,0,0,0,Stem Cell Reports
39,6.086,ARTERIOSCL THROM VAS,18,7,2,4,3,2,0,0,0,0,0,0,Stem Cell Reports
40,9.616,DEV CELL,18,1,2,6,7,2,0,0,0,0,0,0,Stem Cell Reports
41,5.511,FRONT IMMUNOL,18,2,7,5,2,2,0,0,0,0,0,0,Stem Cell Reports
42,2.234,NEURAL REGEN RES,18,5,3,6,4,0,0,0,0,0,0,0,Stem Cell Reports
43,11.561,NUCLEIC ACIDS RES,18,0,4,8,6,0,0,0,0,0,0,0,Stem Cell Reports
44,11.021,TRENDS MOL MED,18,2,4,5,7,0,0,0,0,0,0,0,Stem Cell Reports
45,4.829,CELLS-BASEL,17,1,5,4,5,2,0,0,0,0,0,0,Stem Cell Reports
46,3.974,EXPERT OPIN BIOL TH,17,1,8,4,3,1,0,0,0,0,0,0,Stem Cell Reports
47,3.902,FRONT MOL NEUROSCI,17,4,4,3,6,0,0,0,0,0,0,0,Stem Cell Reports
48,,METHOD MOL BIOL,17,0,0,8,6,3,0,0,0,0,0,0,Stem Cell Reports
49,6.541,CURR OPIN NEUROBIOL,16,1,2,6,5,2,0,0,0,0,0,0,Stem Cell Reports
50,4.398,DIS MODEL MECH,16,1,2,8,4,1,0,0,0,0,0,0,Stem Cell Reports
51,19.064,NAT CELL BIOL,16,0,6,5,3,2,0,0,0,0,0,0,Stem Cell Reports
52,,BIORESEARCH OPEN ACC,15,0,1,9,5,0,0,0,0,0,0,0,Stem Cell Reports
53,12.423,NAT PROTOC,15,1,4,5,4,1,0,0,0,0,0,0,Stem Cell Reports
54,6.854,ONCOGENE,15,0,2,8,5,0,0,0,0,0,0,0,Stem Cell Reports
55,10.015,CURR OPIN CELL BIOL,14,1,4,3,6,0,0,0,0,0,0,0,Stem Cell Reports
56,2.436,EXP HEMATOL,14,0,3,7,4,0,0,0,0,0,0,0,Stem Cell Reports
57,2.959,J CELL BIOCHEM,14,5,3,3,2,1,0,0,0,0,0,0,Stem Cell Reports
58,5.076,MOL NEUROBIOL,14,0,1,6,7,0,0,0,0,0,0,0,Stem Cell Reports
59,4.235,BIOCHEM PHARMACOL,13,4,2,3,4,0,0,0,0,0,0,0,Stem Cell Reports
60,3.877,FRONT NEUROSCI-SWITZ,13,3,2,5,2,1,0,0,0,0,0,0,Stem Cell Reports
61,2.999,FEBS LETT,12,0,5,3,3,1,0,0,0,0,0,0,Stem Cell Reports
62,9.462,GENE DEV,12,2,1,6,0,3,0,0,0,0,0,0,Stem Cell Reports
63,4.902,HUM MOL GENET,12,1,3,5,3,0,0,0,0,0,0,0,Stem Cell Reports
64,35.724,NAT BIOTECHNOL,12,0,3,1,7,1,0,0,0,0,0,0,Stem Cell Reports
65,2.885,CELL TRANSPLANT,11,0,4,0,5,2,0,0,0,0,0,0,Stem Cell Reports
66,3.993,CYTOTHERAPY,11,1,1,6,3,0,0,0,0,0,0,0,Stem Cell Reports
67,4.300,FRONT CELL NEUROSCI,11,2,0,3,6,0,0,0,0,0,0,0,Stem Cell Reports
68,2.687,MAMM GENOME,11,1,3,3,3,1,0,0,0,0,0,0,Stem Cell Reports
69,5.227,NEUROBIOL DIS,11,2,2,3,3,1,0,0,0,0,0,0,Stem Cell Reports
70,6.228,PROTEIN CELL,11,2,1,5,2,1,0,0,0,0,0,0,Stem Cell Reports
71,3.508,TISSUE ENG,11,2,0,4,5,0,0,0,0,0,0,0,Stem Cell Reports
72,2.217,BIOL OPEN,10,1,1,3,4,1,0,0,0,0,0,0,Stem Cell Reports
73,9.130,CANCER RES,10,0,0,4,5,1,0,0,0,0,0,0,Stem Cell Reports
74,31.398,CELL,10,0,1,4,5,0,0,0,0,0,0,0,Stem Cell Reports
75,2.688,DIFFERENTIATION,10,1,1,2,4,2,0,0,0,0,0,0,Stem Cell Reports
76,10.293,EMBO MOL MED,10,1,2,2,5,0,0,0,0,0,0,0,Stem Cell Reports
77,4.401,J CELL SCI,10,1,1,4,3,1,0,0,0,0,0,0,Stem Cell Reports
78,4.938,J MOL MED,10,0,4,4,2,0,0,0,0,0,0,0,Stem Cell Reports
79,4.089,J TISSUE ENG REGEN M,10,0,0,4,5,1,0,0,0,0,0,0,Stem Cell Reports
80,5.540,PLOS GENET,10,0,1,5,4,0,0,0,0,0,0,0,Stem Cell Reports
81,5.638,CELL DEATH DIS,9,3,1,2,3,0,0,0,0,0,0,0,Stem Cell Reports
82,3.043,CELL TISSUE RES,9,0,0,8,0,1,0,0,0,0,0,0,Stem Cell Reports
83,1.958,CURR CARDIOL REP,9,0,1,2,5,1,0,0,0,0,0,0,Stem Cell Reports
84,23.425,EUR HEART J,9,0,0,2,6,1,0,0,0,0,0,0,Stem Cell Reports
85,3.388,INVEST OPHTH VIS SCI,9,1,3,2,3,0,0,0,0,0,0,0,Stem Cell Reports
86,3.923,J CELL PHYSIOL,9,0,2,1,3,3,0,0,0,0,0,0,Stem Cell Reports
87,,JCI INSIGHT,9,0,1,3,3,2,0,0,0,0,0,0,Stem Cell Reports
88,0.882,KLIN MONATSBL AUGENH,9,1,3,2,3,0,0,0,0,0,0,0,Stem Cell Reports
89,7.008,MOL THER,9,0,3,5,1,0,0,0,0,0,0,0,Stem Cell Reports
90,39.235,NAT MATER,9,2,1,5,1,0,0,0,0,0,0,0,Stem Cell Reports
91,3.603,NEUROCHEM INT,9,3,3,3,0,0,0,0,0,0,0,0,Stem Cell Reports
92,,NPJ REGEN MED,9,3,0,3,3,0,0,0,0,0,0,0,Stem Cell Reports
93,9.163,PLOS BIOL,9,0,1,3,3,2,0,0,0,0,0,0,Stem Cell Reports
94,,RESULTS PROBL CELL D,9,0,2,4,3,0,0,0,0,0,0,0,Stem Cell Reports
