,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,13247,215,937,1147,1306,1244,1064,955,877,815,726,3961,Stem Cell Reports
2, ,ALL OTHERS (650),650,10,63,59,64,58,52,38,34,43,33,196,Stem Cell Reports
3,41.577,NATURE,783,13,38,53,67,55,60,83,62,71,47,234,Stem Cell Reports
4,23.290,CELL STEM CELL,627,14,46,64,94,85,92,53,63,44,61,11,Stem Cell Reports
5,31.398,CELL,528,6,12,32,32,42,39,32,28,31,56,218,Stem Cell Reports
6,9.504,P NATL ACAD SCI USA,498,2,15,19,22,46,45,40,39,42,20,208,Stem Cell Reports
7,5.413,DEVELOPMENT,363,11,12,35,29,30,12,28,16,22,19,149,Stem Cell Reports
8,41.058,SCIENCE,308,3,16,13,27,35,17,8,16,21,8,144,Stem Cell Reports
9,2.766,PLOS ONE,299,0,14,33,55,59,38,40,34,14,7,5,Stem Cell Reports
10,5.587,STEM CELLS,294,4,20,34,19,33,36,22,22,24,27,53,Stem Cell Reports
11,6.537,STEM CELL REP,258,36,66,71,65,20,0,0,0,0,0,0,Stem Cell Reports
12,35.724,NAT BIOTECHNOL,235,2,6,26,25,14,8,39,11,23,22,59,Stem Cell Reports
13,5.971,J NEUROSCI,218,0,7,10,13,11,17,18,17,19,15,91,Stem Cell Reports
14,4.011,J BIOL CHEM,203,1,4,8,12,13,8,13,14,17,5,108,Stem Cell Reports
15,15.132,BLOOD,196,0,6,13,4,10,16,15,15,14,13,90,Stem Cell Reports
16,9.462,GENE DEV,194,0,8,14,13,13,7,19,15,10,12,83,Stem Cell Reports
17,14.319,NEURON,150,3,16,4,16,23,2,13,4,3,10,56,Stem Cell Reports
18,3.262,DEV BIOL,139,1,7,7,7,7,5,9,9,3,8,76,Stem Cell Reports
19,12.353,NAT COMMUN,136,3,40,31,30,17,11,4,0,0,0,0,Stem Cell Reports
20,8.032,CELL REP,135,4,31,35,23,27,15,0,0,0,0,0,Stem Cell Reports
21,27.125,NAT GENET,123,2,3,3,2,5,5,3,6,6,9,79,Stem Cell Reports
22,19.912,NAT NEUROSCI,118,4,12,6,10,9,7,3,11,10,7,39,Stem Cell Reports
