,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,13708,265,1226,1540,1303,780,916,1053,667,728,590,4640,TRENDS IN CELL BIOLOGY
2,,ALL OTHERS (833),833,3,53,61,61,36,49,55,41,46,39,389,TRENDS IN CELL BIOLOGY
3,4.122,SCI REP-UK,579,14,46,55,49,32,39,46,30,30,32,206,TRENDS IN CELL BIOLOGY
4,,ONCOTARGET,383,4,19,56,30,9,29,45,22,17,22,130,TRENDS IN CELL BIOLOGY
5,2.766,PLOS ONE,289,2,16,28,28,13,19,22,20,11,16,114,TRENDS IN CELL BIOLOGY
6,12.353,NAT COMMUN,253,6,21,30,31,14,27,29,9,23,12,51,TRENDS IN CELL BIOLOGY
7,4.011,J BIOL CHEM,169,3,11,17,15,3,9,10,11,11,9,70,TRENDS IN CELL BIOLOGY
8,3.687,INT J MOL SCI,162,5,19,15,9,5,17,12,11,9,8,52,TRENDS IN CELL BIOLOGY
9,7.616,ELIFE,156,6,18,24,4,7,16,24,8,3,7,39,TRENDS IN CELL BIOLOGY
10,9.504,P NATL ACAD SCI USA,148,3,11,21,18,8,12,11,10,9,6,39,TRENDS IN CELL BIOLOGY
11,4.401,J CELL SCI,133,7,12,11,14,9,11,11,7,7,4,40,TRENDS IN CELL BIOLOGY
12,3.512,MOL BIOL CELL,127,8,10,14,8,11,10,9,7,5,5,40,TRENDS IN CELL BIOLOGY
13,8.784,J CELL BIOL,118,6,14,12,12,7,12,11,7,5,5,27,TRENDS IN CELL BIOLOGY
14,8.032,CELL REP,98,2,13,16,20,8,4,3,4,3,6,19,TRENDS IN CELL BIOLOGY
15,2.559,BIOCHEM BIOPH RES CO,97,1,9,7,5,5,3,12,4,5,5,41,TRENDS IN CELL BIOLOGY
16,6.721,CELL MOL LIFE SCI,90,2,10,14,13,8,6,1,3,3,2,28,TRENDS IN CELL BIOLOGY
17,11.561,NUCLEIC ACIDS RES,76,1,8,8,11,5,3,6,5,8,4,17,TRENDS IN CELL BIOLOGY
18,5.511,FRONT IMMUNOL,71,2,3,9,8,3,9,2,3,4,6,22,TRENDS IN CELL BIOLOGY
19,4.651,BBA-MOL CELL RES,68,2,17,3,9,2,7,2,1,5,1,19,TRENDS IN CELL BIOLOGY
20,9.616,DEV CELL,67,7,7,11,7,1,8,3,8,3,2,10,TRENDS IN CELL BIOLOGY
21,5.540,PLOS GENET,66,1,6,5,8,5,3,6,2,4,8,18,TRENDS IN CELL BIOLOGY
22,3.309,EXP CELL RES,63,0,5,5,4,5,8,7,3,4,0,22,TRENDS IN CELL BIOLOGY
23,10.557,EMBO J,62,0,17,10,11,9,2,4,1,2,0,6,TRENDS IN CELL BIOLOGY
24,6.854,ONCOGENE,62,0,7,13,6,2,5,5,5,1,1,17,TRENDS IN CELL BIOLOGY
25,18.564,TRENDS CELL BIOL,62,3,9,15,15,4,5,0,1,2,2,6,TRENDS IN CELL BIOLOGY
26,,METHOD MOL BIOL,61,0,3,7,11,3,4,1,1,5,3,23,TRENDS IN CELL BIOLOGY
27,6.138,SEMIN CELL DEV BIOL,58,0,8,5,8,3,6,4,4,0,6,14,TRENDS IN CELL BIOLOGY
28,1.664,ONCOL LETT,56,0,1,3,2,5,3,8,3,4,0,27,TRENDS IN CELL BIOLOGY
29,14.248,MOL CELL,55,2,14,5,11,0,5,3,5,2,2,6,TRENDS IN CELL BIOLOGY
30,11.100,AUTOPHAGY,54,0,13,10,7,1,4,4,7,1,1,6,TRENDS IN CELL BIOLOGY
31,1.922,MOL MED REP,53,1,1,5,1,4,2,7,3,0,4,25,TRENDS IN CELL BIOLOGY
32,9.247,CSH PERSPECT BIOL,52,0,3,7,4,6,1,4,6,1,4,16,TRENDS IN CELL BIOLOGY
33,9.251,CURR BIOL,52,2,4,4,9,8,7,5,4,2,0,7,TRENDS IN CELL BIOLOGY
34,5.413,DEVELOPMENT,52,0,6,10,2,3,8,4,5,1,3,10,TRENDS IN CELL BIOLOGY
35,3.902,FRONT MOL NEUROSCI,49,1,7,2,4,11,2,3,3,1,2,13,TRENDS IN CELL BIOLOGY
36,3.677,FRONT PLANT SCI,49,3,4,2,5,2,0,2,0,2,6,23,TRENDS IN CELL BIOLOGY
37,3.495,BIOPHYS J,48,1,3,5,1,5,7,8,2,4,1,11,TRENDS IN CELL BIOLOGY
38,3.304,CELL CYCLE,48,2,1,9,5,5,1,3,1,5,3,13,TRENDS IN CELL BIOLOGY
39,5.638,CELL DEATH DIS,48,0,6,10,2,3,1,4,5,1,6,10,TRENDS IN CELL BIOLOGY
40,3.262,DEV BIOL,48,1,9,2,6,5,0,3,5,1,3,13,TRENDS IN CELL BIOLOGY
41,31.398,CELL,46,1,12,12,7,2,1,0,3,1,0,7,TRENDS IN CELL BIOLOGY
42,3.394,FRONT PHYSIOL,46,3,4,5,4,3,2,3,2,2,0,18,TRENDS IN CELL BIOLOGY
