,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6846,202,789,836,722,616,559,453,364,361,272,1672,TRENDS IN CELL BIOLOGY
2, ,ALL OTHERS (325),325,11,36,40,38,33,25,20,13,12,12,85,TRENDS IN CELL BIOLOGY
3,31.398,CELL,416,6,44,39,32,40,39,39,19,21,18,119,TRENDS IN CELL BIOLOGY
4,41.577,NATURE,402,26,41,56,33,30,26,28,22,19,15,106,TRENDS IN CELL BIOLOGY
5,8.784,J CELL BIOL,318,7,32,31,30,24,23,12,23,17,11,108,TRENDS IN CELL BIOLOGY
6,9.504,P NATL ACAD SCI USA,292,14,24,27,25,20,22,21,15,15,24,85,TRENDS IN CELL BIOLOGY
7,41.058,SCIENCE,284,8,33,24,21,22,19,15,17,24,10,91,TRENDS IN CELL BIOLOGY
8,4.011,J BIOL CHEM,239,0,12,21,16,20,7,19,17,20,11,96,TRENDS IN CELL BIOLOGY
9,19.064,NAT CELL BIOL,175,4,16,27,15,11,15,22,14,9,9,33,TRENDS IN CELL BIOLOGY
10,14.248,MOL CELL,144,4,19,15,16,12,11,11,10,12,7,27,TRENDS IN CELL BIOLOGY
11,4.401,J CELL SCI,135,1,13,13,9,12,13,6,7,10,5,46,TRENDS IN CELL BIOLOGY
12,35.612,NAT REV MOL CELL BIO,132,4,15,13,13,12,12,7,16,20,5,15,TRENDS IN CELL BIOLOGY
13,9.251,CURR BIOL,124,4,8,7,18,12,10,7,7,7,5,39,TRENDS IN CELL BIOLOGY
14,9.616,DEV CELL,120,3,11,17,19,10,10,6,6,3,6,29,TRENDS IN CELL BIOLOGY
15,10.557,EMBO J,114,1,8,12,9,4,10,7,9,7,4,43,TRENDS IN CELL BIOLOGY
16,3.512,MOL BIOL CELL,105,3,10,12,8,8,9,7,4,8,6,30,TRENDS IN CELL BIOLOGY
17,12.353,NAT COMMUN,103,5,29,31,21,9,3,4,1,0,0,0,TRENDS IN CELL BIOLOGY
18,8.032,CELL REP,90,3,22,27,21,11,6,0,0,0,0,0,TRENDS IN CELL BIOLOGY
19,2.766,PLOS ONE,78,1,4,5,8,10,17,15,5,7,3,3,TRENDS IN CELL BIOLOGY
20,9.462,GENE DEV,77,2,7,8,7,8,5,4,4,4,2,26,TRENDS IN CELL BIOLOGY
21,7.616,ELIFE,70,1,23,24,14,8,0,0,0,0,0,0,TRENDS IN CELL BIOLOGY
22,18.564,TRENDS CELL BIOL,62,3,9,15,15,4,5,0,1,2,2,6,TRENDS IN CELL BIOLOGY
23,5.413,DEVELOPMENT,60,1,6,6,8,9,2,4,2,1,4,17,TRENDS IN CELL BIOLOGY
24,3.813,MOL CELL BIOL,60,2,2,3,7,3,5,4,2,4,4,24,TRENDS IN CELL BIOLOGY
25,10.015,CURR OPIN CELL BIOL,57,1,6,14,8,11,4,3,3,1,3,3,TRENDS IN CELL BIOLOGY
26,20.565,CELL METAB,55,2,9,13,9,5,6,3,1,1,5,1,TRENDS IN CELL BIOLOGY
27,5.971,J NEUROSCI,54,0,2,2,9,3,0,3,4,6,3,22,TRENDS IN CELL BIOLOGY
28,14.319,NEURON,47,2,3,4,1,7,5,2,3,2,2,16,TRENDS IN CELL BIOLOGY
29,27.125,NAT GENET,44,1,1,3,1,5,3,5,2,2,5,16,TRENDS IN CELL BIOLOGY
30,11.561,NUCLEIC ACIDS RES,44,1,9,5,9,2,3,1,0,1,2,11,TRENDS IN CELL BIOLOGY
31,6.854,ONCOGENE,44,2,6,5,5,3,3,4,2,0,1,13,TRENDS IN CELL BIOLOGY
32,4.122,SCI REP-UK,43,2,18,18,5,0,0,0,0,0,0,0,TRENDS IN CELL BIOLOGY
33,9.130,CANCER RES,41,1,2,9,0,2,4,3,1,2,1,16,TRENDS IN CELL BIOLOGY
34,9.247,CSH PERSPECT BIOL,41,2,6,6,6,11,3,5,2,0,0,0,TRENDS IN CELL BIOLOGY
35,13.251,J CLIN INVEST,38,1,2,8,4,5,2,2,1,1,1,11,TRENDS IN CELL BIOLOGY
36,9.163,PLOS BIOL,38,0,1,3,4,2,2,4,5,1,2,14,TRENDS IN CELL BIOLOGY
37,23.290,CELL STEM CELL,36,3,7,3,3,4,10,2,1,1,2,0,TRENDS IN CELL BIOLOGY
38,15.678,TRENDS BIOCHEM SCI,35,1,5,4,5,3,2,4,0,2,0,9,TRENDS IN CELL BIOLOGY
39,9.032,ANNU REV CELL DEV BI,34,0,2,3,3,3,5,5,3,2,0,8,TRENDS IN CELL BIOLOGY
40,4.902,HUM MOL GENET,34,0,3,3,2,3,3,3,3,3,2,9,TRENDS IN CELL BIOLOGY
41,5.540,PLOS GENET,34,0,6,4,2,7,3,5,1,3,0,3,TRENDS IN CELL BIOLOGY
