Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,708",18.564,18.402,15.211,3.581,74,6.8,5.5,0.038,7.205,0.00,4.39400,96.05300,TRENDS IN CELL BIOLOGY
2016,"12,503",15.333,15.192,13.305,4.419,74,7.0,5.2,0.03514,6.264,0.00,4.02849,95.00000,TRENDS IN CELL BIOLOGY
2015,"11,479",11.532,11.442,11.453,3.987,75,7.1,5.1,0.03244,5.431,0.00,3.69795,93.31600,TRENDS IN CELL BIOLOGY
2014,"11,481",12.007,11.912,12.140,3.037,81,7.1,5.1,0.03474,5.581,1.23,3.89063,92.66300,TRENDS IN CELL BIOLOGY
2013,"11,144",12.314,12.176,11.742,1.947,75,7.0,5.0,0.03867,5.861,0.00,4.26225,93.78400,TRENDS IN CELL BIOLOGY
2012,"11,039",11.721,11.575,12.095,2.324,74,6.6,4.5,0.04317,6.196,0.00,Not Available,92.70300,TRENDS IN CELL BIOLOGY
2011,"10,684",12.354,12.234,12.481,2.565,85,6.2,4.7,0.04701,6.523,0.00,Not Available,93.09400,TRENDS IN CELL BIOLOGY
2010,"10,653",12.140,11.987,12.997,2.275,80,6.0,4.6,0.0526,6.795,1.25,Not Available,91.85400,TRENDS IN CELL BIOLOGY
2009,"10,222",12.115,12.006,12.642,1.795,78,5.6,4.3,0.06093,6.904,1.28,Not Available,92.90100,TRENDS IN CELL BIOLOGY
2008,"9,681",13.385,13.301,12.503,1.785,79,5.2,4.3,0.06842,7.130,18.99,Not Available,94.58600,TRENDS IN CELL BIOLOGY
2007,"9,072",13.527,13.436,12.351,2.403,77,4.9,3.8,0.07053,7.105,2.60,Not Available,95.19200,TRENDS IN CELL BIOLOGY
2006,"8,847",12.429,12.243,Not Available,2.025,79,4.8,3.7,Not Available,Not Available,7.59,Not Available,93.26900,TRENDS IN CELL BIOLOGY
2005,"8,511",11.791,11.628,Not Available,1.779,86,4.6,3.9,Not Available,Not Available,36.05,Not Available,93.79100,TRENDS IN CELL BIOLOGY
2004,"8,197",14.327,14.176,Not Available,1.792,96,4.1,3.7,Not Available,Not Available,35.42,Not Available,94.51600,TRENDS IN CELL BIOLOGY
2003,"7,658",19.612,19.323,Not Available,2.170,88,3.7,3.4,Not Available,Not Available,31.82,Not Available,96.47400,TRENDS IN CELL BIOLOGY
2002,"7,180",19.880,19.669,Not Available,2.577,71,3.4,3.0,Not Available,Not Available,32.39,Not Available,97.05900,TRENDS IN CELL BIOLOGY
2001,"6,505",18.135,17.945,Not Available,3.809,68,3.2,2.8,Not Available,Not Available,26.47,Not Available,95.57800,TRENDS IN CELL BIOLOGY
2000,"6,116",18.815,18.662,Not Available,3.797,74,2.9,2.9,Not Available,Not Available,31.08,Not Available,96.93900,TRENDS IN CELL BIOLOGY
1999,"5,180",14.149,13.959,Not Available,3.041,74,2.9,2.7,Not Available,Not Available,83.78,Not Available,96.09900,TRENDS IN CELL BIOLOGY
1998,"4,755",11.935,11.694,Not Available,3.446,83,3.1,2.9,Not Available,Not Available,95.18,Not Available,93.16500,TRENDS IN CELL BIOLOGY
1997,"3,814",10.814,10.608,Not Available,2.473,91,2.9,2.5,Not Available,Not Available,92.31,Not Available,94.23100,TRENDS IN CELL BIOLOGY
