,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,25391,230,931,1247,1281,1678,2034,1966,1420,1351,1157,12096,TRENDS IN COGNITIVE SCIENCES
2,,ALL OTHERS (1253),1253,8,28,43,43,67,68,97,64,75,51,709,TRENDS IN COGNITIVE SCIENCES
3,4.122,SCI REP-UK,951,17,44,56,46,80,71,74,52,44,34,433,TRENDS IN COGNITIVE SCIENCES
4,,FRONT PSYCHOL,937,11,40,32,54,36,78,57,40,57,39,493,TRENDS IN COGNITIVE SCIENCES
5,5.426,NEUROIMAGE,755,6,39,35,36,76,62,60,66,32,31,312,TRENDS IN COGNITIVE SCIENCES
6,2.766,PLOS ONE,639,4,11,27,32,41,42,32,30,32,30,358,TRENDS IN COGNITIVE SCIENCES
7,5.971,J NEUROSCI,454,8,28,45,33,42,41,31,36,15,25,150,TRENDS IN COGNITIVE SCIENCES
8,2.871,FRONT HUM NEUROSCI,442,7,13,22,28,39,44,36,22,19,17,195,TRENDS IN COGNITIVE SCIENCES
9,2.889,NEUROPSYCHOLOGIA,442,2,20,18,19,32,31,37,17,30,16,220,TRENDS IN COGNITIVE SCIENCES
10,6.308,CEREB CORTEX,400,1,7,18,19,51,40,41,23,17,21,162,TRENDS IN COGNITIVE SCIENCES
11,8.037,NEUROSCI BIOBEHAV R,400,3,26,32,15,28,34,44,21,21,25,151,TRENDS IN COGNITIVE SCIENCES
12,4.927,HUM BRAIN MAPP,337,4,10,21,15,48,21,36,23,12,10,137,TRENDS IN COGNITIVE SCIENCES
13,4.907,CORTEX,317,0,5,18,13,31,32,28,13,11,11,155,TRENDS IN COGNITIVE SCIENCES
14,3.500,SOC COGN AFFECT NEUR,312,2,19,13,12,18,30,42,9,22,12,133,TRENDS IN COGNITIVE SCIENCES
15,3.468,J COGNITIVE NEUROSCI,297,2,9,19,14,19,36,18,14,16,17,133,TRENDS IN COGNITIVE SCIENCES
16,,COGNITION,291,0,18,12,11,21,20,17,13,16,17,146,TRENDS IN COGNITIVE SCIENCES
17,15.557,TRENDS COGN SCI,268,31,28,32,20,17,20,15,11,9,12,73,TRENDS IN COGNITIVE SCIENCES
18,,CONSCIOUS COGN,264,1,13,21,18,8,17,21,4,20,17,124,TRENDS IN COGNITIVE SCIENCES
19,9.504,P NATL ACAD SCI USA,227,5,14,15,14,18,15,20,18,21,10,77,TRENDS IN COGNITIVE SCIENCES
20,3.877,FRONT NEUROSCI-SWITZ,202,2,14,12,9,16,17,10,11,9,5,97,TRENDS IN COGNITIVE SCIENCES
