,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8250,340,863,756,690,598,561,458,416,382,314,2872,TRENDS IN COGNITIVE SCIENCES
2, ,ALL OTHERS (1054),1054,45,91,80,60,62,61,42,46,31,31,505,TRENDS IN COGNITIVE SCIENCES
3,9.504,P NATL ACAD SCI USA,368,8,47,33,38,28,37,29,27,21,10,90,TRENDS IN COGNITIVE SCIENCES
4,5.971,J NEUROSCI,352,7,31,38,32,31,29,30,33,29,13,79,TRENDS IN COGNITIVE SCIENCES
5,15.557,TRENDS COGN SCI,268,31,28,32,20,17,20,15,11,9,12,73,TRENDS IN COGNITIVE SCIENCES
6,5.426,NEUROIMAGE,258,18,28,20,25,28,29,24,17,10,9,50,TRENDS IN COGNITIVE SCIENCES
7,41.058,SCIENCE,256,7,17,13,10,15,9,18,13,10,18,126,TRENDS IN COGNITIVE SCIENCES
8,14.319,NEURON,211,1,24,29,30,22,23,16,10,4,5,47,TRENDS IN COGNITIVE SCIENCES
9,19.912,NAT NEUROSCI,182,7,16,20,21,18,13,11,5,6,6,59,TRENDS IN COGNITIVE SCIENCES
10,41.577,NATURE,164,2,11,10,7,9,6,4,8,10,8,89,TRENDS IN COGNITIVE SCIENCES
11,6.308,CEREB CORTEX,152,11,31,22,8,6,9,5,11,5,8,36,TRENDS IN COGNITIVE SCIENCES
12,32.635,NAT REV NEUROSCI,124,5,7,10,10,7,10,3,13,13,5,41,TRENDS IN COGNITIVE SCIENCES
13,2.766,PLOS ONE,112,4,10,14,7,25,23,10,9,6,4,0,TRENDS IN COGNITIVE SCIENCES
14, ,PSYCHOL SCI,102,2,10,9,8,10,6,9,5,7,4,32,TRENDS IN COGNITIVE SCIENCES
15,2.889,NEUROPSYCHOLOGIA,99,1,6,5,12,4,4,9,4,3,3,48,TRENDS IN COGNITIVE SCIENCES
16,10.848,BRAIN,95,3,7,5,6,3,7,4,5,4,4,47,TRENDS IN COGNITIVE SCIENCES
17,3.468,J COGNITIVE NEUROSCI,95,5,4,9,9,9,11,10,6,4,3,25,TRENDS IN COGNITIVE SCIENCES
18,7.230,PSYCHOL REV,90,1,2,0,2,3,0,3,3,8,0,68,TRENDS IN COGNITIVE SCIENCES
19,9.251,CURR BIOL,84,5,7,9,13,11,5,6,5,4,3,16,TRENDS IN COGNITIVE SCIENCES
