Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"25,391",15.557,15.128,22.838,3.239,71,9.5,6.7,0.041,9.424,0.00,4.76100,99.03000,TRENDS IN COGNITIVE SCIENCES
2016,"23,273",15.402,14.969,23.659,3.265,68,9.1,5.8,0.04629,10.449,0.00,5.31227,99.02400,TRENDS IN COGNITIVE SCIENCES
2015,"21,382",17.850,17.283,23.872,2.444,72,8.6,5.8,0.04719,10.507,0.00,5.37874,98.49800,TRENDS IN COGNITIVE SCIENCES
2014,"20,396",21.965,21.464,22.500,3.150,60,8.3,5.5,0.04585,9.498,0.00,5.13500,99.27900,TRENDS IN COGNITIVE SCIENCES
2013,"18,076",21.147,20.758,18.920,2.983,60,7.9,5.3,0.04375,8.363,0.00,4.82248,99.12800,TRENDS IN COGNITIVE SCIENCES
2012,"15,717",16.008,15.414,16.845,4.056,54,7.3,5.0,0.04707,8.022,0.00,Not Available,98.31600,TRENDS IN COGNITIVE SCIENCES
2011,"13,558",12.586,12.281,14.857,2.468,62,6.8,4.6,0.0467,7.133,0.00,Not Available,97.73500,TRENDS IN COGNITIVE SCIENCES
2010,"11,991",9.686,9.386,14.015,1.984,61,6.3,5.5,0.04877,6.479,0.00,Not Available,97.28800,TRENDS IN COGNITIVE SCIENCES
2009,"11,626",11.664,11.397,15.591,2.134,67,5.8,5.4,0.05706,7.140,0.00,Not Available,97.52800,TRENDS IN COGNITIVE SCIENCES
2008,"9,143",10.981,10.559,13.826,1.086,70,5.3,5.8,0.05323,6.320,0.00,Not Available,97.57000,TRENDS IN COGNITIVE SCIENCES
2007,"7,525",9.389,9.080,12.421,1.513,76,4.9,4.9,0.0512,6.067,21.05,Not Available,97.31500,TRENDS IN COGNITIVE SCIENCES
2006,"5,965",9.374,9.006,Not Available,1.566,83,4.6,4.9,Not Available,Not Available,7.23,Not Available,96.98800,TRENDS IN COGNITIVE SCIENCES
2005,"4,597",9.155,8.627,Not Available,1.250,92,4.8,5.1,Not Available,Not Available,0.00,Not Available,96.98100,TRENDS IN COGNITIVE SCIENCES
2004,"3,580",7.992,7.528,Not Available,1.012,84,4.3,5.1,Not Available,Not Available,0.00,Not Available,97.74900,TRENDS IN COGNITIVE SCIENCES
2003,"2,720",7.528,6.877,Not Available,0.952,105,3.7,5.4,Not Available,Not Available,0.00,Not Available,96.39700,TRENDS IN COGNITIVE SCIENCES
2002,"1,799",8.129,7.623,Not Available,1.271,59,3.3,5.9,Not Available,Not Available,0.00,Not Available,96.68900,TRENDS IN COGNITIVE SCIENCES
2001,"1,465",11.606,10.704,Not Available,1.298,47,2.7,5.5,Not Available,Not Available,0.00,Not Available,97.19500,TRENDS IN COGNITIVE SCIENCES
