,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,9213,145,665,922,940,741,869,723,623,402,569,2614,TRENDS IN MOLECULAR MEDICINE
2,,ALL OTHERS (1103),1103,18,70,97,105,52,126,81,83,40,70,361,TRENDS IN MOLECULAR MEDICINE
3,4.122,SCI REP-UK,354,8,27,29,39,25,30,30,26,17,28,95,TRENDS IN MOLECULAR MEDICINE
4,,ONCOTARGET,274,3,11,27,38,20,17,17,26,7,21,87,TRENDS IN MOLECULAR MEDICINE
5,2.766,PLOS ONE,212,2,18,16,22,8,19,19,17,6,23,62,TRENDS IN MOLECULAR MEDICINE
6,3.687,INT J MOL SCI,132,2,9,9,19,10,15,13,5,8,2,40,TRENDS IN MOLECULAR MEDICINE
7,5.511,FRONT IMMUNOL,115,5,20,7,8,20,12,5,10,5,8,15,TRENDS IN MOLECULAR MEDICINE
8,12.353,NAT COMMUN,61,0,1,12,6,7,6,3,7,0,3,16,TRENDS IN MOLECULAR MEDICINE
9,3.457,BIOMED PHARMACOTHER,55,0,4,3,7,4,4,5,5,0,6,17,TRENDS IN MOLECULAR MEDICINE
10,2.559,BIOCHEM BIOPH RES CO,50,0,6,4,6,1,6,1,3,4,2,17,TRENDS IN MOLECULAR MEDICINE
11,1.664,ONCOL LETT,45,0,1,2,7,6,2,1,2,1,5,18,TRENDS IN MOLECULAR MEDICINE
12,1.922,MOL MED REP,43,1,2,2,3,3,3,4,5,5,3,12,TRENDS IN MOLECULAR MEDICINE
13,6.854,ONCOGENE,42,1,1,5,5,6,6,3,2,0,1,12,TRENDS IN MOLECULAR MEDICINE
14,4.011,J BIOL CHEM,41,0,3,5,5,4,7,1,4,0,3,9,TRENDS IN MOLECULAR MEDICINE
15,5.076,MOL NEUROBIOL,41,0,1,0,2,7,2,2,0,3,8,16,TRENDS IN MOLECULAR MEDICINE
16,5.638,CELL DEATH DIS,35,0,2,3,4,4,3,1,3,3,2,10,TRENDS IN MOLECULAR MEDICINE
17,3.831,FRONT PHARMACOL,34,1,5,5,1,4,2,0,2,2,2,10,TRENDS IN MOLECULAR MEDICINE
18,9.504,P NATL ACAD SCI USA,34,1,5,5,4,2,2,5,3,1,1,5,TRENDS IN MOLECULAR MEDICINE
19,2.757,CURR PHARM DESIGN,33,1,2,2,0,0,4,4,2,0,2,16,TRENDS IN MOLECULAR MEDICINE
20,3.098,MOLECULES,32,1,4,1,2,1,2,4,0,1,1,15,TRENDS IN MOLECULAR MEDICINE
21,6.721,CELL MOL LIFE SCI,31,1,1,4,2,6,5,4,1,1,2,4,TRENDS IN MOLECULAR MEDICINE
22,3.476,J ALZHEIMERS DIS,31,0,0,2,1,2,0,1,1,3,9,12,TRENDS IN MOLECULAR MEDICINE
23,6.020,FREE RADICAL BIO MED,30,1,1,0,0,2,2,2,0,2,2,18,TRENDS IN MOLECULAR MEDICINE
24,9.130,CANCER RES,28,1,2,3,4,3,1,2,0,0,2,10,TRENDS IN MOLECULAR MEDICINE
25,4.019,FRONT MICROBIOL,27,1,5,5,2,0,2,0,2,0,1,9,TRENDS IN MOLECULAR MEDICINE
26,6.491,CANCER LETT,26,0,3,3,5,4,0,1,1,1,0,8,TRENDS IN MOLECULAR MEDICINE
27,3.394,FRONT PHYSIOL,26,1,5,1,1,5,2,3,1,0,1,6,TRENDS IN MOLECULAR MEDICINE
28,4.902,HUM MOL GENET,26,1,2,1,2,2,2,3,2,1,2,8,TRENDS IN MOLECULAR MEDICINE
29,14.163,PROG NEUROBIOL,26,1,3,0,3,4,3,1,5,0,0,6,TRENDS IN MOLECULAR MEDICINE
30,,TUMOR BIOL,26,1,2,1,2,3,1,2,2,2,3,7,TRENDS IN MOLECULAR MEDICINE
31,3.902,FRONT MOL NEUROSCI,25,0,2,3,4,3,0,5,1,0,0,7,TRENDS IN MOLECULAR MEDICINE
32,5.500,CELL PHYSIOL BIOCHEM,24,0,2,0,1,1,2,2,0,2,3,11,TRENDS IN MOLECULAR MEDICINE
33,4.300,FRONT CELL NEUROSCI,24,1,2,1,2,2,0,4,1,0,2,9,TRENDS IN MOLECULAR MEDICINE
34,4.539,J IMMUNOL,24,0,3,4,1,5,0,2,3,0,0,6,TRENDS IN MOLECULAR MEDICINE
35,8.032,CELL REP,23,2,4,3,1,4,3,1,0,1,0,4,TRENDS IN MOLECULAR MEDICINE
36,8.537,THERANOSTICS,23,0,2,3,3,2,2,0,5,0,2,4,TRENDS IN MOLECULAR MEDICINE
37,2.583,BIOMED RES INT,22,1,1,0,2,1,3,2,1,1,0,10,TRENDS IN MOLECULAR MEDICINE
38,1.410,EXP THER MED,22,0,0,1,4,0,1,0,5,2,0,9,TRENDS IN MOLECULAR MEDICINE
39,3.582,FRONT AGING NEUROSCI,22,2,1,1,3,7,0,5,1,0,0,2,TRENDS IN MOLECULAR MEDICINE
40,4.416,FRONT ONCOL,21,1,4,0,3,4,1,2,2,0,2,2,TRENDS IN MOLECULAR MEDICINE
41,3.191,GENES-BASEL,21,1,2,7,3,1,2,2,0,0,0,3,TRENDS IN MOLECULAR MEDICINE
42,4.196,NUTRIENTS,21,0,5,2,1,1,0,0,0,2,2,8,TRENDS IN MOLECULAR MEDICINE
43,2.976,ONCOL REP,21,0,2,2,3,1,2,0,3,0,1,7,TRENDS IN MOLECULAR MEDICINE
44,6.042,ANAL CHEM,20,0,0,1,1,0,2,2,2,0,6,6,TRENDS IN MOLECULAR MEDICINE
45,5.108,BBA-MOL BASIS DIS,20,0,1,3,5,2,0,1,2,0,0,6,TRENDS IN MOLECULAR MEDICINE
46,7.616,ELIFE,20,2,1,2,2,3,1,1,1,1,3,3,TRENDS IN MOLECULAR MEDICINE
47,4.816,EUR J MED CHEM,20,0,1,1,0,1,0,3,0,0,2,12,TRENDS IN MOLECULAR MEDICINE
48,0.833,INT J CLIN EXP MED,20,0,0,1,3,1,1,1,3,2,1,7,TRENDS IN MOLECULAR MEDICINE
49,2.959,J CELL BIOCHEM,20,0,1,0,2,0,4,0,1,1,2,9,TRENDS IN MOLECULAR MEDICINE
50,3.040,EUR J PHARMACOL,19,0,0,1,2,1,0,0,0,1,1,13,TRENDS IN MOLECULAR MEDICINE
51,5.595,FASEB J,19,0,0,2,2,2,1,1,4,0,0,7,TRENDS IN MOLECULAR MEDICINE
52,1.396,INT J CLIN EXP PATHO,19,0,2,0,6,2,0,2,2,0,1,4,TRENDS IN MOLECULAR MEDICINE
53,7.877,J CONTROL RELEASE,19,1,1,2,2,1,7,0,0,0,1,4,TRENDS IN MOLECULAR MEDICINE
54,4.368,J VIROL,19,0,4,1,0,0,5,0,1,1,1,6,TRENDS IN MOLECULAR MEDICINE
55,,JCI INSIGHT,19,0,3,4,0,2,2,0,0,1,1,6,TRENDS IN MOLECULAR MEDICINE
56,,METHOD MOL BIOL,19,0,0,0,4,0,4,1,1,2,0,7,TRENDS IN MOLECULAR MEDICINE
