,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,8350,411,1216,982,881,721,566,556,446,337,297,1937,TRENDS IN MOLECULAR MEDICINE
2, ,ALL OTHERS (684),684,42,101,98,72,63,45,37,35,16,23,152,TRENDS IN MOLECULAR MEDICINE
3,41.577,NATURE,426,18,66,50,43,31,26,32,20,14,11,115,TRENDS IN MOLECULAR MEDICINE
4,31.398,CELL,327,13,64,43,33,36,13,14,12,10,11,78,TRENDS IN MOLECULAR MEDICINE
5,9.504,P NATL ACAD SCI USA,260,6,25,17,21,22,15,16,16,14,14,94,TRENDS IN MOLECULAR MEDICINE
6,41.058,SCIENCE,260,5,40,26,25,19,11,17,12,15,5,85,TRENDS IN MOLECULAR MEDICINE
7,4.011,J BIOL CHEM,184,5,10,11,5,10,20,11,14,5,6,87,TRENDS IN MOLECULAR MEDICINE
8,15.132,BLOOD,149,3,7,11,7,11,10,15,9,13,9,54,TRENDS IN MOLECULAR MEDICINE
9,2.766,PLOS ONE,145,2,8,21,28,33,18,16,9,6,3,1,TRENDS IN MOLECULAR MEDICINE
10,4.539,J IMMUNOL,139,5,9,9,15,11,5,10,5,10,11,49,TRENDS IN MOLECULAR MEDICINE
11,32.621,NAT MED,126,10,24,16,13,9,10,9,4,5,2,24,TRENDS IN MOLECULAR MEDICINE
12,10.790,J EXP MED,118,3,9,10,9,7,5,14,9,3,4,45,TRENDS IN MOLECULAR MEDICINE
13,79.260,NEW ENGL J MED,113,4,18,9,10,7,13,13,4,4,2,29,TRENDS IN MOLECULAR MEDICINE
14,13.251,J CLIN INVEST,92,2,11,10,7,2,11,8,5,2,4,30,TRENDS IN MOLECULAR MEDICINE
15,9.130,CANCER RES,91,1,12,6,6,6,8,6,5,2,4,35,TRENDS IN MOLECULAR MEDICINE
16,12.353,NAT COMMUN,77,6,30,17,14,7,2,1,0,0,0,0,TRENDS IN MOLECULAR MEDICINE
17,27.125,NAT GENET,76,6,9,9,3,11,8,4,2,3,1,20,TRENDS IN MOLECULAR MEDICINE
18,19.734,IMMUNITY,72,1,7,4,6,14,4,5,7,6,5,13,TRENDS IN MOLECULAR MEDICINE
19,20.565,CELL METAB,71,2,19,13,14,5,5,5,2,0,0,6,TRENDS IN MOLECULAR MEDICINE
20,8.032,CELL REP,67,7,22,15,10,8,5,0,0,0,0,0,TRENDS IN MOLECULAR MEDICINE
21,14.248,MOL CELL,66,5,11,4,5,7,4,5,6,4,2,13,TRENDS IN MOLECULAR MEDICINE
22,35.724,NAT BIOTECHNOL,66,4,10,15,5,5,6,8,4,1,1,7,TRENDS IN MOLECULAR MEDICINE
23,21.809,NAT IMMUNOL,66,1,11,8,0,6,4,4,7,5,3,17,TRENDS IN MOLECULAR MEDICINE
24,23.290,CELL STEM CELL,65,2,22,2,6,4,4,6,7,3,4,5,TRENDS IN MOLECULAR MEDICINE
25,22.844,CANCER CELL,61,1,12,7,9,3,9,3,5,3,0,9,TRENDS IN MOLECULAR MEDICINE
26,4.368,J VIROL,61,4,6,5,8,5,5,6,1,2,3,16,TRENDS IN MOLECULAR MEDICINE
27,19.064,NAT CELL BIOL,60,4,9,9,4,7,2,4,5,3,2,11,TRENDS IN MOLECULAR MEDICINE
28,10.199,CLIN CANCER RES,56,3,10,7,5,6,5,4,3,2,3,8,TRENDS IN MOLECULAR MEDICINE
29,4.122,SCI REP-UK,56,6,29,13,3,4,1,0,0,0,0,0,TRENDS IN MOLECULAR MEDICINE
30,10.557,EMBO J,49,1,4,1,3,4,3,4,3,4,3,19,TRENDS IN MOLECULAR MEDICINE
31,41.982,NAT REV IMMUNOL,49,1,2,6,5,4,2,5,3,3,3,15,TRENDS IN MOLECULAR MEDICINE
32,16.710,SCI TRANSL MED,49,5,9,8,9,9,4,4,1,0,0,0,TRENDS IN MOLECULAR MEDICINE
33,4.902,HUM MOL GENET,45,2,3,4,3,3,10,1,3,2,3,11,TRENDS IN MOLECULAR MEDICINE
34,8.784,J CELL BIOL,44,0,4,4,4,4,3,3,3,2,4,13,TRENDS IN MOLECULAR MEDICINE
35,5.971,J NEUROSCI,44,1,4,3,4,3,4,5,0,4,3,13,TRENDS IN MOLECULAR MEDICINE
36,26.919,NAT METHODS,44,8,5,6,10,3,2,4,1,2,2,1,TRENDS IN MOLECULAR MEDICINE
37,6.854,ONCOGENE,41,2,6,1,4,4,0,3,2,2,1,16,TRENDS IN MOLECULAR MEDICINE
38,20.773,GASTROENTEROLOGY,40,0,9,4,4,7,4,6,0,0,1,5,TRENDS IN MOLECULAR MEDICINE
39,3.813,MOL CELL BIOL,40,0,2,0,2,4,1,2,0,2,3,24,TRENDS IN MOLECULAR MEDICINE
40,9.462,GENE DEV,39,2,2,3,1,3,5,4,1,3,3,12,TRENDS IN MOLECULAR MEDICINE
41,2.559,BIOCHEM BIOPH RES CO,38,0,5,4,3,1,2,3,3,4,3,10,TRENDS IN MOLECULAR MEDICINE
42,15.211,CIRC RES,38,2,2,4,6,2,3,2,4,3,1,9,TRENDS IN MOLECULAR MEDICINE
43,26.360,J CLIN ONCOL,38,4,1,9,1,1,2,1,5,5,1,8,TRENDS IN MOLECULAR MEDICINE
44,42.784,NAT REV CANCER,38,2,4,3,5,2,4,3,2,4,0,9,TRENDS IN MOLECULAR MEDICINE
45,6.158,PLOS PATHOG,38,1,4,3,9,5,5,1,3,3,0,4,TRENDS IN MOLECULAR MEDICINE
