Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"9,213",11.021,10.951,11.365,2.014,72,6.4,4.9,0.02,3.930,0.00,2.30200,95.19500,TRENDS IN MOLECULAR MEDICINE
2016,"8,371",10.732,10.640,10.240,1.917,72,6.4,5.0,0.01943,3.642,0.00,2.22989,94.87700,TRENDS IN MOLECULAR MEDICINE
2015,"7,703",9.292,9.256,10.144,2.417,72,6.1,4.5,0.02048,3.762,0.00,2.33441,93.14000,TRENDS IN MOLECULAR MEDICINE
2014,"7,186",9.453,9.400,9.931,1.714,70,6.0,4.8,0.01946,3.502,0.00,2.17999,92.47200,TRENDS IN MOLECULAR MEDICINE
2013,"6,659",10.110,9.993,10.292,1.527,74,5.6,4.7,0.02087,3.728,1.35,2.30057,93.09500,TRENDS IN MOLECULAR MEDICINE
2012,"5,945",9.571,9.500,10.142,1.487,76,5.4,4.6,0.02163,3.834,0.00,Not Available,92.50400,TRENDS IN MOLECULAR MEDICINE
2011,"5,639",10.355,10.272,9.835,1.481,79,5.0,4.0,0.02264,3.697,0.00,Not Available,94.55400,TRENDS IN MOLECULAR MEDICINE
2010,"5,365",10.308,10.266,9.187,1.377,61,4.8,4.0,0.0237,3.365,0.00,Not Available,94.34200,TRENDS IN MOLECULAR MEDICINE
2009,"4,780",11.049,10.959,8.099,1.517,60,4.3,3.8,0.02715,3.229,1.67,Not Available,94.37800,TRENDS IN MOLECULAR MEDICINE
2008,"4,280",9.621,9.601,7.161,1.233,60,4.0,4.1,0.02801,2.866,0.00,Not Available,93.63700,TRENDS IN MOLECULAR MEDICINE
2007,"3,762",7.244,7.216,6.725,1.984,63,3.7,3.7,0.02921,2.719,6.35,Not Available,90.06900,TRENDS IN MOLECULAR MEDICINE
2006,"3,058",5.864,5.806,Not Available,1.133,90,3.6,3.5,Not Available,Not Available,40.00,Not Available,86.09700,TRENDS IN MOLECULAR MEDICINE
2005,"2,622",5.505,5.449,Not Available,0.744,90,3.2,3.5,Not Available,Not Available,48.89,Not Available,86.44500,TRENDS IN MOLECULAR MEDICINE
2004,"2,178",7.497,7.408,Not Available,0.584,101,2.7,3.6,Not Available,Not Available,52.48,Not Available,90.69200,TRENDS IN MOLECULAR MEDICINE
2003,"1,623",9.848,9.765,Not Available,0.691,97,1.9,3.5,Not Available,Not Available,44.33,Not Available,93.81300,TRENDS IN MOLECULAR MEDICINE
2002,682,7.162,7.027,Not Available,1.798,84,1.4,3.1,Not Available,Not Available,16.67,Not Available,90.34400,TRENDS IN MOLECULAR MEDICINE
2001,58,Not Available,Not Available,Not Available,0.757,74,Not Available,3.1,Not Available,Not Available,14.86,Not Available,1.60300,TRENDS IN MOLECULAR MEDICINE
