,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,20061,123,638,952,945,1129,1130,838,803,1038,945,11520,TRENDS IN NEUROSCIENCES
2,,ALL OTHERS (1101),1101,10,31,29,50,66,55,42,35,53,47,683,TRENDS IN NEUROSCIENCES
3,4.122,SCI REP-UK,708,7,44,37,37,49,39,31,29,39,31,365,TRENDS IN NEUROSCIENCES
4,5.971,J NEUROSCI,457,2,17,23,29,19,28,28,27,21,11,252,TRENDS IN NEUROSCIENCES
5,2.766,PLOS ONE,395,4,7,12,10,15,16,15,16,19,17,264,TRENDS IN NEUROSCIENCES
6,14.319,NEURON,240,2,10,15,8,17,11,16,13,6,11,131,TRENDS IN NEUROSCIENCES
7,3.382,NEUROSCIENCE,240,1,6,12,5,17,10,8,12,7,13,149,TRENDS IN NEUROSCIENCES
8,6.308,CEREB CORTEX,239,1,0,11,6,13,18,7,13,11,14,145,TRENDS IN NEUROSCIENCES
9,4.300,FRONT CELL NEUROSCI,214,0,11,6,8,14,5,9,13,14,14,120,TRENDS IN NEUROSCIENCES
10,4.249,NEUROPHARMACOLOGY,209,0,3,9,8,5,9,11,10,12,7,135,TRENDS IN NEUROSCIENCES
11,3.877,FRONT NEUROSCI-SWITZ,206,1,12,4,12,7,11,8,7,10,8,126,TRENDS IN NEUROSCIENCES
12,5.426,NEUROIMAGE,206,0,11,11,19,15,5,7,3,17,5,113,TRENDS IN NEUROSCIENCES
13,7.616,ELIFE,195,2,11,11,9,14,12,9,7,7,7,106,TRENDS IN NEUROSCIENCES
14,2.502,J NEUROPHYSIOL,194,0,10,6,7,7,9,7,12,11,10,115,TRENDS IN NEUROSCIENCES
15,5.076,MOL NEUROBIOL,191,0,2,9,8,6,15,10,11,14,10,106,TRENDS IN NEUROSCIENCES
16,8.037,NEUROSCI BIOBEHAV R,187,3,9,14,7,12,11,5,9,9,8,100,TRENDS IN NEUROSCIENCES
17,3.902,FRONT MOL NEUROSCI,161,1,6,4,7,13,13,10,11,8,10,78,TRENDS IN NEUROSCIENCES
18,3.173,BEHAV BRAIN RES,160,0,2,13,6,6,16,12,4,7,3,91,TRENDS IN NEUROSCIENCES
19,12.353,NAT COMMUN,160,1,7,9,11,14,12,13,7,8,10,68,TRENDS IN NEUROSCIENCES
20,9.504,P NATL ACAD SCI USA,156,1,5,13,7,6,15,9,8,8,8,76,TRENDS IN NEUROSCIENCES
21,14.163,PROG NEUROBIOL,155,0,3,9,4,11,5,6,9,8,4,96,TRENDS IN NEUROSCIENCES
22,,ENEURO,140,1,6,12,8,8,9,8,4,8,3,73,TRENDS IN NEUROSCIENCES
23,4.231,BRAIN STRUCT FUNCT,137,0,2,6,5,6,2,4,5,10,0,97,TRENDS IN NEUROSCIENCES
24,2.832,EUR J NEUROSCI,128,0,1,5,5,9,11,1,3,7,5,81,TRENDS IN NEUROSCIENCES
25,3.687,INT J MOL SCI,126,2,3,8,8,11,8,7,2,8,6,63,TRENDS IN NEUROSCIENCES
26,3.244,NEUROBIOL LEARN MEM,125,0,3,1,5,6,3,9,11,12,6,69,TRENDS IN NEUROSCIENCES
27,2.871,FRONT HUM NEUROSCI,114,2,4,4,7,2,6,3,3,4,3,76,TRENDS IN NEUROSCIENCES
28,8.032,CELL REP,111,2,5,7,5,10,9,7,5,7,7,47,TRENDS IN NEUROSCIENCES
